,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BLK200918P00170000,1586886518,170.0,2.6,0.3,4.3,0.0,0.0,1.0,46,0.9045419702148438,False,REGULAR,USD
1,BLK200918P00175000,1585922590,175.0,3.22,1.3,4.9,0.0,0.0,30.0,30,0.9328619995117188,False,REGULAR,USD
2,BLK200918P00190000,1587389441,190.0,2.9,1.65,4.4,0.0,0.0,,2,0.8594984753417969,False,REGULAR,USD
3,BLK200918P00195000,1584983973,195.0,14.1,1.45,4.9,0.0,0.0,,0,0.8459488061523437,False,REGULAR,USD
4,BLK200918P00200000,1585758324,200.0,3.8,1.2,4.4,0.0,0.0,1.0,5,0.8044453149414061,False,REGULAR,USD
5,BLK200918P00210000,1584977203,210.0,15.0,2.15,4.9,0.0,0.0,1.0,5,0.8006611730957032,False,REGULAR,USD
6,BLK200918P00220000,1585761724,220.0,7.2,2.7,7.7,0.0,0.0,,2,0.8291032714843749,False,REGULAR,USD
7,BLK200918P00230000,1586358570,230.0,5.0,2.7,5.9,0.0,0.0,1.0,1,0.7547631945800781,False,REGULAR,USD
8,BLK200918P00240000,1585299377,240.0,14.08,2.0,6.9,0.0,0.0,,1,0.7226590234375,False,REGULAR,USD
9,BLK200918P00250000,1587579414,250.0,5.4,2.3,6.7,-1.2999997,-19.40298,1.0,9,0.688052435913086,False,REGULAR,USD
10,BLK200918P00260000,1583176864,260.0,2.5,7.2,14.5,0.0,0.0,2.0,2,0.8233049896240234,False,REGULAR,USD
11,BLK200918P00280000,1585930324,280.0,14.1,5.9,8.7,0.0,0.0,3.0,4,0.6632113757324221,False,REGULAR,USD
12,BLK200918P00290000,1586978354,290.0,11.2,4.7,10.2,0.0,0.0,3.0,5,0.6320837573242188,False,REGULAR,USD
13,BLK200918P00300000,1587065388,300.0,10.6,6.2,14.2,0.0,0.0,2.0,10,0.6563755065917969,False,REGULAR,USD
14,BLK200918P00310000,1587065389,310.0,11.8,8.8,12.2,0.0,0.0,1.0,5,0.6270178900146486,False,REGULAR,USD
15,BLK200918P00320000,1586963962,320.0,15.0,9.2,13.7,0.0,0.0,6.0,11,0.6096840789794924,False,REGULAR,USD
16,BLK200918P00330000,1586963991,330.0,16.6,9.9,13.9,0.0,0.0,1.0,3,0.5831340515136718,False,REGULAR,USD
17,BLK200918P00340000,1587137582,340.0,15.9,12.4,15.2,0.0,0.0,1.0,50,0.5793499096679688,False,REGULAR,USD
18,BLK200918P00350000,1587065388,350.0,15.2,13.2,17.1,0.0,0.0,1.0,36,0.5649457568359376,False,REGULAR,USD
19,BLK200918P00360000,1587054812,360.0,22.0,14.8,18.7,0.0,0.0,1.0,14,0.5526472958374024,False,REGULAR,USD
20,BLK200918P00370000,1586806352,370.0,24.1,16.9,20.5,0.0,0.0,8.0,138,0.5431869412231446,False,REGULAR,USD
21,BLK200918P00380000,1586439815,380.0,23.3,18.8,25.7,0.0,0.0,2.0,15,0.5506789317321779,False,REGULAR,USD
22,BLK200918P00390000,1587152676,390.0,23.3,21.0,28.9,0.0,0.0,2.0,21,0.5450179776000977,False,REGULAR,USD
23,BLK200918P00400000,1587401083,400.0,26.5,24.5,31.3,0.0,0.0,2.0,63,0.5397995239257813,False,REGULAR,USD
24,BLK200918P00410000,1586276567,410.0,32.6,27.0,32.4,0.0,0.0,2.0,44,0.5208482974243164,False,REGULAR,USD
25,BLK200918P00420000,1585941504,420.0,58.1,29.5,35.3,0.0,0.0,7.0,28,0.5095263891601562,False,REGULAR,USD
26,BLK200918P00430000,1587131579,430.0,33.92,32.7,38.6,0.0,0.0,2.0,21,0.5015918981933594,False,REGULAR,USD
27,BLK200918P00440000,1586959130,440.0,49.6,36.5,43.4,0.0,0.0,2.0,33,0.501103621826172,False,REGULAR,USD
28,BLK200918P00450000,1586958092,450.0,54.7,38.0,45.8,0.0,0.0,2.0,64,0.5116931155395508,False,REGULAR,USD
29,BLK200918P00460000,1587131579,460.0,44.5,44.3,49.9,0.0,0.0,2.0,42,0.5045825909423829,False,REGULAR,USD
30,BLK200918P00470000,1586459906,470.0,55.0,47.8,55.9,0.0,0.0,1.0,19,0.511372684173584,False,REGULAR,USD
31,BLK200918P00480000,1586459609,480.0,60.2,53.5,59.3,0.0,0.0,2.0,9,0.49443559768676765,False,REGULAR,USD
32,BLK200918P00490000,1583347380,490.0,42.48,96.4,103.4,0.0,0.0,1.0,3,0.7813742565917969,True,REGULAR,USD
33,BLK200918P00500000,1581352152,500.0,18.0,91.3,98.9,0.0,0.0,2.0,2,0.6912262322998048,True,REGULAR,USD
34,BLK200918P00510000,1582815224,510.0,54.65,99.7,109.0,0.0,0.0,3.0,10,0.7155179815673829,True,REGULAR,USD
35,BLK200918P00520000,1585079959,520.0,161.97,73.8,80.3,0.0,0.0,1.0,3,0.4681449670410156,True,REGULAR,USD
36,BLK200918P00530000,1582576489,530.0,39.9,140.0,154.5,0.0,0.0,3.0,0,0.9585880606079099,True,REGULAR,USD
37,BLK200918P00540000,1582556334,540.0,44.0,148.7,164.3,0.0,0.0,1.0,0,0.9784090293884278,True,REGULAR,USD
38,BLK200918P00550000,1582828377,550.0,76.9,134.9,144.0,0.0,0.0,2.0,8,0.7836783106994629,True,REGULAR,USD
39,BLK200918P00660000,1586439676,660.0,200.4,182.5,196.5,0.0,0.0,2.0,2,0.5383346948242189,True,REGULAR,USD
