,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DD201016C00022500,1585300108,22.5,14.25,17.5,18.2,0.0,0.0,,2,0.648441015625,True,REGULAR,USD
1,DD201016C00025000,1586373072,25.0,15.35,13.8,15.95,0.0,0.0,1.0,6,0.6762727685546877,True,REGULAR,USD
2,DD201016C00027500,1587480060,27.5,13.1,13.15,13.85,0.0,0.0,20.0,47,0.5808147387695313,True,REGULAR,USD
3,DD201016C00030000,1586360955,30.0,10.5,11.15,11.85,0.0,0.0,1.0,12,0.5544478149414063,True,REGULAR,USD
4,DD201016C00032500,1586268411,32.5,8.3,9.4,10.0,0.0,0.0,1.0,3,0.5380905566406251,True,REGULAR,USD
5,DD201016C00035000,1587479845,35.0,7.66,7.7,8.4,0.0,0.0,2.0,62,0.5214891601562499,True,REGULAR,USD
6,DD201016C00037500,1587566549,37.5,6.7,6.3,6.8,0.5999999,9.836064,1.0,105,0.5039112109375,True,REGULAR,USD
7,DD201016C00040000,1587412048,40.0,5.3,5.05,5.45,0.0,0.0,14.0,115,0.507817421875,False,REGULAR,USD
8,DD201016C00042500,1587486259,42.5,3.8,4.0,4.45,0.0,0.0,2.0,99,0.5051319018554687,False,REGULAR,USD
9,DD201016C00045000,1587572276,45.0,3.15,2.95,3.4,-0.14999986,-4.54545,8.0,160,0.48328153442382815,False,REGULAR,USD
10,DD201016C00047500,1587401536,47.5,2.2,2.17,2.65,0.0,0.0,1.0,83,0.4753470434570312,False,REGULAR,USD
11,DD201016C00050000,1587568571,50.0,1.92,1.67,2.12,0.5,35.21127,500.0,1094,0.4764456652832031,False,REGULAR,USD
12,DD201016C00052500,1587408680,52.5,1.34,1.12,1.68,0.0,0.0,16.0,25,0.4760794580078125,False,REGULAR,USD
13,DD201016C00055000,1587562205,55.0,1.0,0.77,1.21,-0.08000004,-7.4074106,20.0,20,0.46094289062500005,False,REGULAR,USD
14,DD201016C00057500,1587479403,57.5,0.7,0.5,0.96,0.0,0.0,9.0,23,0.4633842724609375,False,REGULAR,USD
15,DD201016C00060000,1587568571,60.0,0.47,0.35,0.55,0.0,0.0,500.0,1127,0.42774009765625004,False,REGULAR,USD
16,DD201016C00065000,1587475831,65.0,0.15,0.07,0.44,0.0,0.0,192.0,130,0.46094289062500005,False,REGULAR,USD
17,DD201016C00070000,1587489138,70.0,0.11,0.03,0.29,0.0,0.0,4.0,5,0.46973186523437505,False,REGULAR,USD
