,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BA201120P00050000,1587574754,50.0,4.05,3.85,4.05,-0.2999997,-6.896545,11.0,1057,1.1193891687011717,False,REGULAR,USD
1,BA201120P00055000,1587064079,55.0,5.6,4.7,4.85,0.0,0.0,51.0,570,1.0893600219726562,False,REGULAR,USD
2,BA201120P00060000,1587139750,60.0,5.65,5.6,5.85,0.0,0.0,2.0,68,1.06409159362793,False,REGULAR,USD
3,BA201120P00065000,1587572368,65.0,6.85,6.6,7.0,-0.4000001,-5.5172424,85.0,65,1.0422411169433596,False,REGULAR,USD
4,BA201120P00070000,1587569892,70.0,7.9,7.85,8.1,0.3000002,3.947371,30.0,595,1.0216113372802735,False,REGULAR,USD
5,BA201120P00075000,1587579974,75.0,9.3,8.95,9.45,-1.0,-9.708737,19.0,33,0.9995727581787108,False,REGULAR,USD
6,BA201120P00080000,1587572360,80.0,10.62,10.45,10.95,0.6199999,6.199999,21.0,75,0.9863892962646486,False,REGULAR,USD
7,BA201120P00085000,1587150559,85.0,10.8,11.85,12.3,0.0,0.0,23.0,60,0.9641116870117188,False,REGULAR,USD
8,BA201120P00090000,1587574333,90.0,13.85,13.5,13.95,-0.25,-1.7730497,4.0,147,0.9494633959960936,False,REGULAR,USD
9,BA201120P00095000,1587577832,95.0,15.4,15.2,15.65,-1.0,-6.097561,47.0,44,0.9333502758789063,False,REGULAR,USD
10,BA201120P00100000,1587573745,100.0,17.07,17.0,17.4,-0.72999954,-4.1011214,418.0,76,0.9167488793945313,False,REGULAR,USD
11,BA201120P00105000,1587578876,105.0,19.1,18.95,19.4,0.6000004,3.2432451,30.0,38,0.9037485211181642,False,REGULAR,USD
12,BA201120P00110000,1587578796,110.0,21.1,21.0,21.45,-0.54999924,-2.5404122,159.0,580,0.8901378173828124,False,REGULAR,USD
13,BA201120P00115000,1587577832,115.0,23.35,23.15,23.85,-0.29999924,-1.2684957,36.0,36,0.8802502209472656,False,REGULAR,USD
14,BA201120P00120000,1587580562,120.0,25.5,25.4,26.0,-0.29999924,-1.1627878,164.0,133,0.8655408953857422,False,REGULAR,USD
15,BA201120P00125000,1587411312,125.0,26.47,27.7,28.35,0.0,0.0,1.0,25,0.8517470880126954,False,REGULAR,USD
16,BA201120P00130000,1587479286,130.0,30.0,30.2,30.8,0.0,0.0,1.0,35,0.8394791442871092,False,REGULAR,USD
17,BA201120P00135000,1587494366,135.0,33.75,32.85,33.4,0.0,0.0,2.0,81,0.8286760296630857,False,REGULAR,USD
18,BA201120P00140000,1587407167,140.0,33.5,35.6,36.1,0.0,0.0,2.0,79,0.8180255014038084,True,REGULAR,USD
19,BA201120P00145000,1587411312,145.0,36.17,38.1,39.0,0.0,0.0,5.0,25,0.8044453149414061,True,REGULAR,USD
