,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GD201120P00060000,1585329685,60.0,1.4,0.65,1.1,0.0,0.0,1.0,1,0.6357458300781251,False,REGULAR,USD
1,GD201120P00080000,1586890177,80.0,2.32,1.5,2.55,0.0,0.0,2.0,11,0.5316208947753907,False,REGULAR,USD
2,GD201120P00085000,1587393353,85.0,2.47,1.95,3.1,0.0,0.0,3.0,11,0.5130663928222656,False,REGULAR,USD
3,GD201120P00090000,1585056817,90.0,5.6,1.75,3.7,0.0,0.0,2.0,6,0.5250291638183593,False,REGULAR,USD
4,GD201120P00095000,1586444582,95.0,3.4,3.8,4.6,0.0,0.0,10.0,28,0.5130053582763672,False,REGULAR,USD
5,GD201120P00100000,1587492334,100.0,5.9,4.9,5.3,0.0,0.0,5.0,218,0.48779809082031256,False,REGULAR,USD
6,GD201120P00105000,1585089113,105.0,13.2,5.7,6.4,0.0,0.0,,40,0.4740653179931641,False,REGULAR,USD
7,GD201120P00110000,1586789648,110.0,6.6,6.8,7.7,0.0,0.0,2.0,37,0.46191944335937507,False,REGULAR,USD
8,GD201120P00115000,1586970568,115.0,8.7,8.0,9.1,0.0,0.0,286.0,286,0.447698394165039,False,REGULAR,USD
9,GD201120P00120000,1587151697,120.0,9.0,9.8,10.7,0.0,0.0,20.0,57,0.4342707940673829,False,REGULAR,USD
10,GD201120P00125000,1587052469,125.0,12.4,11.7,12.6,0.0,0.0,8.0,25,0.4237118176269531,False,REGULAR,USD
11,GD201120P00130000,1587063059,130.0,14.4,13.8,14.7,0.0,0.0,2.0,17,0.41296973754882804,False,REGULAR,USD
12,GD201120P00135000,1587356055,135.0,13.7,15.8,17.7,0.0,0.0,,2,0.41913422668457034,True,REGULAR,USD
13,GD201120P00140000,1587497758,140.0,20.41,18.6,19.7,0.0,0.0,5.0,7,0.3949645465087891,True,REGULAR,USD
14,GD201120P00145000,1586789648,145.0,20.0,20.9,23.1,0.0,0.0,6.0,7,0.39990834472656256,True,REGULAR,USD
15,GD201120P00150000,1586785616,150.0,22.0,24.5,26.7,0.0,0.0,1.0,4,0.404730073852539,True,REGULAR,USD
16,GD201120P00180000,1587406717,180.0,46.17,48.5,51.8,0.0,0.0,,1,0.44751529052734373,True,REGULAR,USD
17,GD201120P00190000,1585579954,190.0,66.23,56.3,60.2,0.0,0.0,,1,0.437505625,True,REGULAR,USD
