,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SLB201120C00010000,1587568530,10.0,6.46,6.15,6.8,-0.21000004,-3.1484265,1,17,0.8549819189453125,True,REGULAR,USD
1,SLB201120C00012500,1587475891,12.5,4.28,4.55,5.15,0.0,0.0,1,202,0.7934590966796875,True,REGULAR,USD
2,SLB201120C00015000,1587580462,15.0,3.55,3.3,3.65,0.26999998,8.231707,59,154,0.7358424853515625,True,REGULAR,USD
3,SLB201120C00017500,1587580604,17.5,2.37,2.38,2.64,0.06999993,3.0434754,30,117,0.7153348779296875,False,REGULAR,USD
4,SLB201120C00020000,1587564910,20.0,1.74,1.68,1.9,0.03999996,2.352939,8,418,0.6992217578125001,False,REGULAR,USD
5,SLB201120C00022500,1587580180,22.5,1.25,1.09,1.33,0.049999952,4.1666627,11,626,0.6723665576171877,False,REGULAR,USD
6,SLB201120C00025000,1587573107,25.0,0.86,0.75,0.95,0.00999999,1.1764694,7,190,0.6640658593750002,False,REGULAR,USD
7,SLB201120C00027500,1587569764,27.5,0.65,0.52,0.68,0.099999964,18.18181,44,50,0.6586948193359375,False,REGULAR,USD
8,SLB201120C00030000,1587573497,30.0,0.35,0.35,0.5,0.0,0.0,12,119,0.6543003320312502,False,REGULAR,USD
9,SLB201120C00032500,1587392423,32.5,0.29,0.23,0.38,0.0,0.0,24,54,0.6523472265625001,False,REGULAR,USD
