,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL201218C00120000,1586795474,120.0,149.35,155.65,157.65,0.0,0.0,,1,0.5153857055664062,True,REGULAR,USD
1,AAPL201218C00130000,1584712487,130.0,125.0,151.2,155.55,0.0,0.0,1.0,0,0.77148666015625,True,REGULAR,USD
2,AAPL201218C00140000,1584547565,140.0,114.0,140.7,142.65,0.0,0.0,,0,0.6486851538085938,True,REGULAR,USD
3,AAPL201218C00145000,1585296847,145.0,150.87,129.3,131.25,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD
4,AAPL201218C00150000,1587492181,150.0,121.4,127.2,129.0,0.0,0.0,44.0,67,0.48254911987304694,True,REGULAR,USD
5,AAPL201218C00160000,1585296848,160.0,110.0,116.3,118.3,0.0,0.0,2.0,1,0.4010069665527344,True,REGULAR,USD
6,AAPL201218C00165000,1585296848,165.0,80.25,111.7,113.75,0.0,0.0,,2,0.40601179931640624,True,REGULAR,USD
7,AAPL201218C00170000,1585076827,170.0,81.0,108.6,110.7,0.0,0.0,2.0,66,0.4630180651855469,True,REGULAR,USD
8,AAPL201218C00175000,1586275351,175.0,95.96,104.45,106.2,0.0,0.0,2.0,1099,0.456609437866211,True,REGULAR,USD
9,AAPL201218C00180000,1585664426,180.0,85.9,99.95,101.75,0.0,0.0,8.0,1,0.4502923623657227,True,REGULAR,USD
10,AAPL201218C00185000,1587131863,185.0,103.0,95.9,97.5,0.0,0.0,1.0,27,0.4478204632568359,True,REGULAR,USD
11,AAPL201218C00190000,1586971111,190.0,99.6,91.55,93.05,0.0,0.0,1.0,13,0.4387873504638672,True,REGULAR,USD
12,AAPL201218C00195000,1586878135,195.0,93.73,87.0,88.8,0.0,0.0,1.0,32,0.43329424133300787,True,REGULAR,USD
13,AAPL201218C00200000,1587564085,200.0,82.08,83.05,84.5,3.7799988,4.8275843,3.0,178,0.42542078491210944,True,REGULAR,USD
14,AAPL201218C00210000,1587571305,210.0,73.85,74.95,76.45,3.7200012,5.3044367,2.0,64,0.4168454312133788,True,REGULAR,USD
15,AAPL201218C00220000,1587562680,220.0,66.4,67.45,68.5,3.300003,5.229799,2.0,115,0.40454697021484376,True,REGULAR,USD
16,AAPL201218C00230000,1587409979,230.0,61.67,60.2,61.45,0.0,0.0,3.0,163,0.4009306733703613,True,REGULAR,USD
17,AAPL201218C00240000,1587571697,240.0,52.88,53.4,54.2,5.380001,11.326319,1.0,337,0.3887085055541992,True,REGULAR,USD
18,AAPL201218C00250000,1587571697,250.0,45.88,46.9,47.75,3.1800003,7.4473076,1.0,1304,0.38199470550537107,True,REGULAR,USD
