,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ORCL210115C00025000,1587045584,25.0,28.5,26.8,28.2,0.0,0.0,1,21,0.5302781347656251,True,REGULAR,USD
1,ORCL210115C00028000,1585754438,28.0,21.0,23.85,25.5,0.0,0.0,5,10,0.5014698291015626,True,REGULAR,USD
2,ORCL210115C00030000,1586973283,30.0,23.86,22.5,23.05,0.0,0.0,1,56,0.5222215747070311,True,REGULAR,USD
3,ORCL210115C00033000,1585851108,33.0,17.3,19.4,20.55,0.0,0.0,3,22,0.5161181201171875,True,REGULAR,USD
4,ORCL210115C00035000,1585165353,35.0,14.79,17.95,18.55,0.0,0.0,1,146,0.4660697924804688,True,REGULAR,USD
5,ORCL210115C00038000,1580498504,38.0,15.35,11.5,14.05,0.0,0.0,1,27,1.0000000000000003e-05,True,REGULAR,USD
6,ORCL210115C00040000,1587662269,40.0,14.4,13.8,14.4,0.19999981,1.4084494,4,101,0.4260311303710938,True,REGULAR,USD
7,ORCL210115C00043000,1587056990,43.0,12.95,11.45,12.05,0.0,0.0,15,5090,0.40161731201171874,True,REGULAR,USD
8,ORCL210115C00045000,1586890365,45.0,11.65,10.05,10.65,0.0,0.0,4,594,0.39160764648437496,True,REGULAR,USD
9,ORCL210115C00047000,1587056921,47.0,10.0,8.7,9.35,0.0,0.0,15,1706,0.38294074096679687,True,REGULAR,USD
10,ORCL210115C00050000,1587479596,50.0,7.43,6.85,7.45,0.0,0.0,3,1878,0.3635317553710938,True,REGULAR,USD
11,ORCL210115C00052500,1587566990,52.5,5.8,5.5,6.05,0.0,0.0,3,3500,0.3494938098144531,False,REGULAR,USD
12,ORCL210115C00055000,1587653165,55.0,4.94,4.25,4.85,0.28999996,6.236558,2,5080,0.33838552246093745,False,REGULAR,USD
13,ORCL210115C00057500,1587486091,57.5,3.55,2.27,3.9,0.0,0.0,1395,6433,0.33301448242187504,False,REGULAR,USD
14,ORCL210115C00060000,1587657271,60.0,2.9,2.38,2.9,0.1500001,5.454549,43,4631,0.3161689477539062,False,REGULAR,USD
15,ORCL210115C00062500,1587650403,62.5,2.39,1.64,2.46,-0.109999895,-4.399996,10,1266,0.32532412963867186,False,REGULAR,USD
16,ORCL210115C00065000,1587660356,65.0,1.5,0.8,1.79,-0.110000014,-6.832299,50,2666,0.31250687499999996,False,REGULAR,USD
17,ORCL210115C00067500,1587138869,67.5,1.44,0.37,1.39,0.0,0.0,15,1598,0.3110420458984374,False,REGULAR,USD
18,ORCL210115C00070000,1587394427,70.0,1.0,0.24,1.22,0.0,0.0,2,2364,0.3227606787109374,False,REGULAR,USD
19,ORCL210115C00075000,1587660272,75.0,0.31,0.11,0.59,-0.09,-22.5,1,32221,0.30274134765625,False,REGULAR,USD
20,ORCL210115C00080000,1587658831,80.0,0.2,0.1,0.29,0.0,0.0,4,5776,0.29273168212890616,False,REGULAR,USD
21,ORCL210115C00085000,1585834201,85.0,0.1,0.02,0.2,0.0,0.0,1,265,0.30322962402343745,False,REGULAR,USD
