,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CL220121P00035000,1586462094,35.0,1.65,1.25,1.72,0.0,0.0,1.0,59,0.45667047241210945,False,REGULAR,USD
1,CL220121P00037500,1579889621,37.5,0.28,0.0,0.8,0.0,0.0,5.0,0,0.3413151806640625,False,REGULAR,USD
2,CL220121P00040000,1585151866,40.0,3.6,1.69,2.58,0.0,0.0,1.0,16,0.4412897668457031,False,REGULAR,USD
3,CL220121P00042500,1580762985,42.5,0.4,0.65,1.39,0.0,0.0,2.0,0,0.3314275842285156,False,REGULAR,USD
4,CL220121P00045000,1585669526,45.0,3.0,2.35,3.2,0.0,0.0,1.0,69,0.40418076293945315,False,REGULAR,USD
5,CL220121P00047500,1586871450,47.5,3.28,3.0,3.7,0.0,0.0,10.0,52,0.39349971740722656,False,REGULAR,USD
6,CL220121P00050000,1587489614,50.0,4.05,3.55,4.25,0.0,0.0,8.0,136,0.38318487915039057,False,REGULAR,USD
7,CL220121P00055000,1587489998,55.0,5.2,4.85,5.7,0.0,0.0,2.0,36,0.370123486328125,False,REGULAR,USD
8,CL220121P00057500,1586285741,57.5,6.65,5.55,6.5,0.0,0.0,1.0,2135,0.3629214099121094,False,REGULAR,USD
9,CL220121P00060000,1587494672,60.0,7.0,6.4,7.4,0.0,0.0,25.0,971,0.3569400244140625,False,REGULAR,USD
10,CL220121P00062500,1584541221,62.5,10.8,6.9,7.95,0.0,0.0,151.0,316,0.3382634533691406,False,REGULAR,USD
11,CL220121P00065000,1585662791,65.0,11.22,8.45,9.45,0.0,0.0,1.0,27,0.34632001342773433,False,REGULAR,USD
12,CL220121P00067500,1586187811,67.5,10.85,9.6,10.65,0.0,0.0,1.0,26,0.3429631134033203,False,REGULAR,USD
13,CL220121P00070000,1586879711,70.0,10.85,10.75,11.9,0.0,0.0,1.0,11,0.3389348333740234,False,REGULAR,USD
14,CL220121P00072500,1586879711,72.5,12.1,12.05,13.25,0.0,0.0,5.0,6,0.33570000244140624,True,REGULAR,USD
15,CL220121P00075000,1584467261,75.0,17.75,12.1,14.1,0.0,0.0,,10,0.3171455004882812,True,REGULAR,USD
16,CL220121P00077500,1585297204,77.5,12.83,17.75,19.0,0.0,0.0,1.0,1,0.40479110839843746,True,REGULAR,USD
17,CL220121P00080000,1584469543,80.0,20.0,15.05,17.25,0.0,0.0,1.0,1,0.3133918759155273,True,REGULAR,USD
18,CL220121P00090000,1580242873,90.0,21.6,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
19,CL220121P00095000,1580242842,95.0,26.05,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
20,CL220121P00100000,1580242809,100.0,30.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
21,CL220121P00105000,1580245020,105.0,35.45,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
