,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PFE220121C00015000,1587151174,15.0,21.7,19.75,23.95,0.0,0.0,2,12,0.7473169799804689,True,REGULAR,USD
1,PFE220121C00018000,1586451118,18.0,17.8,16.65,21.05,0.0,0.0,1,32,0.6330603100585939,True,REGULAR,USD
2,PFE220121C00020000,1587481206,20.0,15.8,16.25,18.25,0.0,0.0,1,443,0.4721732470703125,True,REGULAR,USD
3,PFE220121C00023000,1587656197,23.0,14.08,11.7,16.2,0.27999973,2.0289836,10,93,0.47900911621093745,True,REGULAR,USD
4,PFE220121C00025000,1587663247,25.0,12.22,11.3,12.9,1.1199999,10.090089,55,797,0.3043282458496094,True,REGULAR,USD
5,PFE220121C00028000,1587651606,28.0,9.95,8.6,10.6,0.6499996,6.989243,18,1402,0.2960275476074219,True,REGULAR,USD
6,PFE220121C00030000,1587660420,30.0,8.0,7.15,8.45,0.05000019,0.62893325,131,2772,0.2391433508300781,True,REGULAR,USD
7,PFE220121C00033000,1587662397,33.0,6.15,5.75,6.2,0.05000019,0.81967527,788,3626,0.21826953613281247,True,REGULAR,USD
8,PFE220121C00035000,1587661223,35.0,5.1,4.95,5.25,0.25,5.1546392,130,7218,0.22657023437499998,True,REGULAR,USD
9,PFE220121C00037000,1587665059,37.0,4.0,3.75,4.3,0.099999905,2.5641,26,4244,0.2260819580078125,False,REGULAR,USD
10,PFE220121C00040000,1587663755,40.0,2.75,2.64,3.0,0.0,0.0,161,6457,0.21833057067871092,False,REGULAR,USD
11,PFE220121C00042000,1587665097,42.0,2.23,2.01,2.43,-0.01999998,-0.88888806,64,1767,0.22022264160156246,False,REGULAR,USD
12,PFE220121C00045000,1587659066,45.0,1.61,1.37,1.62,0.22000003,15.827341,90,2198,0.21436332519531248,False,REGULAR,USD
13,PFE220121C00047000,1587662526,47.0,1.12,1.03,1.18,0.01999998,1.8181801,15,721,0.20862607788085932,False,REGULAR,USD
14,PFE220121C00050000,1587663080,50.0,0.72,0.7,0.74,0.08000004,12.500008,13,2025,0.20410952148437497,False,REGULAR,USD
15,PFE220121C00055000,1587662797,55.0,0.32,0.32,0.45,-0.030000001,-8.571429,141,2760,0.21436332519531248,False,REGULAR,USD
