,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TMO220121C00150000,1574874378,150.0,172.4,181.0,184.6,0.0,0.0,1.0,7,0.4954274090576172,True,REGULAR,USD
1,TMO220121C00160000,1587075950,160.0,175.0,171.5,176.5,0.0,0.0,,6,0.4923451644897462,True,REGULAR,USD
2,TMO220121C00175000,1580489292,175.0,146.3,123.1,128.0,0.0,0.0,8.0,8,1.0000000000000003e-05,True,REGULAR,USD
3,TMO220121C00180000,1585672040,180.0,164.24,153.0,158.0,39.280006,31.434065,1.0,4,0.44696597961425777,True,REGULAR,USD
4,TMO220121C00195000,1580396317,195.0,136.5,106.5,111.5,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD
5,TMO220121C00200000,1584976112,200.0,76.0,139.2,144.0,0.0,0.0,5.0,13,0.4539849523925781,True,REGULAR,USD
6,TMO220121C00210000,1585296455,210.0,101.7,85.7,90.4,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
7,TMO220121C00220000,1585296455,220.0,111.2,115.5,119.9,0.0,0.0,,0,0.34992105163574216,True,REGULAR,USD
8,TMO220121C00240000,1586957616,240.0,101.5,104.4,108.7,0.0,0.0,4.0,8,0.3739686627197265,True,REGULAR,USD
9,TMO220121C00250000,1587054381,250.0,95.8,97.2,101.3,0.0,0.0,1.0,16,0.3652712399291992,True,REGULAR,USD
10,TMO220121C00260000,1584970704,260.0,48.5,92.0,96.5,0.0,0.0,1.0,13,0.37471633590698245,True,REGULAR,USD
11,TMO220121C00270000,1585843565,270.0,52.5,82.7,86.7,0.0,0.0,1.0,9,0.3454807884216308,True,REGULAR,USD
12,TMO220121C00280000,1587562212,280.0,76.0,75.5,80.5,0.0,0.0,1.0,17,0.3412922927093506,True,REGULAR,USD
13,TMO220121C00290000,1586185557,290.0,67.5,69.0,73.5,0.0,0.0,3.0,8,0.33017637603759764,True,REGULAR,USD
14,TMO220121C00300000,1587139313,300.0,65.0,63.5,68.5,0.0,0.0,1.0,25,0.33054258331298825,True,REGULAR,USD
15,TMO220121C00310000,1587648635,310.0,65.57,57.3,62.0,5.7700005,9.64883,1.0,126,0.3198005032348632,True,REGULAR,USD
16,TMO220121C00320000,1586960507,320.0,51.61,52.6,56.2,0.0,0.0,1.0,12,0.3119880813598632,True,REGULAR,USD
17,TMO220121C00330000,1587662389,330.0,49.5,47.7,51.5,-4.5,-8.333333,1.0,80,0.3091957508850098,False,REGULAR,USD
18,TMO220121C00340000,1587585237,340.0,50.0,41.6,46.1,0.0,0.0,3.0,76,0.30072720764160155,False,REGULAR,USD
19,TMO220121C00350000,1586457183,350.0,32.0,37.0,41.6,0.0,0.0,1.0,20,0.2959741423797607,False,REGULAR,USD
20,TMO220121C00360000,1585583779,360.0,15.2,33.7,37.3,0.0,0.0,1.0,10,0.29081672325134267,False,REGULAR,USD
21,TMO220121C00370000,1587562236,370.0,29.5,30.1,33.3,0.0,0.0,5.0,6,0.2858424077606201,False,REGULAR,USD
22,TMO220121C00380000,1586977644,380.0,26.76,25.9,30.0,0.0,0.0,2.0,4,0.2834391725158691,False,REGULAR,USD
23,TMO220121C00390000,1587064643,390.0,24.6,23.3,26.6,0.0,0.0,1.0,1,0.27893787475585935,False,REGULAR,USD
24,TMO220121C00400000,1587650509,400.0,25.0,20.3,23.6,-3.0,-10.714286,15.0,19,0.2753292072296143,False,REGULAR,USD
25,TMO220121C00410000,1586457108,410.0,15.0,17.0,20.6,0.0,0.0,1.0,7,0.27017941741943363,False,REGULAR,USD
26,TMO220121C00430000,1584369714,430.0,11.08,4.4,8.9,0.0,0.0,1.0,28,0.21097590789794918,False,REGULAR,USD
27,TMO220121C00440000,1586976105,440.0,11.93,9.8,13.7,0.0,0.0,24.0,4,0.2593305268859864,False,REGULAR,USD
28,TMO220121C00450000,1586976105,450.0,10.43,10.5,12.8,0.0,0.0,25.0,25,0.2633130310058594,False,REGULAR,USD
29,TMO220121C00460000,1586190297,460.0,4.45,7.1,10.6,0.0,0.0,31.0,16,0.25597362686157227,False,REGULAR,USD
30,TMO220121C00480000,1584558018,480.0,8.8,5.1,8.0,0.0,0.0,,0,0.2516401741027832,False,REGULAR,USD
31,TMO220121C00490000,1586978417,490.0,5.6,4.8,7.9,0.0,0.0,3.0,10,0.2593305268859864,False,REGULAR,USD
32,TMO220121C00500000,1587664397,500.0,5.0,3.3,6.4,-1.0,-16.666666,2.0,35,0.252311554107666,False,REGULAR,USD
