,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ACN200501P00100000,1584561570,100.0,4.0,0.0,4.3,0.0,0.0,,0.0,2.599124595947266,False,REGULAR,USD
1,ACN200501P00120000,1584731389,120.0,5.0,0.0,4.5,0.0,0.0,2.0,0.0,1.9111332568359378,False,REGULAR,USD
2,ACN200501P00125000,1585250018,125.0,2.13,0.0,4.3,0.0,0.0,2.0,8.0,1.724610751953125,False,REGULAR,USD
3,ACN200501P00137000,1585941613,137.0,5.09,0.0,4.4,0.0,0.0,3.0,3.0,1.361331318359375,False,REGULAR,USD
4,ACN200501P00139000,1586283398,139.0,1.25,0.0,4.4,0.0,0.0,,1.0,1.3007847460937496,False,REGULAR,USD
5,ACN200501P00140000,1585941613,140.0,5.88,0.05,4.4,0.0,0.0,3.0,4.0,1.2753942480468747,False,REGULAR,USD
6,ACN200501P00142000,1587410027,142.0,0.5,0.6,1.05,0.0,0.0,,,0.9174812939453125,False,REGULAR,USD
7,ACN200501P00144000,1587050701,144.0,1.5,0.2,0.9,0.0,0.0,1.0,1.0,0.7885763330078125,False,REGULAR,USD
8,ACN200501P00146000,1587075872,146.0,1.0,0.15,1.8,0.0,0.0,,1.0,0.8544936425781251,False,REGULAR,USD
9,ACN200501P00147000,1586285654,147.0,2.95,0.05,1.8,0.0,0.0,10.0,9.0,0.8173846386718748,False,REGULAR,USD
10,ACN200501P00148000,1587059012,148.0,1.35,0.1,1.95,0.0,0.0,2.0,2.0,0.81445498046875,False,REGULAR,USD
11,ACN200501P00149000,1586873755,149.0,1.25,0.15,1.1,0.0,0.0,1.0,3.0,0.6938507177734375,False,REGULAR,USD
12,ACN200501P00150000,1587660344,150.0,0.4,0.35,0.6,-1.19,-74.842766,10.0,1.0,0.6279334082031252,False,REGULAR,USD
13,ACN200501P00152500,1586964295,152.5,2.15,0.05,0.65,0.0,0.0,1.0,3.0,0.534184345703125,False,REGULAR,USD
14,ACN200501P00155000,1587565989,155.0,1.12,0.3,0.8,0.0,0.0,1.0,4.0,0.5351608984375,False,REGULAR,USD
15,ACN200501P00157500,1587565989,157.5,1.39,0.2,0.95,0.0,0.0,1.0,2.0,0.5581098876953126,False,REGULAR,USD
16,ACN200501P00160000,1587658716,160.0,0.8,0.7,1.3,-3.1000001,-79.48718,1.0,31.0,0.5024463818359376,False,REGULAR,USD
17,ACN200501P00162500,1587393621,162.5,2.1,0.9,1.6,0.0,0.0,3.0,6.0,0.5219774365234374,False,REGULAR,USD
18,ACN200501P00167500,1587489403,167.5,5.74,1.65,2.7,0.0,0.0,1.0,17.0,0.49170430175781255,False,REGULAR,USD
19,ACN200501P00170000,1587585191,170.0,4.0,2.4,3.5,0.0,0.0,4.0,106.0,0.4804739453125,False,REGULAR,USD
20,ACN200501P00175000,1587487140,175.0,11.0,4.5,5.7,0.0,0.0,1.0,3.0,0.463872548828125,True,REGULAR,USD
21,ACN200501P00180000,1584626004,180.0,26.0,6.8,11.0,0.0,0.0,1.0,0.0,0.6755403540039064,True,REGULAR,USD
22,ACN200501P00185000,1585302054,185.0,29.0,16.7,18.2,0.0,0.0,1.0,0.0,0.9744875598144531,True,REGULAR,USD
