,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CAT200501C00060000,1585759068,60.0,51.38,52.65,53.4,0.0,0.0,,1,1.8046884765624998,True,REGULAR,USD
1,CAT200501C00094000,1586892245,94.0,22.33,19.2,19.85,0.0,0.0,8.0,3,0.710940390625,True,REGULAR,USD
2,CAT200501C00095000,1586458759,95.0,29.04,18.25,18.9,0.0,0.0,1.0,0,0.7060576269531251,True,REGULAR,USD
3,CAT200501C00096000,1586281533,96.0,31.5,17.3,17.85,0.0,0.0,1.0,2,0.6718782812500002,True,REGULAR,USD
4,CAT200501C00098500,1584455176,98.5,9.1,11.5,12.5,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD
5,CAT200501C00099000,1587498608,99.0,12.75,14.55,15.15,0.0,0.0,3.0,0,0.6777375976562501,True,REGULAR,USD
6,CAT200501C00099500,1587134379,99.5,15.99,14.15,14.75,0.0,0.0,1.0,0,0.6909210595703126,True,REGULAR,USD
7,CAT200501C00100000,1587483783,100.0,11.76,13.65,14.25,0.0,0.0,6.0,10,0.6713900048828126,True,REGULAR,USD
8,CAT200501C00101000,1587483783,101.0,14.15,12.7,13.25,3.1599998,28.753412,2.0,1,0.639652041015625,True,REGULAR,USD
9,CAT200501C00103000,1585747971,103.0,12.4,11.0,11.55,-1.5900002,-11.365262,3.0,2,0.6350134155273439,True,REGULAR,USD
10,CAT200501C00104000,1585938806,104.0,12.7,10.25,10.65,0.0,0.0,100.0,100,0.6306189282226562,True,REGULAR,USD
11,CAT200501C00105000,1587584447,105.0,7.84,9.35,9.85,0.0,0.0,1.0,106,0.6162147753906251,True,REGULAR,USD
12,CAT200501C00106000,1587661257,106.0,9.14,8.6,9.05,2.2900004,33.430664,40.0,7,0.6125527026367189,True,REGULAR,USD
13,CAT200501C00107000,1587662171,107.0,8.82,7.8,8.3,2.12,31.64179,14.0,12,0.603763728027344,True,REGULAR,USD
14,CAT200501C00108000,1587661791,108.0,7.72,7.05,7.45,2.02,35.4386,37.0,8,0.5861857788085938,True,REGULAR,USD
15,CAT200501C00109000,1587657730,109.0,7.95,6.45,6.8,2.5499997,47.222218,3.0,32,0.5922892333984376,True,REGULAR,USD
16,CAT200501C00110000,1587663245,110.0,6.25,5.7,6.1,1.52,32.135307,24.0,50,0.5773968041992188,True,REGULAR,USD
17,CAT200501C00111000,1587653405,111.0,6.0,5.1,5.45,1.6100001,36.674263,5.0,95,0.5725140405273439,True,REGULAR,USD
18,CAT200501C00112000,1587649977,112.0,5.35,4.5,4.85,1.8599999,53.295124,10.0,25,0.5656781713867188,True,REGULAR,USD
19,CAT200501C00113000,1587663354,113.0,4.55,4.0,4.3,1.5200002,50.165024,15.0,73,0.5642133422851563,True,REGULAR,USD
20,CAT200501C00114000,1587665082,114.0,3.7,3.4,3.75,1.06,40.151512,56.0,31,0.5500533276367189,False,REGULAR,USD
21,CAT200501C00115000,1587663245,115.0,3.32,2.93,3.25,0.8699999,35.510197,108.0,209,0.5429733203125001,False,REGULAR,USD
22,CAT200501C00116000,1587663838,116.0,2.69,2.45,2.78,0.53999996,25.116276,36.0,48,0.5312546875,False,REGULAR,USD
23,CAT200501C00117000,1587662535,117.0,2.46,2.17,2.42,0.64,35.164833,7.0,89,0.5361374511718751,False,REGULAR,USD
24,CAT200501C00118000,1587659700,118.0,2.34,1.79,2.01,0.8499999,57.046974,14.0,66,0.5241746801757812,False,REGULAR,USD
25,CAT200501C00119000,1587659400,119.0,2.03,1.48,1.71,0.80999994,66.39343,9.0,48,0.5200243310546875,False,REGULAR,USD
26,CAT200501C00120000,1587664866,120.0,1.37,1.26,1.37,0.26999998,24.545452,466.0,642,0.5136767382812499,False,REGULAR,USD
27,CAT200501C00121000,1587660606,121.0,1.07,1.01,1.13,0.18000007,20.224728,122.0,203,0.506840869140625,False,REGULAR,USD
28,CAT200501C00122000,1587660161,122.0,1.15,0.81,1.0,0.45999998,66.666664,43.0,51,0.5102588037109376,False,REGULAR,USD
29,CAT200501C00123000,1587653370,123.0,1.05,0.66,0.77,0.47999996,84.21052,2.0,24,0.5019581054687501,False,REGULAR,USD
30,CAT200501C00124000,1587662558,124.0,0.63,0.51,0.63,0.13,26.0,50.0,31,0.5131884619140624,False,REGULAR,USD
