,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNP200501C00085000,1584742063,85.0,41.65,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
1,UNP200501C00118000,1584629732,118.0,22.5,30.0,34.7,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
2,UNP200501C00130000,1586192490,130.0,20.86,21.8,24.0,0.0,0.0,3.0,0.0,0.7631859619140625,True,REGULAR,USD
3,UNP200501C00131000,1585297570,131.0,9.4,13.9,15.3,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
4,UNP200501C00132000,1587066285,132.0,13.55,19.7,21.95,0.0,0.0,6.0,6.0,0.694338994140625,True,REGULAR,USD
5,UNP200501C00134000,1587581078,134.0,14.41,18.15,20.3,0.0,0.0,2.0,4.0,0.726565234375,True,REGULAR,USD
6,UNP200501C00135000,1585079835,135.0,6.7,16.65,19.1,0.0,0.0,16.0,17.0,0.6513706738281251,True,REGULAR,USD
7,UNP200501C00136000,1585299385,136.0,12.3,10.1,11.3,0.0,0.0,,20.0,1.0000000000000003e-05,True,REGULAR,USD
8,UNP200501C00139000,1585841333,139.0,8.65,13.9,14.9,0.0,0.0,21.0,8.0,0.4931691308593751,True,REGULAR,USD
9,UNP200501C00141000,1585665430,141.0,10.26,11.95,13.05,0.0,0.0,,20.0,0.471684970703125,True,REGULAR,USD
10,UNP200501C00142000,1587476547,142.0,6.9,10.85,12.25,0.0,0.0,7.0,859.0,0.481450498046875,True,REGULAR,USD
11,UNP200501C00143000,1587064373,143.0,6.1,9.9,11.65,0.0,0.0,501.0,492.0,0.51758294921875,True,REGULAR,USD
12,UNP200501C00144000,1587648728,144.0,11.1,9.35,10.6,5.3,91.37931,1.0,790.0,0.477544287109375,True,REGULAR,USD
13,UNP200501C00145000,1587664384,145.0,9.28,8.45,9.4,2.9299998,46.141727,19.0,85.0,0.41480077392578124,True,REGULAR,USD
14,UNP200501C00146000,1587654914,146.0,12.3,7.85,9.05,6.55,113.91305,2.0,12.0,0.47363807617187503,True,REGULAR,USD
15,UNP200501C00147000,1587584804,147.0,5.16,6.9,7.95,0.0,0.0,42.0,37.0,0.4250545776367188,True,REGULAR,USD
16,UNP200501C00148000,1587653971,148.0,10.28,6.4,7.2,5.8599997,132.57916,4.0,107.0,0.41992767578125,True,REGULAR,USD
17,UNP200501C00149000,1587574505,149.0,3.85,5.7,6.5,0.0,0.0,21.0,50.0,0.4172421557617187,True,REGULAR,USD
18,UNP200501C00150000,1587664567,150.0,4.9,5.05,5.8,1.21,32.79133,13.0,25.0,0.41040628662109374,True,REGULAR,USD
19,UNP200501C00152500,1587571907,152.5,2.53,3.6,4.35,0.0,0.0,16.0,20.0,0.40820904296875,True,REGULAR,USD
20,UNP200501C00155000,1587663868,155.0,2.79,2.36,3.1,1.0,55.865925,53.0,38.0,0.40064075927734377,False,REGULAR,USD
21,UNP200501C00157500,1587653971,157.5,3.64,3.1,4.05,2.3500001,182.17056,24.0,,0.5546919531250001,False,REGULAR,USD
22,UNP200501C00160000,1587663287,160.0,1.3,1.01,1.35,0.49999994,62.49999,298.0,30.0,0.3852600537109374,False,REGULAR,USD
23,UNP200501C00162500,1587656086,162.5,1.09,0.14,1.03,0.66,153.48837,41.0,3.0,0.4116269775390625,False,REGULAR,USD
24,UNP200501C00165000,1587653063,165.0,1.1,0.08,0.65,0.89000005,423.8096,2.0,2.0,0.4096738720703125,False,REGULAR,USD
25,UNP200501C00170000,1587654051,170.0,0.35,0.0,0.68,-0.4,-53.333332,12.0,1.0,0.5266160620117188,False,REGULAR,USD
26,UNP200501C00175000,1585682777,175.0,0.75,0.0,0.45,0.0,0.0,,1.0,0.5688519677734375,False,REGULAR,USD
27,UNP200501C00180000,1584331422,180.0,0.7,0.01,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD
