,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ABBV200515P00035000,1587475810,35.0,0.06,0.0,0.08,0.0,0.0,8.0,8.0,1.3828155859374998,False,REGULAR,USD
1,ABBV200515P00037500,1587475815,37.5,0.06,0.0,0.08,0.0,0.0,16.0,123.0,1.2812535937499998,False,REGULAR,USD
2,ABBV200515P00040000,1587150410,40.0,0.11,0.02,0.11,0.0,0.0,1.0,172.0,1.2578162109375,False,REGULAR,USD
3,ABBV200515P00042500,1584461476,42.5,1.09,0.0,0.16,0.0,0.0,5.0,22.0,1.19141029296875,False,REGULAR,USD
4,ABBV200515P00045000,1587051678,45.0,0.1,0.0,0.2,0.0,0.0,4.0,4.0,1.1328168359375002,False,REGULAR,USD
5,ABBV200515P00047500,1587393702,47.5,0.08,0.02,0.25,0.0,0.0,3.0,189.0,1.08984830078125,False,REGULAR,USD
6,ABBV200515P00050000,1587400628,50.0,0.01,0.02,0.26,0.0,0.0,11.0,1510.0,1.0058643457031249,False,REGULAR,USD
7,ABBV200515P00055000,1587648601,55.0,0.07,0.06,0.46,-0.089999996,-56.25,1.0,4434.0,0.9335944140625,False,REGULAR,USD
8,ABBV200515P00057500,1587663503,57.5,0.2,0.13,0.19,-0.07000001,-25.925928,195.0,262.0,0.7753928710937501,False,REGULAR,USD
9,ABBV200515P00060000,1587575322,60.0,0.24,0.15,0.24,0.0,0.0,1.0,925.0,0.7216824707031251,False,REGULAR,USD
10,ABBV200515P00062500,1587663864,62.5,0.27,0.18,0.38,-0.030000001,-10.0,6.0,709.0,0.6914093359375001,False,REGULAR,USD
11,ABBV200515P00065000,1587658924,65.0,0.28,0.31,0.41,-0.13,-31.707317,105.0,771.0,0.64648791015625,False,REGULAR,USD
12,ABBV200515P00067500,1587662703,67.5,0.45,0.36,0.49,0.049999982,12.499995,154.0,756.0,0.58789474609375,False,REGULAR,USD
13,ABBV200515P00070000,1587662423,70.0,0.56,0.52,0.65,-2.03,-78.37838,1413.0,2863.0,0.551762294921875,False,REGULAR,USD
14,ABBV200515P00072500,1587664182,72.5,0.87,0.76,1.05,-1.05,-54.687496,35.0,1506.0,0.5363815893554689,False,REGULAR,USD
15,ABBV200515P00073000,1587391874,73.0,0.97,0.71,1.0,0.0,0.0,,,0.5073291455078125,False,REGULAR,
16,ABBV200515P00074000,1587569956,74.0,1.3,0.89,1.13,0.0,0.0,,,0.5219774365234374,False,REGULAR,
17,ABBV200515P00075000,1587665222,75.0,1.23,1.09,1.35,-0.8799999,-41.706158,2359.0,1756.0,0.5200243310546875,False,REGULAR,USD
18,ABBV200515P00076000,1587484920,76.0,2.2,1.23,1.45,0.0,0.0,3.0,,0.4943898217773438,False,REGULAR,USD
19,ABBV200515P00077000,1587477752,77.0,1.93,1.32,1.68,0.0,0.0,,,0.48608912353515626,False,REGULAR,USD
20,ABBV200515P00077500,1587660293,77.5,1.67,1.56,1.92,-0.09000003,-5.1136384,20.0,1148.0,0.4982960327148438,False,REGULAR,USD
21,ABBV200515P00078000,1587584862,78.0,2.25,1.53,1.92,0.0,0.0,,,0.47510290527343746,False,REGULAR,USD
22,ABBV200515P00079000,1587577465,79.0,2.32,1.79,2.13,0.0,0.0,,,0.4558159887695313,False,REGULAR,USD
23,ABBV200515P00080000,1587657670,80.0,2.08,2.24,2.54,-0.83000016,-28.52234,28.0,3612.0,0.45898978515625005,False,REGULAR,USD
24,ABBV200515P00080500,1587566585,80.5,3.45,2.18,2.56,0.0,0.0,,,0.43506424316406256,False,REGULAR,
25,ABBV200515P00081000,1587578293,81.0,3.1,2.37,2.73,0.0,0.0,,,0.42896078857421877,False,REGULAR,
26,ABBV200515P00081500,1587583806,81.5,3.52,2.55,2.9,0.0,0.0,,,0.42188078125,False,REGULAR,USD
27,ABBV200515P00082000,1587580043,82.0,3.66,2.83,3.05,0.0,0.0,,,0.411138701171875,False,REGULAR,USD
28,ABBV200515P00082500,1587664066,82.5,3.35,3.2,3.6,-0.8699999,-20.616112,10.0,1590.0,0.44751529052734373,False,REGULAR,USD
29,ABBV200515P00083000,1587483661,83.0,5.21,3.15,3.45,0.0,0.0,,,0.39771110107421875,True,REGULAR,USD
30,ABBV200515P00083500,1587412659,83.5,3.3,3.55,3.7,0.0,0.0,,,0.3947814428710938,True,REGULAR,USD
31,ABBV200515P00084000,1587566688,84.0,5.1,3.65,4.0,0.0,0.0,,,0.3967345483398438,True,REGULAR,
32,ABBV200515P00084500,1587409172,84.5,4.1,3.9,4.25,0.0,0.0,,,0.39087523193359375,True,REGULAR,
33,ABBV200515P00085000,1587659254,85.0,4.3,4.45,4.85,-1.1999998,-21.818178,10.0,1910.0,0.4270076831054688,True,REGULAR,USD
34,ABBV200515P00087500,1587655404,87.5,5.7,6.05,6.4,1.7299998,43.57682,4.0,1635.0,0.4094297338867187,True,REGULAR,USD
35,ABBV200515P00088000,1587396933,88.0,5.15,5.9,6.45,0.0,0.0,,,0.36377589355468753,True,REGULAR,
36,ABBV200515P00088500,1587407127,88.5,5.84,6.2,6.7,0.0,0.0,,,0.34229173339843744,True,REGULAR,
37,ABBV200515P00089000,1587396993,89.0,5.8,6.55,7.1,0.0,0.0,,,0.34180345703125,True,REGULAR,USD
38,ABBV200515P00090000,1587655982,90.0,7.6,7.95,8.3,-2.7500005,-26.570053,5.0,5261.0,0.4057676611328125,True,REGULAR,USD
39,ABBV200515P00092500,1587655000,92.5,9.7,10.15,10.5,-4.83,-33.24157,1.0,407.0,0.42383388671875,True,REGULAR,USD
40,ABBV200515P00095000,1587572607,95.0,13.35,12.4,12.8,0.0,0.0,6.0,535.0,0.44287666503906253,True,REGULAR,USD
41,ABBV200515P00097500,1586960451,97.5,17.8,14.8,15.3,0.0,0.0,1.0,114.0,0.500005,True,REGULAR,USD
42,ABBV200515P00100000,1587653209,100.0,16.6,17.3,17.75,-0.8500004,-4.8710623,350.0,439.0,0.5400436621093752,True,REGULAR,USD
43,ABBV200515P00105000,1585747818,105.0,33.06,21.5,22.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
44,ABBV200515P00110000,1585927695,110.0,35.87,27.2,27.7,0.0,0.0,1.0,38.0,0.5937540625000001,True,REGULAR,USD
45,ABBV200515P00115000,1586751062,115.0,38.45,32.15,32.8,0.0,0.0,,1.0,0.684573466796875,True,REGULAR,USD
