,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CVS200522C00050000,1586353274,50.0,8.33,11.05,13.25,0.0,0.0,,100.0,0.631839619140625,True,REGULAR,USD
1,CVS200522C00052500,1586353274,52.5,6.36,9.5,12.1,0.0,0.0,,100.0,0.7795432202148438,True,REGULAR,USD
2,CVS200522C00053500,1587394946,53.5,10.15,8.55,11.55,0.0,0.0,,,0.7722190747070312,True,REGULAR,USD
3,CVS200522C00054000,1586890816,54.0,8.1,7.05,10.1,0.0,0.0,,0.0,0.5532271240234375,True,REGULAR,USD
4,CVS200522C00054500,1587394946,54.5,9.6,7.8,10.05,0.0,0.0,,,0.6928741650390625,True,REGULAR,USD
5,CVS200522C00055500,1586882239,55.5,6.3,6.8,9.15,0.0,0.0,1.0,1.0,0.6459996337890624,True,REGULAR,USD
6,CVS200522C00056000,1586966680,56.0,5.8,6.05,7.5,0.0,0.0,2.0,2.0,0.622074091796875,True,REGULAR,USD
7,CVS200522C00056500,1587145113,56.5,6.0,6.1,7.7,0.0,0.0,1.0,1.0,0.5766643896484375,True,REGULAR,USD
8,CVS200522C00057000,1586185383,57.0,6.05,5.3,7.0,0.0,0.0,1.0,36.0,0.5061084545898438,True,REGULAR,USD
9,CVS200522C00057500,1586447704,57.5,4.95,4.5,7.05,0.0,0.0,2.0,2.0,0.7026396923828125,True,REGULAR,USD
10,CVS200522C00058000,1587563519,58.0,5.0,4.5,6.35,0.0,0.0,1.0,1.0,0.6398961791992188,True,REGULAR,USD
11,CVS200522C00058500,1587477362,58.5,5.4,4.25,5.85,0.0,0.0,1.0,1.0,0.6079140771484376,True,REGULAR,USD
12,CVS200522C00059500,1586440399,59.5,3.65,4.15,4.6,0.0,0.0,1.0,2.0,0.50586431640625,True,REGULAR,USD
13,CVS200522C00060000,1587496360,60.0,3.28,2.68,5.0,0.0,0.0,1.0,32.0,0.6044961425781252,True,REGULAR,USD
14,CVS200522C00060500,1587130324,60.5,5.2,3.3,4.8,0.0,0.0,1.0,2.0,0.5043994873046875,True,REGULAR,USD
15,CVS200522C00061000,1587480506,61.0,3.34,2.99,3.8,0.0,0.0,1.0,8.0,0.5048877636718749,True,REGULAR,USD
16,CVS200522C00061500,1587651901,61.5,3.25,2.83,3.6,-0.45000005,-12.162163,4.0,2.0,0.5107470800781251,True,REGULAR,USD
17,CVS200522C00062000,1587663063,62.0,2.93,2.67,3.0,0.8700001,42.233017,6.0,13.0,0.45825737060546884,False,REGULAR,USD
18,CVS200522C00062500,1587653968,62.5,2.87,1.0,2.89,0.6899998,31.65137,1.0,554.0,0.47363807617187503,False,REGULAR,USD
19,CVS200522C00063000,1587652445,63.0,2.5,2.06,2.99,0.5,25.0,12.0,173.0,0.51758294921875,False,REGULAR,USD
20,CVS200522C00063500,1586878564,63.5,1.69,1.24,2.31,0.0,0.0,,1.0,0.44824770507812495,False,REGULAR,USD
21,CVS200522C00064000,1587660787,64.0,2.0,1.67,2.4,0.14999998,8.108107,20.0,3.0,0.48828636718750007,False,REGULAR,USD
22,CVS200522C00065000,1587483138,65.0,1.58,1.19,1.59,0.18000007,12.857148,1.0,37.0,0.4172421557617187,False,REGULAR,USD
23,CVS200522C00066000,1587650389,66.0,1.29,0.26,1.38,-0.4100001,-24.117651,1.0,34.0,0.42847251220703125,False,REGULAR,USD
24,CVS200522C00067000,1587583430,67.0,0.83,0.09,1.17,0.0,0.0,,,0.4343318286132813,False,REGULAR,
25,CVS200522C00070000,1587664218,70.0,0.35,0.2,0.48,-0.060000002,-14.634147,6.0,29.0,0.397466962890625,False,REGULAR,USD
26,CVS200522C00075000,1587662735,75.0,0.1,0.02,0.15,-0.1,-50.0,3.0,9.0,0.40918559570312496,False,REGULAR,USD
