,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,FDX200522C00105000,1587568252,105.0,18.0,17.7,19.7,0.0,0.0,,1.0,0.6401403173828125,True,REGULAR,USD
1,FDX200522C00110000,1587140979,110.0,16.25,13.05,14.7,0.0,0.0,1.0,1.0,0.5262498547363281,True,REGULAR,USD
2,FDX200522C00117000,1587567459,117.0,9.25,8.9,10.5,0.0,0.0,13.0,17.0,0.5483443603515626,True,REGULAR,USD
3,FDX200522C00119000,1587584337,119.0,7.1,7.7,9.1,0.0,0.0,1.0,1.0,0.5314988256835937,True,REGULAR,USD
4,FDX200522C00120000,1587567441,120.0,7.55,7.1,8.6,0.0,0.0,18.0,19.0,0.5282029602050782,True,REGULAR,USD
5,FDX200522C00121000,1587567457,121.0,6.95,6.65,7.85,0.0,0.0,5.0,5.0,0.5197801928710937,True,REGULAR,USD
6,FDX200522C00122000,1587568779,122.0,6.47,6.15,8.15,0.0,0.0,5.0,4.0,0.5459029785156251,False,REGULAR,USD
7,FDX200522C00123000,1586789549,123.0,8.3,5.6,6.6,0.0,0.0,10.0,10.0,0.5018360363769532,False,REGULAR,USD
8,FDX200522C00125000,1587659902,125.0,5.4,4.75,5.45,-0.15999985,-2.877695,1.0,27.0,0.5137988073730468,False,REGULAR,USD
9,FDX200522C00127000,1587574017,127.0,3.87,1.92,4.75,0.0,0.0,,,0.5162401892089843,False,REGULAR,
10,FDX200522C00128000,1587655158,128.0,4.04,2.98,4.2,0.26999998,7.1618032,2.0,13.0,0.5001270690917969,False,REGULAR,USD
11,FDX200522C00129000,1587580021,129.0,3.42,2.72,3.8,0.0,0.0,3.0,12.0,0.49341326904296884,False,REGULAR,USD
12,FDX200522C00130000,1587658703,130.0,3.3,2.1,3.45,-1.7500002,-34.65347,7.0,36.0,0.48901878173828134,False,REGULAR,USD
13,FDX200522C00131000,1586792940,131.0,4.18,1.58,3.25,0.0,0.0,,177.0,0.4950001672363281,False,REGULAR,USD
14,FDX200522C00132000,1587574017,132.0,2.32,1.71,2.9,0.0,0.0,1.0,2.0,0.48730981445312505,False,REGULAR,USD
15,FDX200522C00135000,1586447645,135.0,4.56,0.95,2.25,0.0,0.0,3.0,7.0,0.4887746435546876,False,REGULAR,USD
16,FDX200522C00136000,1587391852,136.0,2.96,1.04,2.04,0.0,0.0,,,0.4870656762695313,False,REGULAR,
17,FDX200522C00140000,1587493226,140.0,1.37,0.69,1.21,0.0,0.0,2.0,5.0,0.46362841064453125,False,REGULAR,USD
18,FDX200522C00145000,1587651725,145.0,0.55,0.41,0.69,0.050000012,10.000002,10.0,0.0,0.45972219970703126,False,REGULAR,USD
19,FDX200522C00150000,1587130206,150.0,0.67,0.19,1.28,0.0,0.0,1.0,7.0,0.5295457202148439,False,REGULAR,USD
20,FDX200522C00155000,1586361004,155.0,0.95,0.09,0.71,0.0,0.0,,2.0,0.51562984375,False,REGULAR,USD
21,FDX200522C00160000,1587476639,160.0,0.05,0.03,0.27,0.0,0.0,1.0,6.0,0.5273484765625001,False,REGULAR,USD
