,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN200529P01190000,1587486617,1190.0,0.5,0.0,1.05,0.0,0.0,6.0,6.0,0.8256853369140623,False,REGULAR,USD
1,AMZN200529P01200000,1587355580,1200.0,0.29,0.01,1.07,0.0,0.0,,,0.8188494677734374,False,REGULAR,USD
2,AMZN200529P01300000,1587481350,1300.0,1.49,,2.28,0.82,122.388054,80.0,,0.8682874499511719,False,REGULAR,
3,AMZN200529P01330000,1587355585,1330.0,1.0,0.0,1.28,0.0,0.0,,1.0,0.7180203979492188,False,REGULAR,USD
4,AMZN200529P01350000,1587355586,1350.0,1.45,0.01,1.32,0.0,0.0,,4.0,0.7041045214843751,False,REGULAR,USD
5,AMZN200529P01360000,1586886599,1360.0,1.67,0.0,1.34,0.0,0.0,,1.0,0.6962920996093751,False,REGULAR,USD
6,AMZN200529P01380000,1587400068,1380.0,1.3,0.0,1.38,0.0,0.0,4.0,14.0,0.6821320849609377,False,REGULAR,USD
7,AMZN200529P01390000,1587057939,1390.0,1.29,0.0,1.4,0.0,0.0,6.0,6.0,0.6749300085449221,False,REGULAR,USD
8,AMZN200529P01410000,1587052877,1410.0,1.9,0.0,1.45,0.0,0.0,1.0,1.0,0.661258270263672,False,REGULAR,USD
9,AMZN200529P01450000,1587394011,1450.0,1.25,0.02,1.42,0.0,0.0,,,0.6286658227539064,False,REGULAR,USD
10,AMZN200529P01480000,1587483504,1480.0,2.38,0.15,1.68,0.0,0.0,5.0,15.0,0.6224402990722657,False,REGULAR,USD
11,AMZN200529P01490000,1586871002,1490.0,3.2,0.2,1.72,0.0,0.0,,1.0,0.6180458117675782,False,REGULAR,USD
12,AMZN200529P01500000,1587482105,1500.0,2.95,0.24,1.76,0.0,0.0,10.0,14.0,0.6131630480957033,False,REGULAR,USD
13,AMZN200529P01520000,1587650325,1520.0,0.95,0.34,1.86,-2.7,-73.9726,1.0,4.0,0.6044961425781252,False,REGULAR,USD
14,AMZN200529P01530000,1587490257,1530.0,2.9,0.4,1.95,0.0,0.0,18.0,21.0,0.6015664843750002,False,REGULAR,USD
15,AMZN200529P01550000,1587653602,1550.0,1.0,0.52,2.07,-1.02,-50.49505,1.0,6.0,0.5931437170410157,False,REGULAR,USD
16,AMZN200529P01580000,1587134172,1580.0,3.05,0.7,2.25,0.0,0.0,1.0,1.0,0.5794109442138673,False,REGULAR,USD
17,AMZN200529P01600000,1587491773,1600.0,4.2,0.9,2.45,0.0,0.0,5.0,53.0,0.5734905932617188,False,REGULAR,USD
18,AMZN200529P01620000,1587133519,1620.0,2.33,1.09,2.61,-1.77,-43.170734,1.0,3.0,0.5654950677490236,False,REGULAR,USD
19,AMZN200529P01630000,1587562370,1630.0,3.59,1.14,2.72,0.0,0.0,1.0,1.0,0.5609174768066407,False,REGULAR,USD
20,AMZN200529P01650000,1587137427,1650.0,5.01,1.42,2.99,0.0,0.0,1.0,2.0,0.555790574951172,False,REGULAR,USD
21,AMZN200529P01670000,1587580321,1670.0,3.4,1.69,3.3,0.0,0.0,4.0,14.0,0.5499312585449221,False,REGULAR,USD
22,AMZN200529P01680000,1587131774,1680.0,5.6,1.82,3.35,0.0,0.0,1.0,2.0,0.5449264257812501,False,REGULAR,USD
23,AMZN200529P01700000,1587657277,1700.0,2.47,2.13,3.6,-5.0299997,-67.066666,3.0,23.0,0.5374802111816408,False,REGULAR,USD
24,AMZN200529P01710000,1587482369,1710.0,9.7,2.3,3.95,0.0,0.0,1.0,2.0,0.5368088311767578,False,REGULAR,USD
25,AMZN200529P01730000,1587135321,1730.0,7.15,2.69,4.25,0.0,0.0,2.0,2.0,0.5297288238525393,False,REGULAR,USD
26,AMZN200529P01740000,1587134959,1740.0,8.25,3.05,4.35,0.0,0.0,1.0,1.0,0.5272264074707032,False,REGULAR,USD
27,AMZN200529P01750000,1587659148,1750.0,3.3,3.3,4.65,-3.3,-50.0,2.0,4.0,0.5254564056396485,False,REGULAR,USD
28,AMZN200529P01760000,1587065253,1760.0,9.0,3.45,4.85,0.0,0.0,1.0,2.0,0.5211534701538084,False,REGULAR,USD
29,AMZN200529P01790000,1587151087,1790.0,10.3,4.3,5.8,0.0,0.0,3.0,1.0,0.5145007046508788,False,REGULAR,USD
30,AMZN200529P01800000,1587650831,1800.0,4.6,4.65,6.15,-2.4500003,-34.751778,4.0,14.0,0.5125475991821288,False,REGULAR,USD
31,AMZN200529P01810000,1587061779,1810.0,11.1,4.95,6.45,0.0,0.0,1.0,1.0,0.5093738027954101,False,REGULAR,USD
32,AMZN200529P01820000,1587661951,1820.0,4.9,5.3,6.8,-4.85,-49.74359,2.0,17.0,0.5067798345947265,False,REGULAR,USD
33,AMZN200529P01830000,1587650502,1830.0,5.5,5.65,7.2,-4.8,-46.601944,1.0,12.0,0.5042774182128906,False,REGULAR,USD
34,AMZN200529P01840000,1587652625,1840.0,5.79,6.05,7.6,-5.01,-46.38889,1.0,17.0,0.501805519104004,False,REGULAR,USD
35,AMZN200529P01850000,1587648604,1850.0,8.15,6.45,8.05,-1.1000004,-11.891896,3.0,28.0,0.5104113900756836,False,REGULAR,USD
36,AMZN200529P01870000,1587563424,1870.0,12.9,7.4,8.95,0.0,0.0,1.0,14.0,0.5044300045776368,False,REGULAR,USD
37,AMZN200529P01880000,1587654542,1880.0,7.15,7.85,9.55,-4.1,-36.444443,1.0,6.0,0.5028431063842774,False,REGULAR,USD
