,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DIS210618P00045000,1587485978,45.0,1.95,1.67,1.99,0.0,0.0,1,186,0.5784954260253907,False,REGULAR,USD
1,DIS210618P00050000,1587482719,50.0,2.47,2.19,2.46,0.0,0.0,1,76,0.5502974658203126,False,REGULAR,USD
2,DIS210618P00055000,1587047581,55.0,2.85,2.67,2.98,0.0,0.0,7,53,0.5195360546875,False,REGULAR,USD
3,DIS210618P00060000,1587651958,60.0,3.65,3.5,3.7,0.13000011,3.693185,10,1702,0.5008594836425782,False,REGULAR,USD
4,DIS210618P00065000,1587407878,65.0,4.1,4.35,4.6,0.0,0.0,2,92,0.48718774536132814,False,REGULAR,USD
5,DIS210618P00070000,1587402401,70.0,5.75,5.45,5.65,0.0,0.0,2,339,0.4697928997802735,False,REGULAR,USD
6,DIS210618P00075000,1587563467,75.0,6.65,6.6,6.85,0.0,0.0,1,373,0.4530694342041016,False,REGULAR,USD
7,DIS210618P00080000,1587570753,80.0,7.9,8.05,8.45,0.0,0.0,5,2133,0.4441583905029296,False,REGULAR,USD
8,DIS210618P00085000,1587656342,85.0,9.7,9.7,10.05,0.19999981,2.105261,10,725,0.4297542376708985,False,REGULAR,USD
9,DIS210618P00090000,1587656686,90.0,11.63,11.5,11.9,-0.3699999,-3.0833323,3,1062,0.41736422485351554,False,REGULAR,USD
10,DIS210618P00095000,1587656579,95.0,13.7,13.65,14.0,0.6999998,5.384614,4,1438,0.40650007568359375,False,REGULAR,USD
11,DIS210618P00100000,1587656772,100.0,15.78,15.95,16.35,-0.07000065,-0.44164446,4,1595,0.39679558288574224,False,REGULAR,USD
12,DIS210618P00105000,1587663120,105.0,18.25,18.55,18.95,0.040000916,0.21966457,25,1145,0.38812867736816403,True,REGULAR,USD
13,DIS210618P00110000,1587663048,110.0,21.1,21.35,21.9,1.3800011,6.9979773,15,2560,0.3827576373291015,True,REGULAR,USD
14,DIS210618P00115000,1587663157,115.0,24.05,24.45,25.0,-0.25,-1.0288066,11,804,0.37616590637207037,True,REGULAR,USD
15,DIS210618P00120000,1587405460,120.0,25.9,27.75,28.55,0.0,0.0,3,473,0.37555556091308595,True,REGULAR,USD
16,DIS210618P00125000,1587409073,125.0,30.25,31.05,31.9,0.0,0.0,6,640,0.36597313720703123,True,REGULAR,USD
17,DIS210618P00130000,1586448063,130.0,31.55,34.8,35.9,0.0,0.0,7,1234,0.3682314154052735,True,REGULAR,USD
18,DIS210618P00135000,1587486697,135.0,40.25,38.7,39.55,0.0,0.0,2,703,0.35767243896484374,True,REGULAR,USD
19,DIS210618P00140000,1585838863,140.0,47.5,43.05,43.7,0.0,0.0,1,374,0.35657381713867187,True,REGULAR,USD
20,DIS210618P00145000,1587133616,145.0,44.52,47.1,47.8,0.0,0.0,1,122,0.350470362548828,True,REGULAR,USD
21,DIS210618P00150000,1585766538,150.0,57.1,51.6,52.4,0.0,0.0,6,192,0.3567569207763671,True,REGULAR,USD
22,DIS210618P00155000,1585764414,155.0,61.1,55.85,56.8,0.0,0.0,2,879,0.3540103662109374,True,REGULAR,USD
23,DIS210618P00160000,1584110772,160.0,64.48,56.0,60.1,0.0,0.0,7,360,0.29944548217773437,True,REGULAR,USD
24,DIS210618P00165000,1586189647,165.0,68.75,65.35,66.25,0.0,0.0,21,926,0.36524072265625,True,REGULAR,USD
25,DIS210618P00170000,1585758215,170.0,76.0,69.9,70.85,0.0,0.0,5,537,0.36304347900390627,True,REGULAR,USD
26,DIS210618P00175000,1585583594,175.0,79.4,74.8,75.55,0.0,0.0,1,1103,0.36304347900390627,True,REGULAR,USD
27,DIS210618P00180000,1586190286,180.0,82.25,79.4,80.55,0.0,0.0,21,23,0.375982802734375,True,REGULAR,USD
28,DIS210618P00185000,1585754306,185.0,88.9,84.3,85.3,0.0,0.0,2,17,0.3756165954589844,True,REGULAR,USD
29,DIS210618P00190000,1585754298,190.0,93.85,89.3,90.1,0.0,0.0,10,11,0.3763490100097656,True,REGULAR,USD
30,DIS210618P00195000,1565024184,195.0,59.5,57.55,58.65,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
31,DIS210618P00200000,1586186378,200.0,103.5,98.75,100.3,0.0,0.0,3,3,0.4096738720703125,True,REGULAR,USD
32,DIS210618P00210000,1585764353,210.0,114.4,108.7,109.9,0.0,0.0,2,6,0.4061338684082031,True,REGULAR,USD
33,DIS210618P00220000,1585933518,220.0,126.05,118.55,120.0,0.0,0.0,8,8,0.4317683776855469,True,REGULAR,USD
