,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BK200619P00015000,1587488291,15.0,0.07,0.0,0.09,0.0,0.0,4,206,0.9804689453125001,False,REGULAR,USD
1,BK200619P00017500,1587493392,17.5,0.1,0.0,0.08,0.0,0.0,13,87,0.804689453125,False,REGULAR,USD
2,BK200619P00020000,1587660109,20.0,0.09,0.0,0.11,-0.009999998,-9.999998,2,295,0.6953155468750001,False,REGULAR,USD
3,BK200619P00022500,1587579552,22.5,0.2,0.12,0.17,0.0,0.0,1,103,0.6718782812500002,False,REGULAR,USD
4,BK200619P00025000,1587579350,25.0,0.35,0.25,0.32,0.0,0.0,2,723,0.6279334082031252,False,REGULAR,USD
5,BK200619P00030000,1587655460,30.0,0.93,0.93,1.02,-0.16000003,-14.678901,1,369,0.5566450585937501,False,REGULAR,USD
6,BK200619P00035000,1587656937,35.0,2.5,2.59,2.69,-0.27999997,-10.071941,43,851,0.506840869140625,False,REGULAR,USD
7,BK200619P00040000,1587496758,40.0,5.9,5.55,5.7,0.0,0.0,8,883,0.454107021484375,True,REGULAR,USD
8,BK200619P00045000,1587650928,45.0,9.75,9.85,10.3,-0.1800003,-1.8126918,4,1502,0.5488326367187502,True,REGULAR,USD
9,BK200619P00050000,1587653352,50.0,14.49,14.7,15.3,0.18999958,1.3286684,1,375,0.5810588769531251,True,REGULAR,USD
10,BK200619P00055000,1580999546,55.0,8.0,16.85,17.4,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
11,BK200619P00060000,1579206271,60.0,13.75,14.05,14.4,0.0,0.0,23,23,1.0000000000000003e-05,True,REGULAR,USD
12,BK200619P00065000,1584640585,65.0,35.8,27.55,28.25,0.0,0.0,39,0,1.0000000000000003e-05,True,REGULAR,USD
