,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MDLZ200619C00025000,1586442374,25.0,27.5,26.7,27.3,0.0,0.0,1,1,0.7656273437500001,True,REGULAR,USD
1,MDLZ200619C00040000,1587148504,40.0,13.5,12.0,12.6,0.0,0.0,2,3,0.5678754150390625,True,REGULAR,USD
2,MDLZ200619C00042500,1585939817,42.5,9.25,9.9,10.4,0.0,0.0,2,13,0.5356491748046875,True,REGULAR,USD
3,MDLZ200619C00045000,1587391808,45.0,7.65,7.65,8.25,0.0,0.0,3,1552,0.49268085449218757,True,REGULAR,USD
4,MDLZ200619C00047500,1587584744,47.5,6.4,5.7,6.15,0.0,0.0,1,1137,0.43897045410156255,True,REGULAR,USD
5,MDLZ200619C00050000,1587577198,50.0,4.27,3.95,4.3,0.0,0.0,1,2215,0.397466962890625,True,REGULAR,USD
6,MDLZ200619C00052500,1587661983,52.5,2.7,2.44,2.77,-0.049999952,-1.8181801,5,2622,0.36475244628906256,False,REGULAR,USD
7,MDLZ200619C00055000,1587654445,55.0,1.74,1.32,1.58,0.07000005,4.19162,13,5885,0.33447931152343746,False,REGULAR,USD
8,MDLZ200619C00057500,1587660267,57.5,0.75,0.55,0.85,-0.060000002,-7.4074073,49,3963,0.32031929687499994,False,REGULAR,USD
9,MDLZ200619C00060000,1587579475,60.0,0.32,0.14,0.38,0.0,0.0,11,3146,0.301764794921875,False,REGULAR,USD
10,MDLZ200619C00062500,1587405911,62.5,0.14,0.02,0.15,0.0,0.0,4,969,0.2880930566406249,False,REGULAR,USD
11,MDLZ200619C00065000,1587487996,65.0,0.11,0.02,0.15,0.0,0.0,12,881,0.334967587890625,False,REGULAR,USD
12,MDLZ200619C00067500,1585333855,67.5,0.26,0.0,0.13,0.0,0.0,137,171,0.36817038085937503,False,REGULAR,USD
13,MDLZ200619C00070000,1587406130,70.0,0.01,0.0,0.09,0.0,0.0,1,70,0.383795224609375,False,REGULAR,USD
