,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NEE200619P00095000,1585576184,95.0,0.57,0.0,0.2,0.0,0.0,,49,0.929688203125,False,REGULAR,USD
1,NEE200619P00105000,1584991252,105.0,3.0,0.0,0.3,0.0,0.0,1.0,1,0.877930908203125,False,REGULAR,USD
2,NEE200619P00110000,1587483313,110.0,0.21,0.0,0.35,0.0,0.0,1.0,12,0.848634326171875,False,REGULAR,USD
3,NEE200619P00125000,1586883016,125.0,0.3,0.0,0.75,0.0,0.0,207.0,199,0.8017597949218749,False,REGULAR,USD
4,NEE200619P00130000,1585770125,130.0,2.5,0.05,1.1,0.0,0.0,1.0,2,0.8120135986328124,False,REGULAR,USD
5,NEE200619P00135000,1586807591,135.0,0.95,0.2,0.75,0.0,0.0,,2,0.7446314599609375,False,REGULAR,USD
6,NEE200619P00140000,1586807554,140.0,1.2,0.25,0.9,0.0,0.0,,4,0.7263210961914062,False,REGULAR,USD
7,NEE200619P00145000,1586191004,145.0,1.55,0.4,1.05,0.0,0.0,10.0,10,0.7138700488281251,False,REGULAR,USD
8,NEE200619P00150000,1586792579,150.0,1.2,0.55,2.25,0.0,0.0,18.0,37,0.7658714819335939,False,REGULAR,USD
9,NEE200619P00155000,1585236486,155.0,4.0,0.75,1.95,0.0,0.0,1.0,239,0.7165555688476561,False,REGULAR,USD
10,NEE200619P00160000,1587147743,160.0,1.25,1.0,2.1,0.0,0.0,4.0,41,0.6949493395996094,False,REGULAR,USD
11,NEE200619P00165000,1587395537,165.0,1.25,0.85,1.7,0.0,0.0,2.0,40,0.6248816809082032,False,REGULAR,USD
12,NEE200619P00170000,1586801365,170.0,2.3,1.35,2.0,0.0,0.0,10.0,72,0.6225623681640625,False,REGULAR,USD
13,NEE200619P00175000,1586799319,175.0,2.6,1.45,3.5,0.0,0.0,1.0,64,0.6428258374023439,False,REGULAR,USD
14,NEE200619P00180000,1587654195,180.0,2.5,2.25,3.0,0.3499999,16.279066,5.0,59,0.6097451135253908,False,REGULAR,USD
15,NEE200619P00185000,1587580708,185.0,2.65,2.35,3.1,0.0,0.0,13.0,70,0.5732464550781251,False,REGULAR,USD
16,NEE200619P00190000,1587659111,190.0,3.18,3.0,3.6,-0.029999971,-0.93457854,23.0,515,0.5631147204589844,False,REGULAR,USD
17,NEE200619P00195000,1587663807,195.0,3.9,2.8,4.2,0.20000005,5.4054065,49.0,131,0.5299119274902344,False,REGULAR,USD
18,NEE200619P00200000,1587584292,200.0,4.2,3.3,5.2,0.0,0.0,19.0,2354,0.5211229528808592,False,REGULAR,USD
19,NEE200619P00210000,1587659652,210.0,6.2,5.7,6.5,0.5,8.77193,28.0,2151,0.5024463818359376,False,REGULAR,USD
20,NEE200619P00220000,1587653683,220.0,8.35,7.9,8.7,0.4500003,5.696206,2.0,901,0.4888967126464845,False,REGULAR,USD
21,NEE200619P00230000,1587653683,230.0,11.18,10.7,11.7,0.8800001,8.543691,1.0,721,0.4661308270263672,False,REGULAR,USD
22,NEE200619P00240000,1587663894,240.0,14.93,14.8,15.3,1.5300007,11.417915,72.0,1061,0.43897045410156255,False,REGULAR,USD
23,NEE200619P00250000,1587568333,250.0,18.5,19.1,20.4,0.0,0.0,3.0,833,0.4282283740234375,True,REGULAR,USD
24,NEE200619P00260000,1587583788,260.0,22.61,25.1,27.1,0.0,0.0,24.0,228,0.435979761352539,True,REGULAR,USD
25,NEE200619P00270000,1587581443,270.0,30.02,32.4,33.8,0.0,0.0,6.0,356,0.421453539428711,True,REGULAR,USD
26,NEE200619P00280000,1586449521,280.0,39.26,40.1,42.2,0.0,0.0,1.0,39,0.43768872863769537,True,REGULAR,USD
27,NEE200619P00290000,1587564359,290.0,50.0,49.0,51.4,0.0,0.0,1.0,43,0.4682670361328125,True,REGULAR,USD
28,NEE200619P00300000,1585939863,300.0,82.0,57.5,62.3,0.0,0.0,6.0,6,0.5559126440429689,True,REGULAR,USD
29,NEE200619P00310000,1583332401,310.0,41.02,84.5,89.4,0.0,0.0,1.0,0,1.0595139797973636,True,REGULAR,USD
30,NEE200619P00320000,1586365999,320.0,91.5,77.0,81.8,0.0,0.0,1.0,2,0.5251512329101562,True,REGULAR,USD
31,NEE200619P00340000,1584647553,340.0,135.5,93.2,98.0,0.0,0.0,10.0,0,0.5081836291503907,True,REGULAR,USD
