,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PG200619P00055000,1587479378,55.0,0.03,0.0,0.11,0.0,0.0,5,1955,0.7851583984375,False,REGULAR,USD
1,PG200619P00060000,1587583491,60.0,0.07,0.0,0.16,0.0,0.0,5,638,0.73437765625,False,REGULAR,USD
2,PG200619P00065000,1587401302,65.0,0.1,0.05,0.23,0.0,0.0,10,89,0.708010732421875,False,REGULAR,USD
3,PG200619P00070000,1587581475,70.0,0.15,0.06,0.24,0.0,0.0,10,107,0.6357458300781251,False,REGULAR,USD
4,PG200619P00075000,1587131137,75.0,0.32,0.12,0.25,0.0,0.0,1,92,0.5800823242187501,False,REGULAR,USD
5,PG200619P00080000,1587475811,80.0,0.45,0.2,0.34,0.0,0.0,2,644,0.5419967675781252,False,REGULAR,USD
6,PG200619P00085000,1587403232,85.0,0.65,0.35,0.5,0.0,0.0,5,787,0.5136767382812499,False,REGULAR,USD
7,PG200619P00090000,1587649014,90.0,0.63,0.45,0.75,-0.19,-23.170732,2,6701,0.5009815527343751,False,REGULAR,USD
8,PG200619P00092500,1587565129,92.5,0.99,0.68,0.91,0.0,0.0,30,83,0.48560084716796875,False,REGULAR,USD
9,PG200619P00095000,1587652628,95.0,0.96,0.82,1.06,-0.099999964,-9.433959,2,1226,0.46533737792968755,False,REGULAR,USD
10,PG200619P00097500,1587654224,97.5,1.13,0.98,1.29,-0.14999998,-11.718749,9,1330,0.45093322509765627,False,REGULAR,USD
11,PG200619P00100000,1587656092,100.0,1.33,1.15,1.51,-0.28999996,-17.901232,21,3355,0.43140217041015627,False,REGULAR,USD
12,PG200619P00105000,1587653568,105.0,2.04,1.63,2.3,-0.1400001,-6.422023,22,3341,0.4096738720703125,False,REGULAR,USD
13,PG200619P00110000,1587664598,110.0,2.84,2.72,2.94,-0.21000004,-6.885247,52,6353,0.35767243896484374,False,REGULAR,USD
14,PG200619P00115000,1587661990,115.0,4.16,4.1,4.35,-0.49000025,-10.537639,4,5048,0.3327703442382813,False,REGULAR,USD
15,PG200619P00120000,1587665058,120.0,6.11,6.1,6.35,-0.53999996,-8.1203,24,2659,0.3103096313476562,True,REGULAR,USD
16,PG200619P00125000,1587658522,125.0,9.4,8.75,9.15,0.0899992,0.9666938,2,1323,0.2955392712402344,True,REGULAR,USD
17,PG200619P00130000,1587575195,130.0,13.15,12.2,12.65,0.0,0.0,2,177,0.2830882238769531,True,REGULAR,USD
18,PG200619P00135000,1587499189,135.0,16.8,16.35,16.8,0.0,0.0,1,227,0.278327529296875,True,REGULAR,USD
19,PG200619P00140000,1587133324,140.0,19.25,20.95,21.4,0.0,0.0,3,41,0.28516339843749994,True,REGULAR,USD
20,PG200619P00145000,1582309342,145.0,18.3,41.1,45.8,0.0,0.0,3,0,1.3868438861083983,True,REGULAR,USD
21,PG200619P00150000,1585300858,150.0,28.8,35.2,37.8,0.0,0.0,26,26,0.7874777111816407,True,REGULAR,USD
