,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SBUX200717C00030000,1586198964,30.0,37.0,43.4,46.0,0.0,0.0,1.0,4,1.3300814746093748,True,REGULAR,USD
1,SBUX200717C00037500,1585679037,37.5,30.12,36.75,38.65,0.0,0.0,,1,0.7675804492187501,True,REGULAR,USD
2,SBUX200717C00040000,1585747811,40.0,33.2,34.45,35.7,0.0,0.0,,5,0.62305064453125,True,REGULAR,USD
3,SBUX200717C00045000,1586283256,45.0,25.56,29.95,31.5,0.0,0.0,1.0,1,0.7500025,True,REGULAR,USD
4,SBUX200717C00047500,1585147331,47.5,22.8,27.35,28.5,0.0,0.0,2.0,1,0.6088906298828126,True,REGULAR,USD
5,SBUX200717C00050000,1585158296,50.0,21.97,24.7,26.65,0.0,0.0,3.0,13,0.6113320117187502,True,REGULAR,USD
6,SBUX200717C00052500,1585066873,52.5,14.25,23.25,24.85,0.0,0.0,,29,0.6977569287109376,True,REGULAR,USD
7,SBUX200717C00055000,1587060374,55.0,19.5,20.5,21.2,0.0,0.0,4.0,144,0.5256395092773438,True,REGULAR,USD
8,SBUX200717C00057500,1586452158,57.5,18.02,18.7,19.05,0.0,0.0,4.0,97,0.5424850439453126,True,REGULAR,USD
9,SBUX200717C00060000,1587583592,60.0,19.55,16.55,16.9,0.0,0.0,2.0,87,0.5217332983398437,True,REGULAR,USD
10,SBUX200717C00062500,1587487064,62.5,13.65,14.45,14.8,0.0,0.0,12.0,421,0.516606396484375,True,REGULAR,USD
11,SBUX200717C00065000,1587584760,65.0,15.65,12.45,12.8,0.0,0.0,24.0,233,0.49414568359375005,True,REGULAR,USD
12,SBUX200717C00067500,1587659167,67.5,12.04,10.85,11.1,-1.4300003,-10.616186,2.0,252,0.4887746435546876,True,REGULAR,USD
13,SBUX200717C00070000,1587664978,70.0,9.15,9.15,9.35,-2.4500008,-21.120695,13.0,875,0.4694877270507813,True,REGULAR,USD
14,SBUX200717C00072500,1587660356,72.5,7.75,7.5,7.8,-1.9099998,-19.772255,10.0,377,0.4558159887695313,True,REGULAR,USD
15,SBUX200717C00075000,1587665297,75.0,6.25,6.15,6.35,-2.1000004,-25.149704,44.0,1856,0.43945873046875,False,REGULAR,USD
16,SBUX200717C00077500,1587665369,77.5,5.0,4.9,5.1,-2.0,-28.57143,116.0,394,0.42676354492187507,False,REGULAR,USD
17,SBUX200717C00080000,1587662854,80.0,4.2,3.8,4.0,-1.3000002,-23.636366,52.0,1204,0.4138242211914062,False,REGULAR,USD
18,SBUX200717C00082500,1587664412,82.5,3.0,2.89,3.1,-1.25,-29.411764,61.0,3544,0.40418076293945315,False,REGULAR,USD
19,SBUX200717C00085000,1587664387,85.0,2.25,2.12,2.37,-1.29,-36.440678,32.0,1291,0.3966124792480469,False,REGULAR,USD
20,SBUX200717C00087500,1587665399,87.5,1.6,1.55,1.7,-0.9599999,-37.499996,10.0,695,0.38245246459960935,False,REGULAR,USD
21,SBUX200717C00090000,1587663487,90.0,1.25,1.07,1.31,-0.70000005,-35.897438,75.0,1774,0.3830628100585937,False,REGULAR,USD
22,SBUX200717C00092500,1587663564,92.5,0.9,0.78,0.9,-0.5,-35.714287,71.0,648,0.37134417724609375,False,REGULAR,USD
23,SBUX200717C00095000,1587662835,95.0,0.68,0.48,0.69,-0.27999997,-29.166664,55.0,1151,0.3742738354492187,False,REGULAR,USD
24,SBUX200717C00097500,1587665382,97.5,0.4,0.35,0.46,-0.119999975,-23.07692,9.0,549,0.36524072265625,False,REGULAR,USD
25,SBUX200717C00100000,1587658574,100.0,0.33,0.25,0.32,-0.14999998,-31.249996,19.0,617,0.3618227880859375,False,REGULAR,USD
26,SBUX200717C00105000,1587664989,105.0,0.15,0.11,0.17,-0.03999999,-21.052628,113.0,371,0.36426416992187505,False,REGULAR,USD
27,SBUX200717C00110000,1587662867,110.0,0.11,0.06,0.1,0.009999998,9.999997,7.0,1079,0.37305314453125,False,REGULAR,USD
28,SBUX200717C00115000,1587648611,115.0,0.06,0.04,0.07,0.009999998,19.999994,3.0,341,0.38867798828125,False,REGULAR,USD
29,SBUX200717C00120000,1587576762,120.0,0.04,0.03,0.05,0.0,0.0,16.0,344,0.40430283203125,False,REGULAR,USD
