,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,INTC201016C00030000,1584976665,30.0,19.13,29.1,29.55,0.0,0.0,4,14,0.48242705078125003,True,REGULAR,USD
1,INTC201016C00032500,1587055094,32.5,27.6,26.75,27.3,0.0,0.0,2,2,0.5351608984375,True,REGULAR,USD
2,INTC201016C00035000,1587492407,35.0,23.15,24.5,24.95,0.0,0.0,6,8,0.5170946728515625,True,REGULAR,USD
3,INTC201016C00040000,1587662818,40.0,20.1,20.1,20.4,-0.54999924,-2.6634345,8,9,0.4836477416992188,True,REGULAR,USD
4,INTC201016C00042500,1585069885,42.5,12.49,17.95,18.4,0.0,0.0,8,3,0.48950705810546885,True,REGULAR,USD
5,INTC201016C00045000,1587650306,45.0,16.2,15.9,16.25,-0.79999924,-4.705878,2,44,0.46631393066406257,True,REGULAR,USD
6,INTC201016C00047500,1587407660,47.5,14.49,13.95,14.3,0.0,0.0,1,58,0.45508357421875,True,REGULAR,USD
7,INTC201016C00050000,1587581430,50.0,12.99,12.1,12.45,0.0,0.0,46,108,0.44336494140625,True,REGULAR,USD
8,INTC201016C00052500,1587649851,52.5,10.95,10.45,10.65,1.9499998,21.666664,1,277,0.4270076831054688,True,REGULAR,USD
9,INTC201016C00055000,1587657170,55.0,9.35,8.9,9.15,0.40000057,4.4692802,60,743,0.4229794030761719,True,REGULAR,USD
10,INTC201016C00057500,1587648710,57.5,7.9,7.5,7.75,-0.3499999,-4.2424235,2,718,0.41602146484374997,True,REGULAR,USD
11,INTC201016C00060000,1587664338,60.0,6.2,6.2,6.4,-0.74000025,-10.6628275,214,2961,0.40369248657226564,False,REGULAR,USD
12,INTC201016C00062500,1587662590,62.5,5.28,5.05,5.25,-0.5699997,-9.743585,23,1754,0.39490351196289064,False,REGULAR,USD
13,INTC201016C00065000,1587664384,65.0,4.1,4.1,4.3,-0.5999999,-12.765956,104,2274,0.39002074829101563,False,REGULAR,USD
14,INTC201016C00067500,1587664859,67.5,3.32,3.25,3.4,-0.33000016,-9.0411,247,276,0.3797669445800781,False,REGULAR,USD
15,INTC201016C00070000,1587664859,70.0,2.61,2.56,2.68,-0.37000012,-12.416111,69,1632,0.37293107543945314,False,REGULAR,USD
16,INTC201016C00072500,1587662384,72.5,2.1,1.99,2.1,-0.05000019,-2.3255901,49,76,0.36780417358398443,False,REGULAR,USD
17,INTC201016C00075000,1587663877,75.0,1.51,1.4,1.66,-0.19000006,-11.176474,29,195,0.3657289990234375,False,REGULAR,USD
18,INTC201016C00080000,1587656842,80.0,0.92,0.87,1.0,0.120000005,15.0,22,5495,0.3606020971679687,False,REGULAR,USD
19,INTC201016C00085000,1587658214,85.0,0.49,0.5,0.61,0.02000001,4.255321,24,142,0.35962554443359374,False,REGULAR,USD
20,INTC201016C00090000,1587659253,90.0,0.33,0.28,0.49,0.01000002,3.1250064,7,262,0.3813538427734374,False,REGULAR,USD
