,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,FB201120P00075000,1587585184,75.0,0.63,0.55,0.66,0.0,0.0,16.0,425.0,0.62305064453125,False,REGULAR,USD
1,FB201120P00080000,1587585184,80.0,0.83,0.69,0.81,0.0,0.0,15.0,407.0,0.6047402807617189,False,REGULAR,USD
2,FB201120P00085000,1587566519,85.0,1.05,0.87,0.99,0.0,0.0,3.0,220.0,0.5883830224609375,False,REGULAR,USD
3,FB201120P00090000,1587657273,90.0,1.15,1.08,1.21,0.100000024,9.523811,5.0,182.0,0.5730023168945313,False,REGULAR,USD
4,FB201120P00095000,1587565990,95.0,1.58,1.34,1.54,0.0,0.0,1.0,179.0,0.5617719604492188,False,REGULAR,USD
5,FB201120P00100000,1587651112,100.0,1.71,1.64,1.86,-0.089999914,-4.999995,30.0,381.0,0.5482222912597658,False,REGULAR,USD
6,FB201120P00105000,1587498185,105.0,2.95,1.98,2.19,0.0,0.0,10.0,908.0,0.5334519311523438,False,REGULAR,USD
7,FB201120P00110000,1587498185,110.0,3.52,2.41,2.61,0.0,0.0,14.0,209.0,0.5214891601562499,False,REGULAR,USD
8,FB201120P00115000,1587493999,115.0,4.15,2.89,3.1,0.0,0.0,1.0,144.0,0.5096484582519532,False,REGULAR,USD
9,FB201120P00120000,1587493232,120.0,5.0,3.5,3.75,0.0,0.0,40.0,173.0,0.5013477600097658,False,REGULAR,USD
10,FB201120P00125000,1587655697,125.0,4.11,4.15,4.35,-0.38999987,-8.666663,1.0,264.0,0.493291199951172,False,REGULAR,USD
11,FB201120P00130000,1587575128,130.0,5.3,4.9,5.15,0.0,0.0,5.0,316.0,0.48456325988769533,False,REGULAR,USD
12,FB201120P00135000,1587653812,135.0,5.75,5.8,6.0,-2.3500004,-29.012348,1.0,868.0,0.47437049072265625,False,REGULAR,USD
13,FB201120P00140000,1587657817,140.0,6.55,6.8,7.1,-0.6499996,-9.027773,2.0,581.0,0.46854169158935544,False,REGULAR,USD
14,FB201120P00145000,1587661656,145.0,7.85,7.95,8.2,-0.4699998,-5.649036,23.0,1006.0,0.45935599243164066,False,REGULAR,USD
15,FB201120P00150000,1587657692,150.0,9.0,9.3,9.6,-0.3000002,-3.2258084,11.0,2517.0,0.4546868496704102,False,REGULAR,USD
16,FB201120P00155000,1587584255,155.0,11.02,10.7,10.95,0.0,0.0,7.0,587.0,0.44556218505859374,False,REGULAR,USD
17,FB201120P00160000,1587657905,160.0,11.83,12.05,12.55,-0.6700001,-5.3600006,15.0,811.0,0.4390925231933594,False,REGULAR,USD
18,FB201120P00165000,1587660040,165.0,13.37,13.85,14.4,-0.6000004,-4.2949204,25.0,523.0,0.4346675186157227,False,REGULAR,USD
19,FB201120P00170000,1587584255,170.0,16.17,15.85,16.25,0.0,0.0,7.0,2249.0,0.4271602694702149,False,REGULAR,USD
20,FB201120P00175000,1587660266,175.0,17.4,17.9,18.25,-0.65999985,-3.6544843,51.0,995.0,0.4196530203247071,False,REGULAR,USD
21,FB201120P00180000,1587662579,180.0,20.1,19.9,20.5,-0.25,-1.2285012,182.0,1162.0,0.4138852557373046,False,REGULAR,USD
22,FB201120P00185000,1587664388,185.0,22.8,22.55,22.85,0.29999924,1.3333299,7.0,894.0,0.40704938659667966,True,REGULAR,USD
23,FB201120P00190000,1587660416,190.0,25.5,25.0,25.55,-0.5300007,-2.0361147,6.0,446.0,0.4035399002075196,True,REGULAR,USD
24,FB201120P00195000,1587660414,195.0,28.2,27.55,28.25,-2.039999,-6.746029,8.0,333.0,0.3971312728881836,True,REGULAR,USD
25,FB201120P00200000,1587566690,200.0,32.0,30.45,31.05,0.0,0.0,5.0,421.0,0.3896240237426758,True,REGULAR,USD
26,FB201120P00205000,1584975540,205.0,60.98,34.45,35.35,0.0,0.0,1.0,164.0,0.4063474893188477,True,REGULAR,USD
27,FB201120P00210000,1587651744,210.0,36.48,36.75,37.25,-4.970001,-11.990353,2.0,76.0,0.37665418273925777,True,REGULAR,USD
28,FB201120P00215000,1586878564,215.0,43.15,40.25,40.8,0.0,0.0,1.0,16.0,0.3742738354492187,True,REGULAR,USD
29,FB201120P00220000,1586871003,220.0,45.03,43.65,44.55,0.0,0.0,1.0,66.0,0.3731141790771484,True,REGULAR,USD
30,FB201120P00225000,1586882391,225.0,48.84,47.3,48.4,0.0,0.0,1.0,17.0,0.3714662463378906,True,REGULAR,USD
31,FB201120P00230000,1586182476,230.0,71.25,51.45,52.4,0.0,0.0,9.0,10.0,0.3704896936035156,True,REGULAR,USD
32,FB201120P00235000,1586958879,235.0,63.0,55.3,56.35,0.0,0.0,1.0,3.0,0.36597313720703123,True,REGULAR,USD
33,FB201120P00255000,1585296528,255.0,57.0,84.4,86.55,0.0,0.0,,0.0,0.6288794436645508,True,REGULAR,USD
34,FB201120P00260000,1583267851,260.0,73.05,100.25,103.55,0.0,0.0,,1.0,0.8601088208007812,True,REGULAR,USD
35,FB201120P00295000,1585296528,295.0,101.3,123.8,125.5,0.0,0.0,,,0.7368190380859375,True,REGULAR,USD
