,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DD210115P00017500,1586452428,17.5,0.5,0.54,0.84,0.0,0.0,6.0,21,0.75586181640625,False,REGULAR,USD
1,DD210115P00020000,1585577451,20.0,1.7,0.7,1.03,0.0,0.0,1.0,1,0.6972686523437501,False,REGULAR,USD
2,DD210115P00022500,1586453537,22.5,1.25,0.77,2.19,0.0,0.0,3.0,204,0.71679970703125,False,REGULAR,USD
3,DD210115P00025000,1587061062,25.0,1.8,0.9,2.59,0.0,0.0,10.0,173,0.6604037866210939,False,REGULAR,USD
4,DD210115P00027500,1585928059,27.5,4.45,1.32,2.89,0.0,0.0,2.0,314,0.6154823608398439,False,REGULAR,USD
5,DD210115P00030000,1587583308,30.0,2.85,1.87,3.3,0.0,0.0,19.0,127,0.5803264624023439,False,REGULAR,USD
6,DD210115P00032500,1587663445,32.5,3.2,2.53,3.25,0.0,0.0,2.0,266,0.5227098510742187,False,REGULAR,USD
7,DD210115P00035000,1587660295,35.0,4.0,2.82,4.05,0.0,0.0,20.0,2132,0.5368698657226563,False,REGULAR,USD
8,DD210115P00037500,1587486057,37.5,6.0,4.45,5.0,0.0,0.0,2.0,1145,0.5202684692382812,False,REGULAR,USD
9,DD210115P00040000,1587661198,40.0,6.3,5.5,6.1,0.0,0.0,1.0,1670,0.505742247314453,False,REGULAR,USD
10,DD210115P00042500,1587403030,42.5,7.95,6.7,7.35,0.0,0.0,110.0,368,0.4931691308593751,True,REGULAR,USD
11,DD210115P00045000,1587572397,45.0,9.68,8.2,8.75,0.0,0.0,88.0,4243,0.4821829125976563,True,REGULAR,USD
12,DD210115P00047500,1587655561,47.5,9.99,8.9,11.3,0.0,0.0,53.0,520,0.5432174584960938,True,REGULAR,USD
13,DD210115P00050000,1587390361,50.0,13.85,11.25,13.4,0.0,0.0,2.0,2749,0.5659223095703125,True,REGULAR,USD
14,DD210115P00052500,1587397086,52.5,14.25,12.55,15.15,0.0,0.0,30.0,2931,0.5578657495117189,True,REGULAR,USD
15,DD210115P00055000,1587655561,55.0,15.46,14.95,17.2,0.0,0.0,2.0,1139,0.5659223095703125,True,REGULAR,USD
16,DD210115P00057500,1584974438,57.5,28.6,18.75,20.0,0.0,0.0,3.0,340,0.5788616333007812,True,REGULAR,USD
17,DD210115P00060000,1585578444,60.0,27.7,18.65,21.45,0.0,0.0,8.0,1003,0.5800823242187501,True,REGULAR,USD
18,DD210115P00062500,1587152786,62.5,25.49,20.2,23.45,0.0,0.0,3.0,394,0.5709271423339843,True,REGULAR,USD
19,DD210115P00065000,1585159085,65.0,31.0,22.65,25.95,0.0,0.0,2.0,699,0.5996133789062501,True,REGULAR,USD
20,DD210115P00067500,1586884210,67.5,29.76,24.95,28.35,0.0,0.0,28.0,325,0.6181678808593751,True,REGULAR,USD
21,DD210115P00070000,1585927161,70.0,37.9,27.5,30.25,0.0,0.0,1.0,1128,0.5896037133789063,True,REGULAR,USD
22,DD210115P00072500,1580410512,72.5,20.34,27.5,32.2,0.0,0.0,4.0,33,0.5578657495117189,True,REGULAR,USD
23,DD210115P00075000,1580413264,75.0,29.2,30.1,34.6,0.0,0.0,11.0,16,0.56836369140625,True,REGULAR,USD
24,DD210115P00077500,1581523488,77.5,24.51,40.7,45.4,0.0,0.0,5.0,0,1.0760544244384767,True,REGULAR,USD
25,DD210115P00080000,1585337279,80.0,46.9,36.3,41.0,0.0,0.0,66.0,68,0.7462183581542969,True,REGULAR,USD
26,DD210115P00085000,1585300126,85.0,21.85,51.35,55.15,0.0,0.0,1.0,0,1.3320345898437496,True,REGULAR,USD
27,DD210115P00090000,1585300126,90.0,46.9,54.5,59.0,0.0,0.0,6.0,0,1.2657507415771483,True,REGULAR,USD
28,DD210115P00100000,1585243083,100.0,30.97,65.9,70.4,0.0,0.0,,0,1.434695209350586,True,REGULAR,USD
29,DD210115P00110000,1585300125,110.0,44.62,48.0,78.8,0.0,0.0,,0,1.541628268432617,True,REGULAR,USD
