,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DUK220121C00035000,1587738779,35.0,49.63,49.5,52.0,12.59,33.99028,1,1,0.4899953344726563,True,REGULAR,USD
1,DUK220121C00040000,1587651752,40.0,47.36,44.4,47.5,0.0,0.0,3,5,0.4650932397460938,True,REGULAR,USD
2,DUK220121C00045000,1586440795,45.0,45.5,38.9,43.1,0.0,0.0,1,76,0.4415339050292969,True,REGULAR,USD
3,DUK220121C00047500,1585163034,47.5,30.5,36.2,40.8,0.0,0.0,5,6,0.42273526489257807,True,REGULAR,USD
4,DUK220121C00060000,1585078675,60.0,15.0,26.3,28.1,0.0,0.0,7,2,0.2822947747802734,True,REGULAR,USD
5,DUK220121C00065000,1584984600,65.0,10.0,24.7,27.1,0.0,0.0,14,2,0.36963520996093746,True,REGULAR,USD
6,DUK220121C00070000,1587046203,70.0,21.0,18.2,21.4,0.0,0.0,1,20,0.2937082348632812,True,REGULAR,USD
7,DUK220121C00072500,1587395694,72.5,19.85,17.8,19.4,0.0,0.0,2,7,0.2809520147705078,True,REGULAR,USD
8,DUK220121C00075000,1586440785,75.0,19.5,15.7,17.2,0.0,0.0,3,45,0.26203130554199217,True,REGULAR,USD
9,DUK220121C00077500,1586885650,77.5,16.4,14.2,16.4,0.0,0.0,1,21,0.2771068383789062,True,REGULAR,USD
10,DUK220121C00080000,1587651752,80.0,14.56,11.7,15.2,0.0,0.0,3,99,0.2794261511230468,True,REGULAR,USD
11,DUK220121C00082500,1586958643,82.5,13.3,10.4,12.7,0.0,0.0,2,14,0.24970232727050778,True,REGULAR,USD
12,DUK220121C00085000,1585937822,85.0,5.5,10.0,12.4,0.0,0.0,1,105,0.268989243774414,True,REGULAR,USD
13,DUK220121C00087500,1586788003,87.5,10.2,8.8,11.0,0.0,0.0,2,37,0.2613599255371094,False,REGULAR,USD
14,DUK220121C00090000,1587410970,90.0,8.8,8.0,9.7,0.0,0.0,24,138,0.25427991821289064,False,REGULAR,USD
15,DUK220121C00092500,1586892636,92.5,8.8,6.8,9.4,0.0,0.0,2,54,0.2676464837646484,False,REGULAR,USD
16,DUK220121C00095000,1586893801,95.0,7.9,6.2,8.6,0.0,0.0,4,104,0.2683788983154296,False,REGULAR,USD
17,DUK220121C00097500,1587668764,97.5,5.94,4.0,7.0,0.0,0.0,2,281,0.24958025817871093,False,REGULAR,USD
18,DUK220121C00100000,1587410613,100.0,5.01,3.8,6.4,0.0,0.0,20,158,0.25165543273925783,False,REGULAR,USD
19,DUK220121C00105000,1587653935,105.0,3.8,3.0,4.4,0.0,0.0,1,262,0.23194127441406248,False,REGULAR,USD
20,DUK220121C00110000,1587141622,110.0,3.1,2.0,3.1,0.0,0.0,7,307,0.22168747070312497,False,REGULAR,USD
21,DUK220121C00115000,1586441036,115.0,2.6,1.6,2.25,0.0,0.0,2,448,0.21704884521484374,False,REGULAR,USD
22,DUK220121C00120000,1584721326,120.0,0.7,0.4,2.2,0.0,0.0,6,39,0.23444369079589844,False,REGULAR,USD
23,DUK220121C00125000,1587479466,125.0,0.95,0.55,1.3,0.0,0.0,1,16,0.21704884521484374,False,REGULAR,USD
24,DUK220121C00135000,1587400686,135.0,0.5,0.15,0.8,0.0,0.0,1,34,0.22071091796874998,False,REGULAR,USD
25,DUK220121C00140000,1586372921,140.0,0.15,0.0,0.5,0.0,0.0,5,10,0.21265435791015624,False,REGULAR,USD
