,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ADBE200501P00130000,1584976129,130.0,2.23,0.0,0.02,0.0,0.0,,1.0,2.031254921875,False,REGULAR,USD
1,ADBE200501P00135000,1587047034,135.0,0.07,0.0,0.21,0.0,0.0,132.0,0.0,2.4140664648437498,False,REGULAR,USD
2,ADBE200501P00145000,1587412239,145.0,0.04,0.0,0.17,0.0,0.0,132.0,0.0,2.1875045312499997,False,REGULAR,USD
3,ADBE200501P00150000,1584560667,150.0,3.77,0.0,0.22,0.0,0.0,,0.0,2.1679733300781248,False,REGULAR,USD
4,ADBE200501P00155000,1586289335,155.0,1.02,0.0,0.21,0.0,0.0,24.0,25.0,2.0781298046874994,False,REGULAR,USD
5,ADBE200501P00160000,1587389440,160.0,0.14,0.0,0.17,0.0,0.0,6.0,7.0,1.953125234375,False,REGULAR,USD
6,ADBE200501P00175000,1584983375,175.0,2.38,0.0,0.04,0.0,0.0,,2.0,1.5156274218749999,False,REGULAR,USD
7,ADBE200501P00180000,1585932967,180.0,1.01,0.0,0.14,0.0,0.0,40.0,40.0,1.640626796875,False,REGULAR,USD
8,ADBE200501P00190000,1587047034,190.0,0.25,0.0,0.18,0.0,0.0,44.0,2.0,1.5507834960937497,False,REGULAR,USD
9,ADBE200501P00195000,1585232250,195.0,2.33,0.0,0.18,0.0,0.0,1.0,0.0,1.4882838085937498,False,REGULAR,USD
10,ADBE200501P00200000,1587412239,200.0,0.16,0.0,0.18,0.0,0.0,44.0,10.0,1.4296903515625,False,REGULAR,USD
11,ADBE200501P00205000,1587398866,205.0,0.11,0.0,0.18,0.0,0.0,11.0,16.0,1.3671906640625,False,REGULAR,USD
12,ADBE200501P00210000,1587475825,210.0,0.07,0.0,0.2,0.0,0.0,2.0,18.0,1.32422212890625,False,REGULAR,USD
13,ADBE200501P00215000,1586958176,215.0,0.27,0.0,0.21,0.0,0.0,5.0,5.0,1.2734411328124997,False,REGULAR,USD
14,ADBE200501P00220000,1586977268,220.0,0.29,0.0,0.19,0.0,0.0,7.0,23.0,1.203128984375,False,REGULAR,USD
