,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMGN200501P00165000,1587582051,165.0,0.17,0.0,0.56,0.0,0.0,,3.0,1.19922275390625,False,REGULAR,USD
1,AMGN200501P00170000,1584059156,170.0,6.9,0.0,4.9,0.0,0.0,,2.0,1.7402356738281248,False,REGULAR,USD
2,AMGN200501P00172500,1587498451,172.5,0.21,0.0,4.3,0.0,0.0,1.0,12.0,1.6220722021484375,False,REGULAR,USD
3,AMGN200501P00175000,1587751448,175.0,0.15,0.0,0.7,-0.45000002,-75.0,5.0,13.0,1.0654343603515626,False,REGULAR,USD
4,AMGN200501P00177500,1587751118,177.5,0.19,0.0,4.4,-0.110000014,-36.66667,1.0,6.0,1.5161157006835935,False,REGULAR,USD
5,AMGN200501P00180000,1585921311,180.0,2.49,0.0,4.35,0.0,0.0,1.0,3.0,1.4545925708007812,False,REGULAR,USD
6,AMGN200501P00185000,1587490660,185.0,0.37,0.0,0.73,0.0,0.0,10.0,17.0,0.901368173828125,False,REGULAR,USD
7,AMGN200501P00187500,1586363387,187.5,1.16,0.0,4.4,0.0,0.0,7.0,17.0,1.2900426123046875,False,REGULAR,USD
8,AMGN200501P00190000,1587758159,190.0,1.65,0.0,4.4,1.15,230.0,20.0,34.0,1.2348671069335935,False,REGULAR,USD
9,AMGN200501P00192500,1587652430,192.5,0.3,0.0,4.4,0.0,0.0,5.0,35.0,1.1796916015624999,False,REGULAR,USD
10,AMGN200501P00195000,1586972054,195.0,1.45,0.0,4.4,0.0,0.0,2.0,6.0,1.1245160961914062,False,REGULAR,USD
11,AMGN200501P00197500,1587652382,197.5,0.5,0.0,4.45,0.0,0.0,7.0,31.0,1.0737351000976565,False,REGULAR,USD
12,AMGN200501P00200000,1587755192,200.0,0.3,0.1,4.5,-0.49,-62.025314,25.0,166.0,1.0297900073242188,False,REGULAR,USD
13,AMGN200501P00202500,1587652336,202.5,0.6,0.02,1.13,0.0,0.0,8.0,17.0,0.6738313867187502,False,REGULAR,USD
14,AMGN200501P00205000,1587651159,205.0,0.9,0.01,4.5,0.0,0.0,2.0,51.0,0.9143074975585939,False,REGULAR,USD
15,AMGN200501P00207500,1587569933,207.5,1.34,0.0,4.7,0.0,0.0,6.0,18.0,0.8718274536132812,False,REGULAR,USD
16,AMGN200501P00210000,1587740445,210.0,0.75,0.05,1.14,-0.050000012,-6.2500014,1.0,24.0,0.5493209130859377,False,REGULAR,USD
17,AMGN200501P00212500,1587740554,212.5,0.98,0.09,4.65,-0.049999952,-4.8543644,2.0,23.0,0.7639183764648438,False,REGULAR,USD
18,AMGN200501P00215000,1587756534,215.0,0.85,0.06,3.0,-0.63,-42.567566,2.0,239.0,0.6069375244140626,False,REGULAR,USD
19,AMGN200501P00217500,1587753916,217.5,1.2,0.71,4.6,-0.43999994,-26.829264,2.0,66.0,0.6822541540527345,False,REGULAR,USD
20,AMGN200501P00220000,1587754642,220.0,1.4,0.0,2.35,-0.8000001,-36.363636,10.0,78.0,0.5930216479492189,False,REGULAR,USD
21,AMGN200501P00222500,1587755285,222.5,1.9,0.0,4.75,-0.7600001,-28.571432,22.0,187.0,0.5378464184570313,False,REGULAR,USD
22,AMGN200501P00225000,1587756572,225.0,2.2,0.01,3.15,-1.2,-35.294117,47.0,859.0,0.549076774902344,False,REGULAR,USD
23,AMGN200501P00227500,1587755212,227.5,2.9,0.1,4.9,-1.5499997,-34.831455,57.0,192.0,0.6272009936523439,False,REGULAR,USD
24,AMGN200501P00230000,1587756397,230.0,3.62,1.2,6.0,-1.8699999,-34.061928,206.0,67.0,0.6383092810058593,False,REGULAR,USD
25,AMGN200501P00232500,1587668168,232.5,5.75,6.3,7.0,0.0,0.0,,,0.6074258007812501,False,REGULAR,USD
26,AMGN200501P00235000,1587653831,235.0,6.88,7.6,8.1,0.0,0.0,21.0,,0.6091347680664063,False,REGULAR,
27,AMGN200501P00237500,1587758325,237.5,6.5,3.9,6.95,-5.1099997,-44.01378,11.0,6.0,0.4519097778320313,True,REGULAR,USD
28,AMGN200501P00240000,1587496494,240.0,12.0,7.4,10.2,0.0,0.0,8.0,35.0,0.5836223278808592,True,REGULAR,USD
29,AMGN200501P00245000,1587665653,245.0,15.9,14.55,15.35,0.0,0.0,,,0.7033721069335939,True,REGULAR,USD
