,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GS200501C00070000,1585089043,70.0,66.93,107.0,109.2,0.0,0.0,1.0,1,3.699219501953125,True,REGULAR,USD
1,GS200501C00095000,1584331228,95.0,70.85,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,GS200501C00100000,1584331226,100.0,66.2,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,GS200501C00105000,1584331226,105.0,61.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
4,GS200501C00110000,1584331226,110.0,57.4,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
5,GS200501C00115000,1585299220,115.0,36.32,60.5,62.2,0.0,0.0,,0,1.3984405078125,True,REGULAR,USD
6,GS200501C00130000,1585748748,130.0,23.88,45.1,48.35,0.0,0.0,,0,1.5263695556640622,True,REGULAR,USD
7,GS200501C00135000,1585925359,135.0,19.35,39.85,43.7,0.0,0.0,2.0,2,1.466799541015625,True,REGULAR,USD
8,GS200501C00137000,1587045765,137.0,37.2,37.8,41.7,0.0,0.0,1.0,1,1.4057646899414062,True,REGULAR,USD
9,GS200501C00139000,1585153727,139.0,24.5,35.75,39.6,0.0,0.0,,1,1.3222690136718749,True,REGULAR,USD
10,GS200501C00140000,1585363066,140.0,15.17,34.65,38.9,0.0,0.0,,1,1.358889924316406,True,REGULAR,USD
11,GS200501C00141000,1585296496,141.0,18.21,35.0,36.7,0.0,0.0,,0,1.0234423828125,True,REGULAR,USD
12,GS200501C00143000,1584741869,143.0,17.23,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
13,GS200501C00145000,1586959146,145.0,30.03,30.8,33.15,0.0,0.0,,5,1.0444383715820313,True,REGULAR,USD
14,GS200501C00146000,1585931938,146.0,11.0,28.75,32.3,0.0,0.0,18.0,23,1.0517625537109376,True,REGULAR,USD
15,GS200501C00147000,1586367052,147.0,30.37,27.9,31.15,0.0,0.0,4.0,3,0.9897461962890625,True,REGULAR,USD
16,GS200501C00148000,1586202592,148.0,15.2,26.65,30.55,0.0,0.0,2.0,5,1.0488328808593752,True,REGULAR,USD
17,GS200501C00149000,1586283941,149.0,20.0,26.95,29.2,0.0,0.0,1.0,10,0.5429733203125001,True,REGULAR,USD
18,GS200501C00150000,1587751961,150.0,25.7,25.5,27.4,-1.4899998,-5.4799547,100.0,21,0.702151416015625,True,REGULAR,USD
19,GS200501C00152500,1585748036,152.5,7.8,22.45,25.75,0.0,0.0,1.0,1,0.8608412353515625,True,REGULAR,USD
20,GS200501C00155000,1587479367,155.0,22.5,21.1,22.45,-1.5,-6.25,2.0,4,0.6040078662109377,True,REGULAR,USD
21,GS200501C00157500,1587740604,157.5,17.62,18.8,20.1,11.6,192.69104,55.0,16,0.5864299169921875,True,REGULAR,USD
22,GS200501C00160000,1587652928,160.0,19.49,17.1,18.6,0.0,0.0,4.0,28,0.5795940478515625,True,REGULAR,USD
