,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,XOM200515P00017500,1587751737,17.5,0.01,0.0,0.03,0.0,0.0,1.0,0.0,1.4375028125,False,REGULAR,USD
1,XOM200515P00020000,1587741892,20.0,0.02,0.0,0.03,-0.01,-33.333336,95.0,0.0,1.2500037499999999,False,REGULAR,USD
2,XOM200515P00022500,1587750579,22.5,0.03,0.0,0.13,-0.03,-50.0,11.0,488.0,1.29297228515625,False,REGULAR,USD
3,XOM200515P00025000,1587757529,25.0,0.05,0.03,0.07,-0.02,-28.571426,58.0,1976.0,1.0625046875000002,False,REGULAR,USD
4,XOM200515P00027500,1587758048,27.5,0.1,0.1,0.26,-0.029999994,-23.07692,34.0,1547.0,1.12109814453125,False,REGULAR,USD
5,XOM200515P00030000,1587757383,30.0,0.16,0.15,0.18,-0.049999997,-23.809523,179.0,3235.0,0.9257819921875,False,REGULAR,USD
6,XOM200515P00032000,1587664211,32.0,0.36,0.26,0.28,0.0,0.0,11.0,,0.8828136718749999,False,REGULAR,
7,XOM200515P00032500,1587757937,32.5,0.28,0.25,0.29,-0.109999985,-28.205126,103.0,4587.0,0.8476577734374999,False,REGULAR,USD
8,XOM200515P00033000,1587740139,33.0,0.32,0.33,0.36,-0.099999994,-23.809523,24.0,,0.8642591699218749,False,REGULAR,USD
9,XOM200515P00034000,1587737402,34.0,0.4,0.41,0.43,-0.18999997,-32.203384,,,0.8359391406249999,False,REGULAR,
10,XOM200515P00035000,1587758358,35.0,0.45,0.42,0.46,-0.15000004,-25.000006,1873.0,10903.0,0.773439765625,False,REGULAR,USD
11,XOM200515P00036000,1587741355,36.0,0.63,0.61,0.66,-0.07999998,-11.267603,63.0,,0.790041162109375,False,REGULAR,USD
12,XOM200515P00036500,1587739382,36.5,0.67,0.69,0.73,-0.13,-16.25,4.0,,0.7812521875,False,REGULAR,USD
13,XOM200515P00037000,1587739899,37.0,0.73,0.77,0.79,-0.25,-25.510204,230.0,,0.7685570019531252,False,REGULAR,USD
14,XOM200515P00037500,1587758319,37.5,0.75,0.68,0.75,-0.25,-25.0,245.0,7216.0,0.7041045214843751,False,REGULAR,USD
15,XOM200515P00038000,1587740305,38.0,0.94,0.94,0.98,-0.119999945,-11.32075,7.0,,0.7500025,False,REGULAR,USD
16,XOM200515P00038500,1587657393,38.5,1.1,1.04,1.11,0.0,0.0,,13.0,0.7446314599609375,False,REGULAR,USD
17,XOM200515P00039000,1587737704,39.0,1.13,1.15,1.22,-0.20000005,-15.037597,66.0,22.0,0.7348659326171875,False,REGULAR,USD
18,XOM200515P00039500,1587663442,39.5,1.5,1.28,1.37,0.0,0.0,,,0.7314479980468749,False,REGULAR,USD
19,XOM200515P00040000,1587757857,40.0,1.25,1.2,1.29,-0.35000002,-21.875002,683.0,16492.0,0.6626010302734376,False,REGULAR,USD
