,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GM200522C00015500,1587355739,15.5,6.75,6.3,7.55,0.0,0.0,,1,1.189457177734375,True,REGULAR,USD
1,GM200522C00018500,1587748494,18.5,3.95,3.4,4.75,-0.58000016,-12.803535,2.0,14,0.823243955078125,True,REGULAR,USD
2,GM200522C00019000,1586353413,19.0,4.16,3.0,3.9,0.0,0.0,10.0,10,0.6748079394531252,True,REGULAR,USD
3,GM200522C00019500,1586966091,19.5,3.4,3.2,3.7,0.0,0.0,,5,0.8564467480468749,True,REGULAR,USD
4,GM200522C00020000,1586277415,20.0,3.3,2.58,3.1,0.0,0.0,,16,0.717776259765625,True,REGULAR,USD
5,GM200522C00020500,1586179803,20.5,2.19,2.18,2.95,0.0,0.0,1.0,1,0.7324245507812499,True,REGULAR,USD
6,GM200522C00021000,1587648610,21.0,2.15,2.0,2.62,0.0,0.0,1.0,39,0.745119736328125,True,REGULAR,USD
7,GM200522C00021500,1587653393,21.5,1.96,1.66,2.14,0.0,0.0,2.0,16,0.6826203613281252,True,REGULAR,USD
8,GM200522C00022000,1587571180,22.0,1.58,1.62,2.06,0.0,0.0,6.0,47,0.75586181640625,False,REGULAR,USD
9,GM200522C00022500,1587757381,22.5,1.58,1.24,1.84,-0.16999996,-9.714283,22.0,41,0.7221707470703125,False,REGULAR,USD
10,GM200522C00023000,1587755911,23.0,1.31,1.03,1.61,0.00999999,0.76923007,8.0,45,0.711916943359375,False,REGULAR,USD
11,GM200522C00023500,1587757638,23.5,1.12,0.9,1.16,0.07000005,6.666672,18.0,473,0.6640658593750002,False,REGULAR,USD
12,GM200522C00024000,1587756959,24.0,0.88,0.48,0.96,0.0,0.0,2.0,136,0.5937540625000001,False,REGULAR,USD
13,GM200522C00024500,1587757282,24.5,0.75,0.29,1.07,-0.67999995,-47.552444,4.0,21,0.6337927246093751,False,REGULAR,USD
14,GM200522C00025000,1587755911,25.0,0.63,0.29,0.65,-0.00999999,-1.5624986,5.0,1176,0.5839885351562499,False,REGULAR,USD
15,GM200522C00025500,1587578793,25.5,0.39,0.1,0.86,0.0,0.0,2.0,12,0.637698935546875,False,REGULAR,USD
16,GM200522C00026000,1587498071,26.0,0.62,0.28,0.65,0.0,0.0,1.0,5,0.6757844921875001,False,REGULAR,USD
17,GM200522C00026500,1587749750,26.5,0.32,0.24,0.37,0.0,0.0,1.0,24,0.62305064453125,False,REGULAR,USD
18,GM200522C00027500,1586459469,27.5,1.0,0.13,0.44,0.0,0.0,1.0,1,0.68555001953125,False,REGULAR,USD
19,GM200522C00028000,1587140613,28.0,0.25,0.09,0.44,0.0,0.0,1.0,6,0.7070341796875,False,REGULAR,USD
20,GM200522C00029000,1587756963,29.0,0.11,0.04,0.15,0.0,0.0,1.0,9,0.6093789062500001,False,REGULAR,USD
21,GM200522C00030000,1587662974,30.0,0.07,0.0,0.12,0.0,0.0,4.0,40,0.6093789062500001,False,REGULAR,USD
