,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,IBM200529P00085000,1587484125,85.0,0.67,0.0,0.7,0.0,0.0,2.0,7.0,0.6928741650390625,False,REGULAR,USD
1,IBM200529P00090000,1587663023,90.0,0.5,0.29,0.6,0.0,0.0,,,0.6337927246093751,False,REGULAR,USD
2,IBM200529P00095000,1587737007,95.0,0.8,0.51,0.79,-0.01999998,-2.439022,,,0.5937540625000001,False,REGULAR,USD
3,IBM200529P00100000,1587735942,100.0,0.95,0.88,1.45,-1.75,-64.81481,7.0,,0.5883830224609375,False,REGULAR,
4,IBM200529P00105000,1587737543,105.0,1.5,1.41,1.8,-1.3399999,-47.183094,3.0,,0.5444381494140625,False,REGULAR,
5,IBM200529P00109000,1587407562,109.0,3.29,1.75,2.58,0.0,0.0,,,0.5180712255859375,False,REGULAR,USD
6,IBM200529P00110000,1587660407,110.0,3.96,2.27,2.72,0.0,0.0,,,0.5266160620117188,False,REGULAR,USD
7,IBM200529P00111000,1587668800,111.0,2.59,2.61,2.9,0.0,0.0,,,0.5268602001953125,False,REGULAR,USD
8,IBM200529P00112000,1587477312,112.0,6.6,2.76,3.2,0.0,0.0,,,0.5224657128906249,False,REGULAR,USD
9,IBM200529P00113000,1587567141,113.0,5.08,1.76,2.93,0.0,0.0,25.0,26.0,0.4946339599609375,False,REGULAR,USD
10,IBM200529P00114000,1587749270,114.0,3.04,1.99,2.9,-0.25,-7.5987844,1.0,5.0,0.4682670361328125,False,REGULAR,USD
11,IBM200529P00115000,1587664179,115.0,4.5,2.1,3.45,0.0,0.0,3.0,219.0,0.48718774536132814,False,REGULAR,USD
12,IBM200529P00117000,1587757825,117.0,3.26,1.87,4.0,-3.59,-52.40876,11.0,5.0,0.4769339416503906,False,REGULAR,USD
13,IBM200529P00118000,1587741318,118.0,5.0,2.52,4.3,-2.2800002,-31.318682,1.0,10.0,0.471684970703125,False,REGULAR,USD
14,IBM200529P00119000,1587736863,119.0,5.23,2.37,4.8,-1.9099998,-26.750698,6.0,2.0,0.47913118530273435,False,REGULAR,USD
15,IBM200529P00120000,1587757825,120.0,4.23,2.73,5.0,-1.02,-19.42857,12.0,7.0,0.4643608251953125,False,REGULAR,USD
16,IBM200529P00122000,1587491817,122.0,10.75,6.75,7.3,0.0,0.0,,,0.5387009020996094,False,REGULAR,
17,IBM200529P00125000,1586893327,125.0,8.32,5.3,7.55,0.0,0.0,,200.0,0.47412635253906255,True,REGULAR,USD
18,IBM200529P00128000,1587355237,128.0,13.68,6.7,8.6,0.0,0.0,,2.0,0.4321345849609375,True,REGULAR,USD
19,IBM200529P00130000,1586873151,130.0,10.8,8.1,10.15,0.0,0.0,,7.0,0.45203184692382814,True,REGULAR,USD
20,IBM200529P00135000,1587139387,135.0,18.4,11.8,14.35,0.0,0.0,2.0,3.0,0.5052539709472657,True,REGULAR,USD
