,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,C210618C00020000,1586883593,20.0,25.1,21.25,25.8,0.0,0.0,3.0,30,0.8354508642578123,True,REGULAR,USD
1,C210618C00022500,1586373152,22.5,24.65,19.15,23.6,0.0,0.0,,10,0.7678245874023439,True,REGULAR,USD
2,C210618C00025000,1587398481,25.0,21.25,18.15,21.0,0.0,0.0,2.0,206,0.5092822509765625,True,REGULAR,USD
3,C210618C00027500,1587135128,27.5,17.8,15.95,18.45,0.0,0.0,1.0,1,0.5776409423828125,True,REGULAR,USD
4,C210618C00030000,1586289494,30.0,15.7,14.0,16.75,0.0,0.0,7.0,23,0.5682416223144531,True,REGULAR,USD
5,C210618C00035000,1587735455,35.0,12.38,11.5,12.8,-0.019999504,-0.16128632,7.0,231,0.49231464721679696,True,REGULAR,USD
6,C210618C00037500,1587565770,37.5,10.75,9.35,12.15,0.0,0.0,3.0,61,0.5335740002441407,True,REGULAR,USD
7,C210618C00040000,1587752084,40.0,9.0,8.8,11.05,-0.19999981,-2.173911,14.0,471,0.5365036584472658,True,REGULAR,USD
8,C210618C00042500,1587751118,42.5,7.65,7.5,8.65,-0.4500003,-5.555559,2.0,191,0.45972219970703126,True,REGULAR,USD
9,C210618C00045000,1587750103,45.0,6.51,6.55,7.4,-0.38999987,-5.6521716,67.0,379,0.44470770141601557,False,REGULAR,USD
10,C210618C00047500,1587585461,47.5,6.15,5.65,8.0,0.0,0.0,4.0,220,0.5247850256347657,False,REGULAR,USD
11,C210618C00050000,1587756218,50.0,5.3,4.4,5.3,0.010000229,0.18904024,6.0,1952,0.4202938830566406,False,REGULAR,USD
12,C210618C00052500,1587750103,52.5,3.97,4.0,4.55,-1.0800002,-21.38614,2.0,1824,0.4162656030273437,False,REGULAR,USD
13,C210618C00055000,1587651786,55.0,4.11,3.3,3.95,0.0,0.0,21.0,615,0.4157773266601562,False,REGULAR,USD
14,C210618C00057500,1587665449,57.5,3.15,2.48,3.35,0.0,0.0,2.0,143,0.41089456298828125,False,REGULAR,USD
15,C210618C00060000,1587755787,60.0,2.59,2.47,2.6,-0.21000004,-7.500002,213.0,2242,0.39160764648437496,False,REGULAR,USD
16,C210618C00062500,1587740901,62.5,2.02,2.06,2.8,-0.48000002,-19.2,1.0,133,0.4290828576660156,False,REGULAR,USD
17,C210618C00065000,1587746780,65.0,1.55,1.46,2.06,-0.5,-24.390244,11.0,149,0.4022276574707031,False,REGULAR,USD
18,C210618C00067500,1587748966,67.5,1.38,1.38,1.83,-0.62,-31.0,1.0,30,0.4062559375,False,REGULAR,USD
19,C210618C00070000,1587744587,70.0,1.15,1.1,1.76,-0.25,-17.857143,14.0,120,0.42017181396484377,False,REGULAR,USD
20,C210618C00072500,1587666436,72.5,1.34,0.18,1.33,0.0,0.0,2.0,13,0.4028380029296875,False,REGULAR,USD
21,C210618C00075000,1587671450,75.0,1.0,0.73,1.13,0.0,0.0,4.0,271,0.4010069665527344,False,REGULAR,USD
22,C210618C00080000,1587583899,80.0,0.78,0.51,0.84,0.0,0.0,1.0,1672,0.40064075927734377,False,REGULAR,USD
23,C210618C00085000,1587736805,85.0,0.5,0.13,0.66,-0.19,-27.536232,1.0,10,0.405279384765625,False,REGULAR,USD
24,C210618C00090000,1587737644,90.0,0.5,0.24,0.51,-0.01999998,-3.8461502,1.0,3,0.407232490234375,False,REGULAR,USD
25,C210618C00095000,1587659923,95.0,0.44,0.1,0.45,0.0,0.0,16.0,41,0.418951123046875,False,REGULAR,USD
