,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COP200821P00013000,1587394084,13.0,0.3,0.12,0.33,0.0,0.0,1.0,2,1.0429735351562504,False,REGULAR,USD
1,COP200821P00015000,1587669167,15.0,0.37,0.22,0.38,0.0,0.0,11.0,197,0.9648441015625,False,REGULAR,USD
2,COP200821P00018000,1586796929,18.0,0.82,0.42,0.69,0.0,0.0,1.0,75,0.91211025390625,False,REGULAR,USD
3,COP200821P00019000,1587147205,19.0,0.79,0.53,0.75,0.0,0.0,10.0,30,0.885743330078125,False,REGULAR,USD
4,COP200821P00020000,1587752362,20.0,0.65,0.63,0.82,-0.6,-48.0,14.0,195,0.85742330078125,False,REGULAR,USD
5,COP200821P00021000,1587400978,21.0,1.03,0.74,0.98,0.0,0.0,6.0,743,0.842775009765625,False,REGULAR,USD
6,COP200821P00022000,1587742499,22.0,1.0,0.88,1.14,-0.5,-33.333336,50.0,80,0.8286149951171874,False,REGULAR,USD
7,COP200821P00023000,1587655177,23.0,1.19,1.01,1.36,0.0,0.0,2.0,492,0.8164080859374999,False,REGULAR,USD
8,COP200821P00024000,1587664237,24.0,1.52,1.1,1.57,0.0,0.0,6.0,61,0.7944356494140624,False,REGULAR,USD
9,COP200821P00025000,1587742212,25.0,1.54,1.37,1.61,-0.110000014,-6.666668,30.0,103,0.7709983837890625,False,REGULAR,USD
10,COP200821P00026000,1587741961,26.0,1.76,1.52,1.7,-0.97,-35.531136,15.0,24,0.7387721435546875,False,REGULAR,USD
11,COP200821P00027000,1587488430,27.0,2.82,1.78,2.15,0.0,0.0,3.0,59,0.7480493945312501,False,REGULAR,USD
12,COP200821P00028000,1587656926,28.0,2.42,1.98,2.19,0.0,0.0,3.0,34,0.7114286669921875,False,REGULAR,USD
13,COP200821P00029000,1587488486,29.0,3.55,2.21,2.48,0.0,0.0,3.0,36,0.6962920996093751,False,REGULAR,USD
14,COP200821P00030000,1587755438,30.0,2.6,2.48,2.91,-0.7800002,-23.07693,12.0,352,0.6918976123046876,False,REGULAR,USD
15,COP200821P00031000,1587743158,31.0,3.15,2.82,3.3,-0.54999995,-14.864863,35.0,133,0.6853058813476562,False,REGULAR,USD
16,COP200821P00032000,1587758379,32.0,3.4,3.3,3.55,-1.4000001,-29.166668,62.0,412,0.6750520776367189,False,REGULAR,USD
