,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL210917P00110000,1587411393,110.0,2.9,1.65,5.0,0.0,0.0,2.0,343,0.5389450402832032,False,REGULAR,USD
1,AAPL210917P00115000,1584642877,115.0,9.43,2.84,3.5,0.0,0.0,3.0,20,0.5105639764404297,False,REGULAR,USD
2,AAPL210917P00120000,1585931740,120.0,5.46,3.45,5.95,0.0,0.0,2.0,30,0.5388840057373048,False,REGULAR,USD
3,AAPL210917P00125000,1586267902,125.0,4.5,3.8,6.4,0.0,0.0,2.0,55,0.5279283047485351,False,REGULAR,USD
4,AAPL210917P00130000,1587145285,130.0,4.3,4.2,7.0,0.0,0.0,10.0,39,0.5192919165039063,False,REGULAR,USD
5,AAPL210917P00135000,1584974001,135.0,13.5,5.3,5.7,0.0,0.0,200.0,250,0.5004322418212892,False,REGULAR,USD
6,AAPL210917P00140000,1587152190,140.0,5.1,5.1,5.6,0.0,0.0,1.0,311,0.4773917007446289,False,REGULAR,USD
7,AAPL210917P00145000,1587497746,145.0,6.85,5.6,6.15,0.0,0.0,3.0,49,0.47009807250976565,False,REGULAR,USD
8,AAPL210917P00150000,1587494599,150.0,7.75,6.15,6.7,0.0,0.0,403.0,455,0.4622246160888672,False,REGULAR,USD
9,AAPL210917P00155000,1586883791,155.0,5.9,6.7,7.3,0.0,0.0,50.0,68,0.45483943603515625,False,REGULAR,USD
10,AAPL210917P00160000,1586957966,160.0,6.5,7.35,8.0,0.0,0.0,5.0,612,0.4487970159912109,False,REGULAR,USD
11,AAPL210917P00165000,1586887138,165.0,6.8,8.05,10.65,0.0,0.0,1.0,42,0.47461462890625,False,REGULAR,USD
12,AAPL210917P00170000,1587745727,170.0,9.45,8.75,9.45,2.0499997,27.702698,1.0,122,0.43567458862304687,False,REGULAR,USD
13,AAPL210917P00175000,1587489510,175.0,12.1,9.55,10.2,0.0,0.0,3.0,684,0.4286861331176758,False,REGULAR,USD
14,AAPL210917P00180000,1587580386,180.0,12.03,10.45,11.1,0.0,0.0,2.0,127,0.42340664489746094,False,REGULAR,USD
15,AAPL210917P00185000,1586461070,185.0,12.2,11.35,12.1,0.0,0.0,4.0,90,0.4188595712280273,False,REGULAR,USD
16,AAPL210917P00190000,1587132881,190.0,11.95,9.55,13.05,0.0,0.0,10.0,71,0.41296973754882804,False,REGULAR,USD
17,AAPL210917P00195000,1586871671,195.0,12.12,11.6,14.2,0.0,0.0,1.0,44,0.40903300933837883,False,REGULAR,USD
18,AAPL210917P00200000,1587136753,200.0,14.65,14.75,15.4,0.0,0.0,4.0,460,0.4049742120361328,False,REGULAR,USD
19,AAPL210917P00210000,1587671227,210.0,19.01,14.5,17.8,0.0,0.0,1.0,494,0.3948729946899414,False,REGULAR,USD
20,AAPL210917P00220000,1587757743,220.0,20.4,19.7,20.75,-1.8999996,-8.520178,2.0,279,0.38815919464111326,False,REGULAR,USD
21,AAPL210917P00230000,1587580144,230.0,25.7,22.75,23.8,0.0,0.0,1.0,256,0.3797516859436035,False,REGULAR,USD
22,AAPL210917P00240000,1587664738,240.0,29.1,26.45,27.3,0.0,0.0,11.0,314,0.37305314453125,False,REGULAR,USD
23,AAPL210917P00250000,1587664447,250.0,33.4,29.85,31.1,0.0,0.0,21.0,259,0.36644615493774413,False,REGULAR,USD
24,AAPL210917P00260000,1587662781,260.0,37.2,34.05,35.3,0.0,0.0,44.0,1388,0.36069364898681633,False,REGULAR,USD
25,AAPL210917P00270000,1587494497,270.0,45.75,38.4,39.85,0.0,0.0,1.0,136,0.3552920916748046,False,REGULAR,USD
26,AAPL210917P00280000,1587749546,280.0,44.96,43.3,44.65,-6.040001,-11.843139,1.0,112,0.34941751663208004,False,REGULAR,USD
27,AAPL210917P00290000,1587653903,290.0,50.8,48.5,50.0,0.0,0.0,4.0,59,0.34537397796630853,True,REGULAR,USD
28,AAPL210917P00300000,1587656478,300.0,56.77,54.0,55.6,0.0,0.0,2.0,235,0.34087268020629885,True,REGULAR,USD
29,AAPL210917P00310000,1586891249,310.0,57.95,59.9,61.5,0.0,0.0,1.0,83,0.33635612380981444,True,REGULAR,USD
30,AAPL210917P00320000,1587579218,320.0,71.75,66.15,67.85,0.0,0.0,25.0,180,0.3329687065124512,True,REGULAR,USD
31,AAPL210917P00330000,1585770813,330.0,101.66,70.5,74.55,0.0,0.0,1.0,88,0.33006956558227535,True,REGULAR,USD
32,AAPL210917P00340000,1584722132,340.0,111.2,78.45,81.5,0.0,0.0,4.0,51,0.32700257965087887,True,REGULAR,USD
33,AAPL210917P00350000,1587496478,350.0,97.35,85.0,88.75,0.0,0.0,20.0,42,0.32425602508544915,True,REGULAR,USD
34,AAPL210917P00360000,1582727631,360.0,84.16,114.6,116.75,0.0,0.0,4.0,5,0.48135894622802733,True,REGULAR,USD
