,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MCD200918C00070000,1586786254,70.0,110.55,111.7,116.5,0.0,0.0,,1,0.5996133789062501,True,REGULAR,USD
1,MCD200918C00090000,1586787664,90.0,90.0,90.9,93.6,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD
2,MCD200918C00100000,1584544294,100.0,50.33,82.9,85.0,0.0,0.0,20.0,0,0.5751995605468749,True,REGULAR,USD
3,MCD200918C00105000,1584553606,105.0,35.05,77.9,80.15,0.0,0.0,,0,0.5512740185546876,True,REGULAR,USD
4,MCD200918C00110000,1584559795,110.0,38.75,74.5,79.0,0.0,0.0,,0,0.6342810009765626,True,REGULAR,USD
5,MCD200918C00115000,1586874022,115.0,70.0,68.3,72.85,0.0,0.0,1.0,4,0.5105029418945313,True,REGULAR,USD
6,MCD200918C00120000,1586181695,120.0,54.25,63.6,67.7,0.0,0.0,2.0,16,0.5984537225341797,True,REGULAR,USD
7,MCD200918C00125000,1586188868,125.0,49.73,59.35,62.85,0.0,0.0,2.0,11,0.5618940295410157,True,REGULAR,USD
8,MCD200918C00130000,1587653464,130.0,58.1,54.6,58.65,0.0,0.0,1.0,53,0.5537764349365235,True,REGULAR,USD
9,MCD200918C00135000,1587585001,135.0,56.0,49.95,54.25,0.0,0.0,1.0,180,0.5338791729736327,True,REGULAR,USD
10,MCD200918C00140000,1586193056,140.0,38.25,46.2,49.7,0.0,0.0,3.0,415,0.5065967309570312,True,REGULAR,USD
11,MCD200918C00145000,1587742390,145.0,41.5,40.65,44.15,-4.5,-9.782609,1.0,289,0.4444025286865234,True,REGULAR,USD
12,MCD200918C00150000,1587054621,150.0,32.9,36.3,39.2,0.0,0.0,1.0,203,0.40442490112304685,True,REGULAR,USD
13,MCD200918C00155000,1587483133,155.0,30.6,33.3,36.55,0.0,0.0,2.0,173,0.43280596496582036,True,REGULAR,USD
14,MCD200918C00160000,1587735804,160.0,31.0,29.25,31.35,0.3199997,1.0430237,1.0,367,0.3826355682373046,True,REGULAR,USD
15,MCD200918C00165000,1587743329,165.0,26.52,25.9,27.95,-2.4799995,-8.551723,1.0,163,0.3790345300292969,True,REGULAR,USD
16,MCD200918C00170000,1587480319,170.0,21.0,21.3,24.15,0.0,0.0,4.0,384,0.360785200805664,True,REGULAR,USD
17,MCD200918C00175000,1587751339,175.0,21.0,18.3,20.95,-0.45000076,-2.0979056,20.0,223,0.35242346801757807,True,REGULAR,USD
18,MCD200918C00180000,1587751211,180.0,18.0,17.35,17.95,0.5400009,3.092789,10.0,1780,0.34360397613525384,True,REGULAR,USD
19,MCD200918C00185000,1587749357,185.0,14.91,14.6,15.2,-0.09000015,-0.60000104,10.0,427,0.33521172607421873,False,REGULAR,USD
20,MCD200918C00190000,1587750060,190.0,12.35,12.1,12.75,-0.32999992,-2.602523,11.0,575,0.32804016693115234,False,REGULAR,USD
21,MCD200918C00195000,1587754977,195.0,10.47,8.6,11.2,0.07000065,0.6730832,11.0,329,0.3350286224365234,False,REGULAR,USD
22,MCD200918C00200000,1587755705,200.0,8.3,6.65,8.7,-0.3000002,-3.4883742,383.0,1978,0.316138430480957,False,REGULAR,USD
23,MCD200918C00210000,1587748136,210.0,5.15,2.63,5.55,-0.5899997,-10.278741,45.0,747,0.30298548583984375,False,REGULAR,USD
24,MCD200918C00220000,1587751871,220.0,3.25,2.77,3.2,-0.20000005,-5.7971025,5.0,1693,0.2872385729980468,False,REGULAR,USD
25,MCD200918C00230000,1587753020,230.0,1.89,0.55,1.79,0.24000001,14.545456,6.0,672,0.2775951147460937,False,REGULAR,USD
26,MCD200918C00240000,1587753020,240.0,1.05,0.37,1.61,-0.34000003,-24.460434,4.0,461,0.30536583312988286,False,REGULAR,USD
27,MCD200918C00250000,1587573726,250.0,0.91,0.11,1.05,0.0,0.0,7.0,136,0.30713583496093744,False,REGULAR,USD
28,MCD200918C00260000,1587743561,260.0,0.39,0.19,0.79,-0.13,-25.0,5.0,74,0.31763377685546873,False,REGULAR,USD
29,MCD200918C00270000,1587741128,270.0,0.21,0.02,0.26,-0.12000002,-36.36364,11.0,74,0.28613995117187496,False,REGULAR,USD
30,MCD200918C00280000,1587656825,280.0,0.2,0.1,0.19,0.0,0.0,6.0,106,0.2954172021484375,False,REGULAR,USD
31,MCD200918C00290000,1587755748,290.0,0.1,0.08,0.17,-0.13,-56.521736,2.0,205,0.31153032226562494,False,REGULAR,USD
32,MCD200918C00300000,1587662055,300.0,0.09,0.0,0.1,0.0,0.0,2.0,559,0.3100654931640625,False,REGULAR,USD
33,MCD200918C00310000,1586965447,310.0,0.05,0.03,0.1,0.0,0.0,3.0,43,0.32813171874999997,False,REGULAR,USD
34,MCD200918C00320000,1587754228,320.0,0.06,0.01,0.18,0.049999997,500.0,111.0,952,0.36963520996093746,False,REGULAR,USD
