,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MO201218P00017500,1587660460,17.5,0.44,0.05,1.34,0.0,0.0,2.0,11,0.7641625146484375,False,REGULAR,USD
1,MO201218P00020000,1584725484,20.0,1.27,0.31,0.94,0.0,0.0,,0,0.637698935546875,False,REGULAR,USD
2,MO201218P00022500,1587743879,22.5,0.78,0.62,0.88,-0.96000004,-55.172413,1.0,4,0.5737347314453125,False,REGULAR,USD
3,MO201218P00025000,1586371083,25.0,1.05,0.7,2.38,0.0,0.0,3.0,17,0.6215858154296876,False,REGULAR,USD
4,MO201218P00027500,1587651379,27.5,1.54,0.14,2.9,0.0,0.0,3.0,24,0.524418818359375,False,REGULAR,USD
5,MO201218P00030000,1587577272,30.0,2.2,1.23,2.78,0.0,0.0,2.0,88,0.5820354296875,False,REGULAR,USD
6,MO201218P00032500,1587497280,32.5,2.77,1.25,4.45,0.0,0.0,10.0,93,0.6469761865234375,False,REGULAR,USD
7,MO201218P00035000,1587581017,35.0,3.69,1.29,5.2,0.0,0.0,7.0,177,0.6057168334960938,False,REGULAR,USD
8,MO201218P00037500,1587736292,37.5,4.3,3.95,4.4,-0.5999999,-12.244896,6.0,577,0.42957113403320313,False,REGULAR,USD
9,MO201218P00040000,1587491463,40.0,6.0,4.8,7.85,0.0,0.0,48.0,658,0.5953409606933593,True,REGULAR,USD
10,MO201218P00042500,1587409981,42.5,6.85,5.95,8.45,0.0,0.0,1.0,375,0.5183153637695312,True,REGULAR,USD
11,MO201218P00045000,1587135264,45.0,7.13,6.25,10.1,0.0,0.0,5.0,279,0.5151415673828125,True,REGULAR,USD
12,MO201218P00047500,1587748869,47.5,10.55,8.4,12.6,-1.9499998,-15.599998,1.0,6,0.5708050732421875,True,REGULAR,USD
13,MO201218P00050000,1585165923,50.0,11.03,10.35,14.45,0.0,0.0,2.0,15,0.5677533459472657,True,REGULAR,USD
14,MO201218P00052500,1582825990,52.5,12.85,16.2,17.25,0.0,0.0,1.0,0,0.5935099243164064,True,REGULAR,USD
15,MO201218P00055000,1586878617,55.0,14.67,14.35,18.95,0.0,0.0,20.0,255,0.6103554589843752,True,REGULAR,USD
16,MO201218P00060000,1586368289,60.0,20.54,19.15,23.8,0.0,0.0,1.0,140,0.6682162084960939,True,REGULAR,USD
17,MO201218P00065000,1582641123,65.0,23.0,27.75,31.55,0.0,0.0,2.0,0,0.805666005859375,True,REGULAR,USD
