,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GILD210115P00032500,1587744174,32.5,0.19,0.09,0.18,0.0,0.0,12.0,335,0.5214891601562499,False,REGULAR,USD
1,GILD210115P00035000,1587745544,35.0,0.3,0.17,0.27,0.0,0.0,10.0,447,0.5151415673828125,False,REGULAR,USD
2,GILD210115P00037500,1587749275,37.5,0.35,0.27,0.38,0.0,0.0,1.0,346,0.5063525927734375,False,REGULAR,USD
3,GILD210115P00040000,1587671058,40.0,0.75,0.24,0.55,0.0,0.0,9.0,602,0.5039112109375,False,REGULAR,USD
4,GILD210115P00042500,1587152645,42.5,1.17,0.59,0.77,0.0,0.0,2.0,1072,0.5014698291015626,False,REGULAR,USD
5,GILD210115P00045000,1587671741,45.0,1.2,0.91,1.29,0.0,0.0,60.0,2592,0.5056201782226561,False,REGULAR,USD
6,GILD210115P00047500,1587742067,47.5,1.54,1.08,1.37,0.0,0.0,2.0,2174,0.4953663745117188,False,REGULAR,USD
7,GILD210115P00050000,1587998963,50.0,1.83,1.46,1.8,0.13,7.6470585,51.0,5838,0.4953663745117188,False,REGULAR,USD
8,GILD210115P00052500,1587996718,52.5,2.27,2.15,2.58,-0.27999997,-10.980391,4.0,6182,0.5155077746582031,False,REGULAR,USD
9,GILD210115P00055000,1587999663,55.0,2.9,2.66,2.9,-0.39999986,-12.121207,2.0,10164,0.4953663745117188,False,REGULAR,USD
10,GILD210115P00057500,1587999663,57.5,3.53,3.35,3.6,-0.42000008,-10.632914,2.0,4951,0.49658706542968756,False,REGULAR,USD
11,GILD210115P00060000,1587999544,60.0,4.22,4.0,4.35,0.069999695,1.6867396,2.0,10022,0.49561051269531253,False,REGULAR,USD
12,GILD210115P00062500,1587663383,62.5,6.0,4.8,5.2,0.0,0.0,1.0,6762,0.4953663745117188,False,REGULAR,USD
13,GILD210115P00065000,1587996440,65.0,6.02,5.75,6.05,0.17000008,2.9059842,3.0,13467,0.4908498181152344,False,REGULAR,USD
14,GILD210115P00067500,1587755859,67.5,7.0,6.75,7.1,0.0,0.0,2.0,6981,0.4919484399414063,False,REGULAR,USD
15,GILD210115P00070000,1587994301,70.0,7.7,7.9,8.2,-0.35000038,-4.347831,2.0,5088,0.49133809448242194,False,REGULAR,USD
16,GILD210115P00072500,1588000778,72.5,9.2,9.2,9.4,-0.10000038,-1.0752729,2.0,3206,0.4913991290283204,False,REGULAR,USD
17,GILD210115P00075000,1587741341,75.0,11.57,10.3,10.75,0.0,0.0,2.0,3716,0.49414568359375005,False,REGULAR,USD
18,GILD210115P00077500,1587757255,77.5,12.35,11.65,12.1,0.0,0.0,22.0,388,0.4936574072265626,False,REGULAR,USD
19,GILD210115P00080000,1587994249,80.0,13.0,13.1,13.5,-1.5600004,-10.714289,1.0,1484,0.4922536126708985,True,REGULAR,USD
20,GILD210115P00082500,1587669367,82.5,15.69,14.8,15.15,0.0,0.0,6.0,238,0.49750258361816413,True,REGULAR,USD
21,GILD210115P00085000,1587663827,85.0,17.37,16.4,16.75,0.0,0.0,6.0,401,0.4982960327148438,True,REGULAR,USD
22,GILD210115P00087500,1587750646,87.5,18.63,18.05,18.5,0.0,0.0,15.0,453,0.5022022436523439,True,REGULAR,USD
23,GILD210115P00090000,1587737979,90.0,21.8,19.8,20.3,0.0,0.0,100.0,1169,0.505742247314453,True,REGULAR,USD
24,GILD210115P00092500,1587655138,92.5,20.2,21.5,22.15,0.0,0.0,,12,0.5090991473388673,True,REGULAR,USD
25,GILD210115P00095000,1587397022,95.0,20.25,23.55,23.95,0.0,0.0,2.0,21,0.5009815527343751,True,REGULAR,USD
26,GILD210115P00100000,1587151683,100.0,25.0,27.3,27.85,0.0,0.0,2.0,33,0.5028125891113282,True,REGULAR,USD
27,GILD210115P00105000,1587737608,105.0,33.5,31.4,32.0,0.0,0.0,9.0,28,0.5097705273437501,True,REGULAR,USD
28,GILD210115P00110000,1587652713,110.0,33.27,35.65,36.25,0.0,0.0,2.0,34,0.5162401892089843,True,REGULAR,USD
29,GILD210115P00115000,1587652713,115.0,37.52,39.3,41.15,0.0,0.0,2.0,80,0.518681571044922,True,REGULAR,USD
30,GILD210115P00120000,1587737938,120.0,47.0,44.1,45.4,0.0,0.0,2.0,50,0.5280198565673828,True,REGULAR,USD
