,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DHR220121C00075000,1585296822,75.0,67.2,66.5,71.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
1,DHR220121C00080000,1584983625,80.0,56.95,80.5,85.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
2,DHR220121C00090000,1585841925,90.0,52.63,79.55,84.0,0.0,0.0,2.0,1,0.4699760034179688,True,REGULAR,USD
3,DHR220121C00095000,1583173714,95.0,58.9,45.6,49.9,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD
4,DHR220121C00100000,1587153327,100.0,63.75,71.6,75.9,0.0,0.0,2.0,13,0.4519708123779297,True,REGULAR,USD
5,DHR220121C00105000,1587996688,105.0,66.55,66.85,71.35,26.350002,65.54727,2.0,2,0.4304561349487305,True,REGULAR,USD
6,DHR220121C00110000,1585061067,110.0,37.0,59.9,64.15,0.0,0.0,2.0,0,0.35474278076171867,True,REGULAR,USD
7,DHR220121C00115000,1586370749,115.0,43.0,60.15,62.65,0.0,0.0,2.0,15,0.3956664437866212,True,REGULAR,USD
8,DHR220121C00120000,1587486882,120.0,45.0,55.4,59.85,0.0,0.0,2.0,129,0.4044859356689453,True,REGULAR,USD
9,DHR220121C00125000,1587756117,125.0,51.26,51.4,55.65,0.0,0.0,18.0,118,0.38754884918212884,True,REGULAR,USD
10,DHR220121C00130000,1587754708,130.0,48.37,47.75,51.55,0.0,0.0,1.0,59,0.37177141906738287,True,REGULAR,USD
11,DHR220121C00135000,1587756117,135.0,44.48,44.5,47.8,0.0,0.0,25.0,241,0.3605410626220703,True,REGULAR,USD
12,DHR220121C00140000,1587756916,140.0,41.33,41.1,45.9,0.0,0.0,3.0,88,0.3737092658996582,True,REGULAR,USD
13,DHR220121C00145000,1587754708,145.0,38.52,37.6,42.4,0.0,0.0,1.0,5,0.36282985809326174,True,REGULAR,USD
14,DHR220121C00150000,1587999840,150.0,37.05,36.3,39.6,3.0499992,8.970587,1.0,56,0.3598391653442382,True,REGULAR,USD
15,DHR220121C00155000,1587756117,155.0,32.65,31.65,35.15,0.0,0.0,18.0,11,0.33505913970947265,True,REGULAR,USD
16,DHR220121C00160000,1587756117,160.0,29.86,29.15,32.65,0.0,0.0,24.0,52,0.3332281033325196,True,REGULAR,USD
17,DHR220121C00165000,1585597279,165.0,18.35,27.8,29.45,0.0,0.0,13.0,33,0.3216773155212402,True,REGULAR,USD
18,DHR220121C00170000,1587576139,170.0,21.57,23.85,26.9,0.0,0.0,1.0,19,0.31641308593749995,False,REGULAR,USD
19,DHR220121C00175000,1584129232,175.0,14.5,11.95,16.3,0.0,0.0,20.0,38,0.21842212249755855,False,REGULAR,USD
20,DHR220121C00180000,1587576139,180.0,21.0,19.55,23.8,3.4899998,19.931465,2.0,3,0.32425602508544915,False,REGULAR,USD
21,DHR220121C00185000,1579189889,185.0,11.5,11.2,13.3,0.0,0.0,1.0,1,0.22422040435791013,False,REGULAR,USD
22,DHR220121C00190000,1584555005,190.0,12.5,10.1,13.85,0.0,0.0,1.0,0,0.24820698089599608,False,REGULAR,USD
23,DHR220121C00195000,1587745245,195.0,14.4,14.45,16.25,0.0,0.0,2.0,3,0.29254857849121085,False,REGULAR,USD
24,DHR220121C00200000,1587046714,200.0,8.75,10.45,14.2,0.0,0.0,1.0,8,0.2843089147949218,False,REGULAR,USD
25,DHR220121C00210000,1586878573,210.0,5.45,8.65,11.6,0.0,0.0,,2,0.28137925659179686,False,REGULAR,USD
26,DHR220121C00220000,1586194392,220.0,4.39,6.45,9.0,0.0,0.0,20.0,20,0.2731090756225586,False,REGULAR,USD
27,DHR220121C00230000,1587581948,230.0,5.2,5.45,7.3,0.0,0.0,27.0,46,0.27176631561279296,False,REGULAR,USD
