,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BIIB210319P00140000,1587584223,140.0,3.6,1.25,3.6,0.0,0.0,8.0,14,0.5164843273925781,False,REGULAR,USD
1,BIIB210319P00160000,1583849822,160.0,6.14,2.8,5.8,0.0,0.0,,10,0.5023853472900393,False,REGULAR,USD
2,BIIB210319P00165000,1582002618,165.0,3.1,7.4,9.7,0.0,0.0,,0,0.5888712988281251,False,REGULAR,USD
3,BIIB210319P00170000,1587572151,170.0,7.2,3.8,6.9,0.0,0.0,1.0,21,0.5289353747558594,False,REGULAR,USD
4,BIIB210319P00175000,1587571537,175.0,7.6,4.6,7.7,0.0,0.0,3.0,3,0.5254564056396485,False,REGULAR,USD
5,BIIB210319P00180000,1584037846,180.0,14.02,5.5,9.3,0.0,0.0,,5,0.5369003829956055,False,REGULAR,USD
6,BIIB210319P00190000,1587562578,190.0,9.82,7.3,10.2,0.0,0.0,10.0,10,0.5107165628051759,False,REGULAR,USD
7,BIIB210319P00195000,1587584875,195.0,11.5,8.0,11.3,0.0,0.0,12.0,24,0.5086413882446289,False,REGULAR,USD
8,BIIB210319P00200000,1587562578,200.0,12.0,9.0,12.4,0.0,0.0,10.0,16,0.50546759185791,False,REGULAR,USD
9,BIIB210319P00205000,1587564541,205.0,14.01,10.3,13.6,0.0,0.0,,1,0.5028125891113282,False,REGULAR,USD
10,BIIB210319P00220000,1585597322,220.0,16.61,14.0,17.4,0.0,0.0,1.0,5,0.49205525039672854,False,REGULAR,USD
11,BIIB210319P00225000,1584035568,225.0,30.17,16.4,20.0,0.0,0.0,,8,0.5037891418457032,False,REGULAR,USD
12,BIIB210319P00230000,1587650895,230.0,22.5,16.8,20.2,0.0,0.0,1.0,2,0.4841970526123047,False,REGULAR,USD
13,BIIB210319P00235000,1587572435,235.0,22.0,18.5,21.8,0.0,0.0,1.0,2,0.48151153259277346,False,REGULAR,USD
14,BIIB210319P00240000,1584469338,240.0,28.0,16.5,21.2,0.0,0.0,5.0,27,0.4525506405639649,False,REGULAR,USD
15,BIIB210319P00245000,1587564541,245.0,26.73,21.7,25.2,0.0,0.0,1.0,4,0.47594213027954096,False,REGULAR,USD
16,BIIB210319P00250000,1587049156,250.0,21.9,23.5,26.9,0.0,0.0,5.0,16,0.47199014343261714,False,REGULAR,USD
17,BIIB210319P00260000,1587046867,260.0,23.6,31.4,35.1,0.0,0.0,5.0,0,0.5111438046264648,False,REGULAR,USD
18,BIIB210319P00270000,1587049156,270.0,28.43,31.5,35.0,0.0,0.0,5.0,15,0.4623314265441895,False,REGULAR,USD
19,BIIB210319P00275000,1584332119,275.0,49.6,0.0,0.0,0.0,0.0,,0,0.015634843750000002,False,REGULAR,USD
20,BIIB210319P00285000,1587066814,285.0,32.5,38.4,41.9,0.0,0.0,2.0,6,0.45549555740356445,False,REGULAR,USD
21,BIIB210319P00290000,1587562502,290.0,45.8,40.9,44.3,0.0,0.0,29.0,17,0.4527642614746094,False,REGULAR,USD
22,BIIB210319P00300000,1587738461,300.0,53.0,46.2,49.7,0.0,0.0,3.0,97,0.4507806387329102,False,REGULAR,USD
23,BIIB210319P00305000,1583774934,305.0,62.0,49.0,53.1,0.0,0.0,,1,0.45502253967285156,True,REGULAR,USD
24,BIIB210319P00315000,1585061406,315.0,75.5,59.9,63.4,0.0,0.0,20.0,23,0.4923604231262208,True,REGULAR,USD
25,BIIB210319P00320000,1584469146,320.0,65.14,48.5,52.2,0.0,0.0,,6,0.3662630513000488,True,REGULAR,USD
26,BIIB210319P00330000,1587581311,330.0,68.5,63.1,67.0,0.0,0.0,4.0,8,0.4391688163757324,True,REGULAR,USD
27,BIIB210319P00335000,1585301855,335.0,69.0,73.0,76.8,0.0,0.0,,3,0.49574784042358405,True,REGULAR,USD
28,BIIB210319P00340000,1584974751,340.0,97.8,74.5,78.5,0.0,0.0,5.0,3,0.4808401525878906,True,REGULAR,USD
29,BIIB210319P00350000,1586871919,350.0,69.5,76.1,79.8,0.0,0.0,25.0,100,0.4307307904052735,True,REGULAR,USD
30,BIIB210319P00355000,1586461756,355.0,78.54,79.4,82.7,0.0,0.0,2.0,1,0.4245357839965821,True,REGULAR,USD
31,BIIB210319P00365000,1584388484,365.0,110.7,78.6,82.6,0.0,0.0,,1,0.3554599366760253,True,REGULAR,USD
32,BIIB210319P00400000,1582002619,400.0,140.5,132.5,137.2,0.0,0.0,,0,0.5867045724487304,True,REGULAR,USD
33,BIIB210319P00490000,1584027571,490.0,221.2,177.4,182.8,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
