,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DUK210416P00037500,1586189224,37.5,1.0,0.7,0.95,0.0,0.0,,1,0.5566450585937501,False,REGULAR,USD
1,DUK210416P00045000,1585088255,45.0,4.2,1.3,1.75,0.0,0.0,,20,0.5256395092773438,False,REGULAR,USD
2,DUK210416P00050000,1585249144,50.0,2.5,0.8,2.25,0.0,0.0,1.0,714,0.512578116455078,False,REGULAR,USD
3,DUK210416P00055000,1584557546,55.0,6.5,2.15,2.5,0.0,0.0,,0,0.4594780615234375,False,REGULAR,USD
4,DUK210416P00060000,1586882115,60.0,3.0,3.1,3.5,0.0,0.0,4.0,3,0.4480035668945312,False,REGULAR,USD
5,DUK210416P00065000,1587053853,65.0,4.2,4.6,5.2,0.0,0.0,1.0,40,0.45703667968750006,False,REGULAR,USD
6,DUK210416P00070000,1585161472,70.0,8.75,5.6,6.1,0.0,0.0,,10,0.4216976776123047,False,REGULAR,USD
7,DUK210416P00075000,1586446437,75.0,5.9,6.7,7.2,0.0,0.0,2.0,7,0.38941040283203127,False,REGULAR,USD
8,DUK210416P00077500,1586750722,77.5,6.75,7.5,8.1,0.0,0.0,,2,0.38294074096679687,False,REGULAR,USD
9,DUK210416P00082500,1586873822,82.5,8.4,9.4,10.0,0.0,0.0,3.0,2,0.3667055517578125,False,REGULAR,USD
