,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KO200501P00025000,1587411459,25.0,0.01,0.0,0.03,0.0,0.0,,25,2.0625048437499998,False,REGULAR,USD
1,KO200501P00030000,1587659242,30.0,0.01,0.0,0.01,0.0,0.0,2.0,39,1.3125034374999998,False,REGULAR,USD
2,KO200501P00035000,1587564255,35.0,0.04,0.0,0.01,0.0,0.0,3.0,794,0.87500125,False,REGULAR,USD
3,KO200501P00036000,1587496715,36.0,0.06,0.0,0.01,0.0,0.0,2.0,24,0.8125018749999999,False,REGULAR,USD
4,KO200501P00037000,1587996853,37.0,0.03,0.0,0.01,0.02,200.0,2.0,10,0.7187528125,False,REGULAR,USD
5,KO200501P00038000,1587994204,38.0,0.02,0.0,0.03,0.01,100.0,5.0,59,0.73437765625,False,REGULAR,USD
6,KO200501P00039000,1588000659,39.0,0.01,0.0,0.02,-0.01,-50.0,1.0,225,0.6250037500000001,False,REGULAR,USD
7,KO200501P00040000,1587998107,40.0,0.01,0.0,0.03,-0.02,-66.666664,17.0,285,0.5625043750000001,False,REGULAR,USD
8,KO200501P00041000,1588000885,41.0,0.03,0.02,0.03,0.0,0.0,11.0,168,0.523442265625,False,REGULAR,USD
9,KO200501P00042000,1587998714,42.0,0.05,0.04,0.05,-0.02,-28.571428,75.0,3120,0.48828636718750007,False,REGULAR,USD
10,KO200501P00043000,1588000613,43.0,0.09,0.08,0.09,-0.029999994,-24.999996,97.0,2784,0.44727115234375,False,REGULAR,USD
11,KO200501P00044500,1588000649,44.5,0.21,0.19,0.21,-0.19000001,-47.500004,61.0,461,0.372076591796875,False,REGULAR,USD
12,KO200501P00045000,1588000855,45.0,0.27,0.27,0.28,-0.29999998,-52.631577,172.0,459,0.3437565625,False,REGULAR,USD
13,KO200501P00045500,1588000659,45.5,0.43,0.38,0.43,-0.32999998,-43.421055,51.0,78,0.34180345703125,False,REGULAR,USD
14,KO200501P00046000,1588000641,46.0,0.64,0.57,0.62,-0.39,-37.86408,176.0,154,0.335944140625,False,REGULAR,USD
15,KO200501P00046500,1588000823,46.5,0.84,0.8,0.86,-0.51000005,-37.77778,27.0,408,0.327155166015625,True,REGULAR,USD
16,KO200501P00047000,1588000022,47.0,1.17,1.13,1.18,-0.49,-29.518072,1.0,263,0.331061376953125,True,REGULAR,USD
17,KO200501P00047500,1587999648,47.5,1.5,1.55,1.62,-0.6400001,-29.906544,4.0,155,0.375982802734375,True,REGULAR,USD
18,KO200501P00048000,1587995810,48.0,2.18,1.91,2.0,-0.6299999,-22.419926,13.0,255,0.3711000390625,True,REGULAR,USD
19,KO200501P00048500,1587653403,48.5,2.89,2.36,2.47,0.0,0.0,13.0,59,0.40820904296875,True,REGULAR,USD
20,KO200501P00049000,1587996005,49.0,3.04,2.83,3.0,-0.84000015,-21.649488,1.0,14,0.48730981445312505,True,REGULAR,USD
21,KO200501P00049500,1587563135,49.5,3.8,3.35,3.5,0.0,0.0,1.0,65,0.5410202148437502,True,REGULAR,USD
22,KO200501P00050000,1587749338,50.0,4.85,3.85,4.0,0.0,0.0,1.0,116,0.52539537109375,True,REGULAR,USD
23,KO200501P00050500,1586871046,50.5,3.42,4.4,4.55,0.0,0.0,1.0,1,0.6210975390625001,True,REGULAR,USD
24,KO200501P00051000,1587654433,51.0,5.15,4.6,5.0,0.0,0.0,1.0,2,0.69336244140625,True,REGULAR,USD
25,KO200501P00051500,1586447158,51.5,2.97,5.05,5.45,0.0,0.0,6.0,3,0.6914093359375001,True,REGULAR,USD
26,KO200501P00052000,1584626007,52.0,12.0,4.05,4.35,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
27,KO200501P00052500,1587496918,52.5,7.3,6.2,6.6,0.0,0.0,,8,0.7148466015625,True,REGULAR,USD
28,KO200501P00053500,1585921882,53.5,9.85,7.1,7.5,0.0,0.0,4.0,0,0.5625043750000001,True,REGULAR,USD
29,KO200501P00054500,1586201907,54.5,8.58,7.95,8.8,0.0,0.0,1.0,1,0.8320329296874999,True,REGULAR,USD
30,KO200501P00055000,1584549601,55.0,12.84,7.15,7.35,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
31,KO200501P00056000,1587479328,56.0,9.45,9.45,10.25,0.0,0.0,2.0,1,0.8828136718749999,True,REGULAR,USD
32,KO200501P00059000,1586957881,59.0,10.8,12.35,13.35,0.0,0.0,,1,1.0742233789062503,True,REGULAR,USD
