,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,HD200508P00100000,1587662060,100.0,0.1,0.0,4.1,0.0,0.0,1.0,1,2.848635690917969,False,REGULAR,USD
1,HD200508P00105000,1587735012,105.0,0.09,0.0,0.04,0.0,0.0,2.0,53,1.40625296875,False,REGULAR,USD
2,HD200508P00110000,1587582776,110.0,0.06,0.0,0.14,0.0,0.0,,12,1.4960962695312499,False,REGULAR,USD
3,HD200508P00115000,1587489164,115.0,0.06,0.0,0.17,0.0,0.0,,2,1.4375028125,False,REGULAR,USD
4,HD200508P00130000,1587483952,130.0,0.3,0.0,0.23,0.0,0.0,,5,1.2324257128906249,False,REGULAR,USD
5,HD200508P00140000,1587567211,140.0,0.26,0.0,3.6,0.0,0.0,1.0,1,1.7275404248046877,False,REGULAR,USD
6,HD200508P00145000,1587752699,145.0,0.05,0.0,3.55,0.0,0.0,4.0,20,1.6123066259765624,False,REGULAR,USD
7,HD200508P00150000,1587738015,150.0,0.21,0.0,3.5,0.0,0.0,1.0,12,1.5004907788085937,False,REGULAR,USD
8,HD200508P00155000,1587757802,155.0,0.1,0.0,3.75,0.0,0.0,1.0,3,1.4209013330078126,False,REGULAR,USD
9,HD200508P00157500,1587571333,157.5,0.56,0.0,3.55,0.0,0.0,,20,1.3505891845703122,False,REGULAR,USD
10,HD200508P00160000,1587748911,160.0,0.2,0.0,3.55,0.0,0.0,5.0,73,1.3002964672851558,False,REGULAR,USD
11,HD200508P00162500,1587739549,162.5,0.37,0.0,2.0,0.0,0.0,1.0,1,1.0908248583984377,False,REGULAR,USD
12,HD200508P00165000,1587749696,165.0,0.3,0.04,0.38,0.0,0.0,3.0,4,0.7841818457031251,False,REGULAR,USD
13,HD200508P00167500,1587481956,167.5,1.5,0.04,0.41,0.0,0.0,5.0,5,0.7568383691406251,False,REGULAR,USD
14,HD200508P00170000,1587669155,170.0,0.66,0.01,0.3,0.0,0.0,4.0,22,0.6816438085937502,False,REGULAR,USD
15,HD200508P00172500,1587994882,172.5,0.25,0.04,3.85,-0.25,-50.0,100.0,107,1.0827682580566407,False,REGULAR,USD
16,HD200508P00175000,1587998425,175.0,0.2,0.17,0.26,-0.17999999,-47.368423,7.0,18,0.64648791015625,False,REGULAR,USD
17,HD200508P00177500,1587741867,177.5,0.63,0.09,0.43,0.0,0.0,8.0,13,0.631839619140625,False,REGULAR,USD
18,HD200508P00180000,1588000044,180.0,0.26,0.11,0.51,-0.31,-54.385967,2.0,33,0.6162147753906251,False,REGULAR,USD
19,HD200508P00182500,1587995806,182.5,0.45,0.13,0.58,-0.19999999,-30.76923,1.0,9,0.59570716796875,False,REGULAR,USD
20,HD200508P00185000,1588000119,185.0,0.3,0.18,0.46,-0.32,-51.612904,10.0,319,0.5488326367187502,False,REGULAR,USD
21,HD200508P00187500,1587742856,187.5,1.26,0.09,0.45,0.0,0.0,2.0,7,0.5498091894531252,False,REGULAR,USD
22,HD200508P00190000,1587999174,190.0,0.37,0.34,0.5,-0.55,-59.782608,10.0,45,0.5053760400390624,False,REGULAR,USD
23,HD200508P00192500,1587758199,192.5,1.11,0.41,0.8,0.0,0.0,32.0,46,0.508793974609375,False,REGULAR,USD
24,HD200508P00195000,1587997794,195.0,0.8,0.49,0.77,-1.8800001,-70.14926,2.0,22,0.4995167236328125,False,REGULAR,USD
25,HD200508P00197500,1587998785,197.5,0.76,0.56,0.97,-1.74,-69.6,5.0,18,0.4892629199218751,False,REGULAR,USD
26,HD200508P00200000,1588000559,200.0,0.98,0.8,1.37,-1.02,-51.0,42.0,77,0.4975636181640626,False,REGULAR,USD
27,HD200508P00202500,1587999270,202.5,1.09,1.02,1.54,-2.31,-67.94118,20.0,52,0.47119669433593747,False,REGULAR,USD
28,HD200508P00205000,1587999517,205.0,1.46,1.41,2.7,-1.76,-54.658386,14.0,84,0.5319871020507813,False,REGULAR,USD
29,HD200508P00207500,1587998849,207.5,1.79,1.63,2.96,-2.6100001,-59.31818,9.0,17,0.5004932763671875,False,REGULAR,USD
30,HD200508P00210000,1588000365,210.0,2.32,2.16,2.51,-2.7300003,-54.05941,11.0,76,0.4106504248046875,False,REGULAR,USD
31,HD200508P00212500,1588000559,212.5,3.0,2.86,3.3,-3.15,-51.219513,51.0,55,0.41358008300781246,False,REGULAR,USD
32,HD200508P00215000,1587999756,215.0,2.75,3.55,4.35,-5.05,-64.74359,23.0,4,0.42407802490234375,False,REGULAR,USD
33,HD200508P00217500,1587999401,217.5,4.31,4.45,5.25,-4.69,-52.11111,8.0,3,0.4146787048339844,False,REGULAR,USD
