,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LLY200508P00090000,1585767413,90.0,0.64,0.0,0.43,0.0,0.0,,1,1.5585959570312498,False,REGULAR,USD
1,LLY200508P00095000,1586280806,95.0,0.53,0.0,1.54,0.0,0.0,,1,1.78125109375,False,REGULAR,USD
2,LLY200508P00105000,1585581653,105.0,1.16,0.0,0.41,0.0,0.0,,2,1.185550947265625,False,REGULAR,USD
3,LLY200508P00113000,1587584702,113.0,0.07,0.0,0.32,0.0,0.0,,0,0.9726565234375,False,REGULAR,USD
4,LLY200508P00125000,1585843644,125.0,2.63,0.0,0.77,0.0,0.0,,2,0.85742330078125,False,REGULAR,USD
5,LLY200508P00130000,1587573694,130.0,0.45,0.01,0.4,0.0,0.0,3.0,9,0.6689486230468751,False,REGULAR,USD
6,LLY200508P00131000,1585668702,131.0,4.55,0.05,0.19,0.0,0.0,,6,0.59570716796875,False,REGULAR,USD
7,LLY200508P00132000,1586970622,132.0,1.07,0.05,0.4,0.0,0.0,1.0,8,0.641605146484375,False,REGULAR,USD
8,LLY200508P00133000,1585322330,133.0,8.41,0.03,0.25,0.0,0.0,,1,0.5742230078125,False,REGULAR,USD
9,LLY200508P00134000,1586146143,134.0,4.25,0.07,0.32,0.0,0.0,1.0,1,0.58789474609375,False,REGULAR,USD
10,LLY200508P00135000,1587651711,135.0,0.44,0.01,0.39,0.0,0.0,1.0,15,0.5722699023437501,False,REGULAR,USD
11,LLY200508P00136000,1587482591,136.0,1.15,0.02,0.43,0.0,0.0,1.0,19,0.5654340332031251,False,REGULAR,USD
12,LLY200508P00137000,1587739469,137.0,0.23,0.04,0.77,0.0,0.0,1.0,19,0.6132851171875001,False,REGULAR,USD
13,LLY200508P00138000,1586877938,138.0,2.08,0.0,0.52,0.0,0.0,2.0,14,0.5419967675781252,False,REGULAR,USD
14,LLY200508P00140000,1587738287,140.0,0.25,0.0,0.38,0.0,0.0,5.0,30,0.5444381494140625,False,REGULAR,USD
15,LLY200508P00141000,1587649388,141.0,0.7,0.01,0.38,0.0,0.0,1.0,14,0.524418818359375,False,REGULAR,USD
16,LLY200508P00142000,1587742386,142.0,0.41,0.03,0.38,0.0,0.0,1.0,14,0.5039112109375,False,REGULAR,USD
17,LLY200508P00143000,1587648650,143.0,0.95,0.01,0.29,0.0,0.0,1.0,5,0.45654840332031255,False,REGULAR,USD
18,LLY200508P00144000,1587662843,144.0,0.67,0.08,0.52,0.0,0.0,1.0,21,0.4995167236328125,False,REGULAR,USD
19,LLY200508P00145000,1587739265,145.0,0.4,0.13,0.32,0.0,0.0,1.0,16,0.42676354492187507,False,REGULAR,USD
20,LLY200508P00146000,1587562423,146.0,2.14,0.14,0.47,0.0,0.0,1.0,2,0.4458063232421875,False,REGULAR,USD
21,LLY200508P00147000,1587582500,147.0,2.01,0.16,0.57,0.0,0.0,3.0,11,0.446294599609375,False,REGULAR,USD
22,LLY200508P00148000,1587738947,148.0,0.66,0.04,0.54,0.0,0.0,1.0,6,0.41870698486328123,False,REGULAR,USD
23,LLY200508P00149000,1587583713,149.0,2.57,0.29,0.64,0.0,0.0,2.0,1,0.4165097412109374,False,REGULAR,USD
24,LLY200508P00150000,1587748108,150.0,1.0,0.28,0.68,0.0,0.0,22.0,40,0.401373173828125,False,REGULAR,USD
25,LLY200508P00152500,1587751967,152.5,0.98,0.37,0.86,0.0,0.0,3.0,115,0.372076591796875,False,REGULAR,USD
26,LLY200508P00155000,1587758270,155.0,1.64,0.6,1.05,0.0,0.0,2.0,133,0.335944140625,False,REGULAR,USD
27,LLY200508P00157500,1587997620,157.5,1.4,1.35,1.65,-0.7900001,-36.073063,5.0,25,0.334967587890625,False,REGULAR,USD
28,LLY200508P00160000,1587997366,160.0,2.17,1.84,2.23,-0.32999992,-13.199997,2.0,25,0.31238480590820306,False,REGULAR,USD
29,LLY200508P00162500,1588000842,162.5,2.95,2.54,3.05,-0.5,-14.492753,23.0,1,0.2923654748535155,False,REGULAR,USD
30,LLY200508P00165000,1587999539,165.0,4.65,4.15,4.5,-0.25,-5.102041,20.0,23,0.30298548583984375,True,REGULAR,USD
31,LLY200508P00170000,1587670725,170.0,11.55,7.0,7.75,0.0,0.0,,2,0.28394270751953116,True,REGULAR,USD
32,LLY200508P00175000,1585920938,175.0,34.5,11.3,12.95,0.0,0.0,2.0,3,0.4194393994140625,True,REGULAR,USD
