,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PM200508C00066500,1587498572,66.5,6.9,7.45,8.25,0.0,0.0,,8,0.5459029785156251,True,REGULAR,USD
1,PM200508C00072000,1587566705,72.0,3.3,2.47,3.25,0.0,0.0,,1,0.3569400244140625,True,REGULAR,USD
2,PM200508C00073000,1587998369,73.0,1.85,2.09,2.68,-1.9,-50.666668,1.0,8,0.36963520996093746,True,REGULAR,USD
3,PM200508C00074000,1587751757,74.0,2.0,1.7,1.96,0.0,0.0,30.0,32,0.33789724609375,True,REGULAR,USD
4,PM200508C00075000,1587998219,75.0,1.21,1.3,1.46,-0.03999996,-3.199997,15.0,69,0.3320379296875,False,REGULAR,USD
5,PM200508C00076000,1587998116,76.0,0.85,0.82,1.42,-0.049999952,-5.5555506,1.0,80,0.39893179199218753,False,REGULAR,USD
6,PM200508C00076500,1587662554,76.5,0.78,0.66,0.83,0.0,0.0,6.0,17,0.3139717041015625,False,REGULAR,USD
7,PM200508C00077000,1587999148,77.0,0.6,0.54,0.67,-0.39999998,-39.999996,24.0,8,0.3090889404296875,False,REGULAR,USD
8,PM200508C00078000,1588000843,78.0,0.38,0.35,0.45,-0.45999998,-54.761906,2.0,33,0.30811238769531246,False,REGULAR,USD
9,PM200508C00079000,1587999284,79.0,0.22,0.22,0.29,-0.22999999,-51.111107,20.0,21,0.30664755859375,False,REGULAR,USD
10,PM200508C00080000,1587997743,80.0,0.14,0.13,0.2,-0.060000002,-30.0,21.0,670,0.31445998046874996,False,REGULAR,USD
11,PM200508C00082000,1587998304,82.0,0.06,0.04,0.09,-1.57,-96.319016,7.0,3,0.32617861328125,False,REGULAR,USD
12,PM200508C00085000,1587498696,85.0,0.25,0.0,0.2,0.0,0.0,5.0,8,0.49023947265625006,False,REGULAR,USD
13,PM200508C00090000,1586272753,90.0,0.54,0.0,0.18,0.0,0.0,120.0,401,0.5546919531250001,False,REGULAR,USD
14,PM200508C00095000,1585768483,95.0,0.12,0.0,0.13,0.0,0.0,,1,0.648441015625,False,REGULAR,USD
