,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CHTR200515C00230000,1585337948,230.0,222.4,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
1,CHTR200515C00370000,1585062443,370.0,42.56,134.1,141.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
2,CHTR200515C00400000,1584976366,400.0,17.62,96.1,104.0,0.0,0.0,,17,1.0000000000000003e-05,True,REGULAR,USD
3,CHTR200515C00415000,1587562767,415.0,83.0,94.0,102.4,0.0,0.0,30.0,22,0.7365748999023438,True,REGULAR,USD
4,CHTR200515C00425000,1585068858,425.0,20.5,78.4,84.6,0.0,0.0,34.0,34,1.0000000000000003e-05,True,REGULAR,USD
5,CHTR200515C00430000,1585068791,430.0,18.2,73.5,80.2,0.0,0.0,54.0,54,1.0000000000000003e-05,True,REGULAR,USD
6,CHTR200515C00435000,1585154385,435.0,21.8,74.4,81.3,0.0,0.0,19.0,32,0.5556685058593751,True,REGULAR,USD
7,CHTR200515C00440000,1585760188,440.0,24.0,72.7,78.5,0.0,0.0,1.0,136,0.6283606500244141,True,REGULAR,USD
8,CHTR200515C00445000,1585152056,445.0,15.0,65.8,72.6,0.0,0.0,109.0,134,0.5583540258789064,True,REGULAR,USD
9,CHTR200515C00450000,1585934077,450.0,19.63,64.2,70.2,0.0,0.0,700.0,807,0.5099536309814454,True,REGULAR,USD
10,CHTR200515C00455000,1585164082,455.0,21.6,57.6,63.7,0.0,0.0,105.0,276,0.538212625732422,True,REGULAR,USD
11,CHTR200515C00460000,1585338607,460.0,26.0,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,CHTR200515C00465000,1585239219,465.0,22.1,49.6,56.1,0.0,0.0,,74,0.5501753967285157,True,REGULAR,USD
13,CHTR200515C00470000,1587748827,470.0,45.0,48.7,53.4,0.0,0.0,1.0,167,0.5126391510009765,True,REGULAR,USD
14,CHTR200515C00475000,1587996842,475.0,48.9,45.2,49.7,12.350002,33.789337,1.0,759,0.5159350164794922,True,REGULAR,USD
15,CHTR200515C00480000,1587482549,480.0,33.4,40.8,46.1,0.0,0.0,18.0,94,0.504460521850586,True,REGULAR,USD
16,CHTR200515C00485000,1587481426,485.0,31.3,37.9,42.0,0.0,0.0,12.0,139,0.5027515545654297,True,REGULAR,USD
17,CHTR200515C00490000,1587488845,490.0,27.32,34.7,38.5,0.0,0.0,10.0,170,0.5009205181884766,True,REGULAR,USD
18,CHTR200515C00495000,1587751347,495.0,31.1,29.4,36.0,0.0,0.0,5.0,256,0.5583540258789064,True,REGULAR,USD
19,CHTR200515C00500000,1587758082,500.0,28.5,28.3,31.8,0.0,0.0,9.0,530,0.5287827883911134,True,REGULAR,USD
20,CHTR200515C00505000,1587740437,505.0,21.2,24.2,29.8,0.0,0.0,1.0,240,0.5449569430541993,True,REGULAR,USD
21,CHTR200515C00510000,1587568319,510.0,19.4,22.7,26.1,0.0,0.0,2.0,146,0.5205736419677733,True,REGULAR,USD
22,CHTR200515C00515000,1588000382,515.0,20.21,17.9,23.5,-0.59000015,-2.8365393,500.0,102,0.5167284655761719,False,REGULAR,USD
23,CHTR200515C00520000,1587142449,520.0,13.9,17.4,21.2,0.0,0.0,4.0,81,0.5157824301147461,False,REGULAR,USD
24,CHTR200515C00525000,1587394070,525.0,13.0,13.1,18.8,0.0,0.0,1.0,115,0.5092212164306642,False,REGULAR,USD
25,CHTR200515C00530000,1587665414,530.0,12.87,13.5,16.6,0.0,0.0,2.0,5,0.5034229345703125,False,REGULAR,USD
26,CHTR200515C00535000,1587665414,535.0,10.37,11.3,14.6,0.0,0.0,3.0,3,0.49841810180664065,False,REGULAR,USD
27,CHTR200515C00540000,1586806540,540.0,3.8,9.6,12.8,0.0,0.0,,20,0.4942677526855469,False,REGULAR,USD
28,CHTR200515C00545000,1587571390,545.0,6.5,8.1,11.4,0.0,0.0,,1,0.49597671997070314,False,REGULAR,USD
29,CHTR200515C00550000,1586883436,550.0,5.6,4.6,8.6,0.0,0.0,,2,0.4591118542480469,False,REGULAR,USD
30,CHTR200515C00560000,1587570077,560.0,4.77,4.4,7.3,0.0,0.0,,0,0.48303739624023445,False,REGULAR,USD
31,CHTR200515C00565000,1587570077,565.0,4.63,2.6,7.9,0.0,0.0,,0,0.5275926147460939,False,REGULAR,USD
32,CHTR200515C00590000,1587997224,590.0,2.39,0.35,2.85,1.3900001,139.00002,10.0,3,0.47559118164062497,False,REGULAR,USD
33,CHTR200515C00600000,1587659668,600.0,1.95,0.05,2.9,0.0,0.0,3.0,6,0.5184984674072266,False,REGULAR,USD
34,CHTR200515C00615000,1586887979,615.0,0.4,0.1,2.0,0.0,0.0,,0,0.5277146838378908,False,REGULAR,USD
35,CHTR200515C00630000,1587654219,630.0,0.35,0.0,1.15,0.0,0.0,2.0,0,0.5183153637695312,False,REGULAR,USD
