,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PYPL200515P00042500,1587746251,42.5,0.01,0.0,0.03,0.0,0.0,4.0,4,1.5937520312499998,False,REGULAR,USD
1,PYPL200515P00047500,1587746283,47.5,0.01,0.0,0.03,0.0,0.0,2.0,10,1.4375028125,False,REGULAR,USD
2,PYPL200515P00050000,1587562204,50.0,0.05,0.0,0.07,0.0,0.0,2.0,605,1.4765651171875,False,REGULAR,USD
3,PYPL200515P00055000,1587746319,55.0,0.01,0.0,0.03,0.0,0.0,1.0,103,1.21875390625,False,REGULAR,USD
4,PYPL200515P00060000,1587580027,60.0,0.01,0.0,0.04,0.0,0.0,1.0,49,1.125004375,False,REGULAR,USD
5,PYPL200515P00065000,1587402961,65.0,0.04,0.01,0.04,0.0,0.0,3.0,86,1.0312548437500002,False,REGULAR,USD
6,PYPL200515P00070000,1587740365,70.0,0.04,0.0,0.06,0.0,0.0,2.0,2461,0.929688203125,False,REGULAR,USD
7,PYPL200515P00075000,1587662615,75.0,0.08,0.0,0.09,0.0,0.0,3.0,2902,0.8632826171875,False,REGULAR,USD
8,PYPL200515P00077500,1587751559,77.5,0.07,0.0,0.09,0.0,0.0,2.0,92,0.8085956640624999,False,REGULAR,USD
9,PYPL200515P00080000,1587997019,80.0,0.12,0.02,0.1,0.049999997,71.428566,1.0,1732,0.7851583984375,False,REGULAR,USD
10,PYPL200515P00082500,1587740346,82.5,0.18,0.04,0.26,0.0,0.0,10.0,638,0.8339860351562498,False,REGULAR,USD
11,PYPL200515P00085000,1587997908,85.0,0.11,0.08,0.13,-0.13,-54.166668,2.0,4647,0.73633076171875,False,REGULAR,USD
12,PYPL200515P00087500,1587997773,87.5,0.16,0.1,0.16,-0.049999997,-23.809523,5.0,267,0.7050810742187501,False,REGULAR,USD
13,PYPL200515P00090000,1588000020,90.0,0.19,0.17,0.2,-0.17000002,-47.222225,20.0,5720,0.6914093359375001,False,REGULAR,USD
14,PYPL200515P00092500,1587751303,92.5,0.38,0.17,0.4,0.0,0.0,5.0,1932,0.6884796777343751,False,REGULAR,USD
