,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,USB200515P00017500,1587585244,17.5,0.06,0.0,0.03,0.0,0.0,14.0,138,1.2500037499999999,False,REGULAR,USD
1,USB200515P00020000,1587748377,20.0,0.04,0.0,0.04,0.0,0.0,2.0,397,1.0625046875000002,False,REGULAR,USD
2,USB200515P00022500,1587740760,22.5,0.1,0.03,0.06,0.0,0.0,5.0,295,0.9687503125,False,REGULAR,USD
3,USB200515P00025000,1587997184,25.0,0.09,0.07,0.09,-0.11,-55.0,12.0,273,0.8476577734374999,False,REGULAR,USD
4,USB200515P00026000,1587751085,26.0,0.18,0.09,0.11,0.0,0.0,3.0,13,0.8007832421875,False,REGULAR,USD
5,USB200515P00027000,1587584766,27.0,0.43,0.12,0.15,0.0,0.0,,55,0.7656273437500001,False,REGULAR,USD
6,USB200515P00027500,1587997313,27.5,0.16,0.14,0.16,-0.110000014,-40.740746,15.0,1840,0.7402369726562499,False,REGULAR,USD
7,USB200515P00028000,1587741797,28.0,0.43,0.16,0.19,0.0,0.0,4.0,60,0.7226590234375,False,REGULAR,USD
8,USB200515P00029000,1587741820,29.0,0.57,0.22,0.23,0.0,0.0,10.0,86,0.6796907031250001,False,REGULAR,USD
9,USB200515P00029500,1587758395,29.5,0.44,0.25,0.27,0.0,0.0,9.0,94,0.6621127539062501,False,REGULAR,USD
10,USB200515P00030000,1587998480,30.0,0.32,0.3,0.31,-0.19999999,-38.461536,20.0,764,0.64648791015625,False,REGULAR,USD
11,USB200515P00030500,1587748387,30.5,0.8,0.34,0.35,0.0,0.0,3.0,151,0.6250037500000001,False,REGULAR,USD
12,USB200515P00031000,1587748088,31.0,0.97,0.4,0.42,0.0,0.0,15.0,141,0.6123085644531252,False,REGULAR,USD
13,USB200515P00031500,1587748354,31.5,1.08,0.46,0.48,0.0,0.0,29.0,182,0.5937540625000001,False,REGULAR,USD
14,USB200515P00032000,1587994994,32.0,0.77,0.55,0.57,-0.120000005,-13.483147,2.0,257,0.5830119824218749,False,REGULAR,USD
15,USB200515P00032500,1587995175,32.5,0.9,0.64,0.67,-0.32000005,-26.229511,1.0,709,0.5698285205078125,False,REGULAR,USD
16,USB200515P00033000,1587753748,33.0,1.32,0.76,0.78,0.0,0.0,75.0,112,0.5585981640625001,False,REGULAR,USD
17,USB200515P00033500,1587754930,33.5,1.46,0.9,0.91,0.0,0.0,78.0,226,0.5483443603515626,False,REGULAR,USD
18,USB200515P00034000,1587756620,34.0,1.6,1.04,1.06,0.0,0.0,45.0,51,0.5351608984375,False,REGULAR,USD
19,USB200515P00034500,1587997945,34.5,1.34,1.21,1.25,-1.17,-46.613544,20.0,1005,0.5273484765625001,False,REGULAR,USD
20,USB200515P00035000,1587998336,35.0,1.53,1.41,1.44,-0.53999996,-26.086956,10.0,1479,0.51758294921875,False,REGULAR,USD
21,USB200515P00035500,1587564125,35.5,3.5,1.6,1.63,0.0,0.0,,11,0.5034229345703125,True,REGULAR,USD
22,USB200515P00036000,1587392095,36.0,2.91,1.85,1.9,0.0,0.0,,5,0.5019581054687501,True,REGULAR,USD
23,USB200515P00036500,1587569358,36.5,3.8,2.15,2.2,0.0,0.0,,5,0.5029346582031251,True,REGULAR,USD
24,USB200515P00037000,1587569926,37.0,4.15,2.43,2.48,0.0,0.0,,5,0.4892629199218751,True,REGULAR,USD
25,USB200515P00037500,1587997428,37.5,3.0,2.79,2.86,-0.79999995,-21.05263,2.0,352,0.5019581054687501,True,REGULAR,USD
26,USB200515P00038500,1587960383,38.5,5.3,3.5,3.6,0.0,0.0,,8,0.5009815527343751,True,REGULAR,USD
27,USB200515P00040000,1587737676,40.0,6.86,4.8,5.0,0.0,0.0,1.0,462,0.5312546875,True,REGULAR,USD
28,USB200515P00042500,1585681578,42.5,8.25,7.2,7.45,0.0,0.0,1.0,65,0.6513706738281251,True,REGULAR,USD
29,USB200515P00045000,1584110358,45.0,11.92,7.05,7.35,0.0,0.0,40.0,74,1.0000000000000003e-05,True,REGULAR,USD
30,USB200515P00047500,1585593743,47.5,12.35,12.15,12.5,0.0,0.0,3.0,30,0.914063359375,True,REGULAR,USD
31,USB200515P00050000,1587656108,50.0,16.0,14.65,14.9,0.0,0.0,5.0,248,0.9882813671875,True,REGULAR,USD
32,USB200515P00052500,1587656188,52.5,18.6,17.1,17.4,0.0,0.0,2.0,15,1.0683640332031252,True,REGULAR,USD
33,USB200515P00055000,1587143412,55.0,20.32,19.5,19.95,0.0,0.0,2.0,2,1.138676181640625,True,REGULAR,USD
34,USB200515P00057500,1587060952,57.5,24.8,22.0,22.3,0.0,0.0,11.0,0,1.1328168359375002,True,REGULAR,USD
