,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WBA200515C00022500,1587666014,22.5,21.0,18.9,22.05,0.0,0.0,100.0,57,2.1806686108398434,True,REGULAR,USD
1,WBA200515C00030000,1586801659,30.0,13.88,11.55,14.35,0.0,0.0,1.0,1,1.2500037499999999,True,REGULAR,USD
2,WBA200515C00035000,1587046124,35.0,8.02,6.5,9.25,0.0,0.0,1.0,3,0.780275634765625,True,REGULAR,USD
3,WBA200515C00037500,1587053577,37.5,6.65,4.3,6.8,0.0,0.0,2.0,19,0.622074091796875,True,REGULAR,USD
4,WBA200515C00040000,1587748987,40.0,3.92,4.25,4.5,0.0,0.0,2.0,0,0.5102588037109376,True,REGULAR,USD
5,WBA200515C00040500,1587747260,40.5,3.55,3.85,4.05,0.0,0.0,16.0,16,0.4858449853515625,True,REGULAR,USD
6,WBA200515C00041000,1587569391,41.0,3.3,3.45,3.7,0.0,0.0,,0,0.49121602539062503,True,REGULAR,USD
7,WBA200515C00042000,1587581356,42.0,2.64,2.69,2.88,0.0,0.0,,4,0.450200810546875,True,REGULAR,USD
8,WBA200515C00042500,1587996619,42.5,2.53,2.36,2.51,0.3499999,16.055042,6.0,599,0.43506424316406256,True,REGULAR,USD
9,WBA200515C00043000,1587671935,43.0,2.19,2.05,2.18,0.0,0.0,,26,0.42529871582031253,True,REGULAR,USD
10,WBA200515C00043500,1587999679,43.5,1.75,1.73,1.86,0.07000005,4.16667,1.0,17,0.41309180664062495,True,REGULAR,USD
11,WBA200515C00044000,1587999840,44.0,1.5,1.49,1.55,-0.01999998,-1.3157883,14.0,54,0.3979552392578125,False,REGULAR,USD
12,WBA200515C00044500,1587997811,44.5,1.35,1.24,1.31,0.17000008,14.406787,6.0,44,0.3940490283203125,False,REGULAR,USD
13,WBA200515C00045000,1588000793,45.0,0.99,0.98,1.04,-0.03999996,-3.8834915,28.0,3220,0.375982802734375,False,REGULAR,USD
14,WBA200515C00045500,1587996537,45.5,0.89,0.78,0.83,0.110000014,14.102567,5.0,32,0.366217275390625,False,REGULAR,USD
15,WBA200515C00046000,1587997818,46.0,0.72,0.62,0.67,0.060000002,9.090909,7.0,107,0.3632876171875,False,REGULAR,USD
16,WBA200515C00046500,1587996539,46.5,0.56,0.48,0.54,0.030000031,5.6603837,10.0,26,0.3618227880859375,False,REGULAR,USD
17,WBA200515C00047000,1587996246,47.0,0.4,0.35,0.4,-0.00999999,-2.439022,2.0,217,0.3505924316406249,False,REGULAR,USD
18,WBA200515C00047500,1587997963,47.5,0.32,0.26,0.31,-0.030000001,-8.571429,10.0,798,0.348639326171875,False,REGULAR,USD
19,WBA200515C00048000,1587994204,48.0,0.25,0.2,0.25,0.0,0.0,9.0,140,0.352545537109375,False,REGULAR,USD
20,WBA200515C00048500,1587651769,48.5,0.42,0.15,0.21,0.0,0.0,,32,0.36035795898437495,False,REGULAR,USD
21,WBA200515C00049000,1587998003,49.0,0.15,0.12,0.15,-0.099999994,-39.999996,4.0,20,0.35352208984374994,False,REGULAR,USD
22,WBA200515C00050000,1587998735,50.0,0.08,0.07,0.09,-0.010000005,-11.111116,30.0,0,0.35742830078125,False,REGULAR,USD
23,WBA200515C00051000,1587756830,51.0,0.07,0.01,0.06,0.0,0.0,8.0,0,0.36914693359375,False,REGULAR,USD
24,WBA200515C00052000,1587407833,52.0,0.11,0.0,0.04,0.0,0.0,,112,0.3789124609375,False,REGULAR,USD
25,WBA200515C00052500,1587998065,52.5,0.02,0.0,0.05,-0.01,-33.333332,12.0,475,0.41211525390625,False,REGULAR,USD
26,WBA200515C00053000,1587659256,53.0,0.02,0.0,0.05,0.0,0.0,,0,0.42969320312500003,False,REGULAR,USD
27,WBA200515C00055000,1587736655,55.0,0.04,0.01,0.03,0.0,0.0,1.0,1002,0.46094289062500005,False,REGULAR,USD
28,WBA200515C00060000,1587399409,60.0,0.01,0.0,0.02,0.0,0.0,2.0,150,0.5312546875,False,REGULAR,USD
29,WBA200515C00065000,1587141572,65.0,0.02,0.0,0.08,0.0,0.0,3.0,229,0.7656273437500001,False,REGULAR,USD
