,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DOW200522P00020000,1587486676,20.0,0.25,,0.15,0.0,0.0,,5,1.15625421875,False,REGULAR,USD
1,DOW200522P00021000,1587063288,21.0,0.4,0.0,0.15,0.0,0.0,1.0,1,0.937500625,False,REGULAR,USD
2,DOW200522P00023000,1587047283,23.0,0.5,0.1,0.25,0.0,0.0,1.0,1,0.9179695703125,False,REGULAR,USD
3,DOW200522P00024000,1587475830,24.0,0.7,0.15,0.3,0.0,0.0,1.0,28,0.8828136718749999,False,REGULAR,USD
4,DOW200522P00025000,1587476738,25.0,0.85,0.2,0.4,0.0,0.0,10.0,31,0.8564467480468749,False,REGULAR,USD
5,DOW200522P00025500,1586184779,25.5,1.22,0.25,0.45,0.0,0.0,,1,0.8476577734374999,False,REGULAR,USD
6,DOW200522P00026000,1587572401,26.0,0.97,0.3,0.45,0.0,0.0,7.0,5,0.8183611914062499,False,REGULAR,USD
7,DOW200522P00026500,1587056152,26.5,1.1,0.3,0.55,0.0,0.0,5.0,5,0.8037129003906249,False,REGULAR,USD
8,DOW200522P00027000,1587740243,27.0,0.75,0.35,0.5,0.0,0.0,10.0,6,0.7578149218750001,False,REGULAR,USD
9,DOW200522P00027500,1587476703,27.5,1.55,0.45,0.65,0.0,0.0,3.0,12,0.7773459765625,False,REGULAR,USD
10,DOW200522P00028000,1587756676,28.0,0.71,0.5,0.75,0.0,0.0,15.0,74,0.764650791015625,False,REGULAR,USD
11,DOW200522P00029000,1587669351,29.0,1.19,0.65,0.95,0.0,0.0,1.0,33,0.7397486962890624,False,REGULAR,USD
12,DOW200522P00029500,1587583710,29.5,1.65,0.75,1.0,0.0,0.0,,1,0.71679970703125,False,REGULAR,USD
13,DOW200522P00030000,1587999360,30.0,0.9,0.85,1.15,-0.47000003,-34.306572,50.0,163,0.709963837890625,False,REGULAR,USD
14,DOW200522P00030500,1587995079,30.5,1.25,0.95,1.25,-1.2,-48.97959,7.0,3,0.6894562304687502,False,REGULAR,USD
15,DOW200522P00031000,1587564109,31.0,1.86,1.1,1.4,0.0,0.0,1.0,44,0.6821320849609377,False,REGULAR,USD
16,DOW200522P00031500,1587994508,31.5,1.54,1.3,1.5,-0.46000004,-23.000002,2.0,32,0.6704134521484376,False,REGULAR,USD
17,DOW200522P00032000,1587393720,32.0,2.6,1.45,1.7,0.0,0.0,2.0,5,0.6621127539062501,False,REGULAR,USD
18,DOW200522P00032500,1587994508,32.5,1.89,1.65,1.9,-0.65999997,-25.882353,2.0,1,0.6562534375000001,False,REGULAR,USD
19,DOW200522P00033000,1586978288,33.0,3.0,1.85,2.15,0.0,0.0,3.0,31,0.6533237792968751,False,REGULAR,USD
20,DOW200522P00034000,1587491195,34.0,4.7,2.35,2.65,0.0,0.0,5.0,7,0.64648791015625,True,REGULAR,USD
21,DOW200522P00035000,1586893645,35.0,2.8,2.85,3.2,0.0,0.0,4.0,47,0.6279334082031252,True,REGULAR,USD
22,DOW200522P00036000,1587755664,36.0,4.0,3.5,3.9,0.0,0.0,5.0,6,0.6337927246093751,True,REGULAR,USD
23,DOW200522P00040000,1587583800,40.0,8.6,6.7,7.1,0.0,0.0,2.0,3,0.6611362011718751,True,REGULAR,USD
24,DOW200522P00045000,1587393423,45.0,12.85,11.5,11.8,0.0,0.0,1.0,0,0.78711150390625,True,REGULAR,USD
