,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LMT200522P00265000,1586182158,265.0,1.48,0.0,4.4,0.0,0.0,,1,0.9094247338867187,False,REGULAR,USD
1,LMT200522P00320000,1587493146,320.0,5.6,0.05,3.5,0.0,0.0,40.0,41,0.5873454351806642,False,REGULAR,USD
2,LMT200522P00322500,1587752799,322.5,1.88,0.0,4.8,0.0,0.0,1.0,1,0.5092822509765625,False,REGULAR,USD
3,LMT200522P00325000,1586871526,325.0,5.12,0.0,3.9,0.0,0.0,,1,0.5694623132324219,False,REGULAR,USD
4,LMT200522P00330000,1587668786,330.0,3.77,0.05,4.3,0.0,0.0,5.0,6,0.549381947631836,False,REGULAR,USD
5,LMT200522P00347500,1587400103,347.5,1.83,0.0,6.7,0.0,0.0,,5,0.49811292907714844,False,REGULAR,USD
6,LMT200522P00352500,1587400103,352.5,2.85,0.2,8.0,0.0,0.0,,5,0.4957936163330079,False,REGULAR,USD
7,LMT200522P00367500,1587738629,367.5,13.37,8.1,11.7,0.0,0.0,2.0,3,0.45526667785644537,False,REGULAR,USD
8,LMT200522P00370000,1587997882,370.0,10.5,6.8,13.9,-4.5,-30.0,1.0,2,0.48590601989746096,False,REGULAR,USD
9,LMT200522P00372500,1586791044,372.5,25.0,7.5,14.7,0.0,0.0,1.0,0,0.4785818743896484,False,REGULAR,USD
10,LMT200522P00375000,1587745354,375.0,15.65,8.7,15.7,0.0,0.0,10.0,10,0.4751334225463867,False,REGULAR,USD
11,LMT200522P00377500,1587655619,377.5,16.0,11.7,16.3,0.0,0.0,,3,0.460515648803711,False,REGULAR,USD
12,LMT200522P00380000,1587399843,380.0,15.5,12.9,17.9,0.0,0.0,,1,0.4695487615966797,False,REGULAR,USD
13,LMT200522P00382500,1587997882,382.5,15.72,14.0,17.7,-5.159999,-24.712639,1.0,2,0.43286699951171875,True,REGULAR,USD
14,LMT200522P00385000,1587484099,385.0,24.0,15.2,18.5,0.0,0.0,,1,0.41962250305175786,True,REGULAR,USD
15,LMT200522P00390000,1587402356,390.0,16.7,17.2,24.3,0.0,0.0,10.0,10,0.4924977508544922,True,REGULAR,USD
16,LMT200522P00400000,1587745354,400.0,29.15,23.4,31.0,0.0,0.0,10.0,10,0.5045215563964844,True,REGULAR,USD
