,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA200529C00140000,1586961204,140.0,138.15,158.55,161.4,0.0,0.0,,1,1.4155302661132816,True,REGULAR,USD
1,NVDA200529C00195000,1587478591,195.0,87.05,104.35,107.1,0.0,0.0,,1,0.7485376708984376,True,REGULAR,USD
2,NVDA200529C00200000,1587583870,200.0,89.48,99.65,102.15,0.0,0.0,,2,0.7436549072265625,True,REGULAR,USD
3,NVDA200529C00210000,1587667921,210.0,79.5,89.4,92.7,0.0,0.0,,2,0.689700368652344,True,REGULAR,USD
4,NVDA200529C00220000,1586890153,220.0,67.4,80.3,83.1,0.0,0.0,,10,0.6882355395507813,True,REGULAR,USD
5,NVDA200529C00225000,1587075854,225.0,67.6,75.8,78.5,0.0,0.0,,1,0.6883576086425782,True,REGULAR,USD
6,NVDA200529C00230000,1586967457,230.0,56.37,71.25,73.85,0.0,0.0,,1,0.677859666748047,True,REGULAR,USD
7,NVDA200529C00245000,1587998341,245.0,58.58,57.75,60.4,9.5,19.356152,2.0,4,0.6412389392089843,True,REGULAR,USD
8,NVDA200529C00250000,1587572250,250.0,43.02,53.6,55.9,0.0,0.0,34.0,54,0.6296423754882813,True,REGULAR,USD
9,NVDA200529C00252500,1587392044,252.5,45.6,51.55,54.0,0.0,0.0,,1,0.63086306640625,True,REGULAR,USD
10,NVDA200529C00255000,1587745451,255.0,50.24,49.25,51.85,8.77,21.147818,2.0,21,0.619388571777344,True,REGULAR,USD
11,NVDA200529C00257500,1587132562,257.5,48.0,47.35,49.8,0.0,0.0,1.0,1,0.6178016735839844,True,REGULAR,USD
12,NVDA200529C00260000,1587996291,260.0,49.28,45.25,47.7,12.279999,33.189186,1.0,23,0.6096840789794924,True,REGULAR,USD
13,NVDA200529C00262500,1587754737,262.5,35.9,43.45,45.35,0.0,0.0,1.0,4,0.6015664843750002,True,REGULAR,USD
14,NVDA200529C00265000,1587998347,265.0,42.45,41.6,43.6,7.5,21.459227,2.0,15,0.6028482098388674,True,REGULAR,USD
15,NVDA200529C00267500,1587150569,267.5,35.55,39.75,42.0,0.0,0.0,1.0,4,0.6052285571289064,True,REGULAR,USD
16,NVDA200529C00270000,1587998409,270.0,38.2,37.6,39.6,7.7800007,25.575281,2.0,46,0.5865519860839843,True,REGULAR,USD
17,NVDA200529C00272500,1587566419,272.5,28.6,36.05,38.2,0.0,0.0,,2,0.594730615234375,True,REGULAR,USD
18,NVDA200529C00275000,1587998346,275.0,35.4,34.25,36.2,7.700001,27.797836,2.0,50,0.586918193359375,True,REGULAR,USD
19,NVDA200529C00277500,1587758070,277.5,27.0,32.5,34.45,0.0,0.0,1.0,5,0.5828288787841795,True,REGULAR,USD
20,NVDA200529C00280000,1587737721,280.0,22.5,30.85,32.65,0.0,0.0,2.0,35,0.5781902532958985,True,REGULAR,USD
21,NVDA200529C00282500,1587996342,282.5,34.25,28.95,31.2,11.85,52.901787,12.0,29,0.5738568005371094,True,REGULAR,USD
22,NVDA200529C00285000,1587998341,285.0,28.41,27.45,29.15,5.619999,24.659933,6.0,116,0.5651898950195313,True,REGULAR,USD
