,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,OXY200529C00008000,1587579346,8.0,5.3,3.65,6.1,0.0,0.0,,1,1.74609501953125,True,REGULAR,USD
1,OXY200529C00010000,1587654248,10.0,4.65,1.91,4.25,0.0,0.0,,15,1.3359408203124996,True,REGULAR,USD
2,OXY200529C00010500,1587756766,10.5,4.15,1.58,3.8,0.0,0.0,10.0,10,1.2460975195312498,True,REGULAR,USD
3,OXY200529C00011000,1587478837,11.0,2.67,1.29,3.5,0.0,0.0,,1,1.2753942480468747,True,REGULAR,USD
4,OXY200529C00011500,1587497610,11.5,2.5,0.82,3.05,0.0,0.0,,0,1.171879140625,True,REGULAR,USD
5,OXY200529C00012000,1587669703,12.0,3.05,2.33,2.81,0.0,0.0,10.0,113,1.0429735351562504,True,REGULAR,USD
6,OXY200529C00012500,1587741420,12.5,2.46,1.1,2.57,0.0,0.0,3.0,43,0.7392604199218749,True,REGULAR,USD
7,OXY200529C00013000,1587999398,13.0,2.0,1.79,2.16,-0.19000006,-8.675801,15.0,8,1.015629921875,True,REGULAR,USD
8,OXY200529C00013500,1587998355,13.5,1.65,1.49,1.99,-0.40999997,-19.902912,14.0,20,1.0185595947265624,True,REGULAR,USD
9,OXY200529C00014000,1587995304,14.0,1.2,1.38,1.67,-0.65,-35.135136,9.0,52,1.01953615234375,False,REGULAR,USD
10,OXY200529C00014500,1587754188,14.5,1.7,0.88,1.54,0.0,0.0,1.0,18,0.945313046875,False,REGULAR,USD
11,OXY200529C00015000,1587995086,15.0,1.0,0.9,1.31,-0.5,-33.333332,10.0,222,0.9853517089843751,False,REGULAR,USD
12,OXY200529C00015500,1587749184,15.5,1.03,0.32,1.09,0.0,0.0,40.0,22,0.8251970605468748,False,REGULAR,USD
13,OXY200529C00016000,1587754101,16.0,1.11,0.65,1.02,0.0,0.0,12.0,113,0.9941406835937501,False,REGULAR,USD
14,OXY200529C00016500,1587756023,16.5,0.91,0.55,0.88,0.0,0.0,7.0,42,0.992187578125,False,REGULAR,USD
15,OXY200529C00017000,1587659262,17.0,1.0,0.42,0.75,0.0,0.0,35.0,55,0.9726565234375,False,REGULAR,USD
16,OXY200529C00017500,1587752195,17.5,0.66,0.35,0.62,0.0,0.0,2.0,13,0.9609378906249999,False,REGULAR,USD
17,OXY200529C00018000,1587741489,18.0,0.57,0.29,0.59,0.0,0.0,8.0,102,0.9863282617187501,False,REGULAR,USD
18,OXY200529C00018500,1587994567,18.5,0.34,0.21,0.5,-0.28,-45.16129,10.0,10,0.9687503125,False,REGULAR,USD
19,OXY200529C00019000,1587742643,19.0,0.45,0.16,0.5,0.0,0.0,17.0,18,0.9960937890625,False,REGULAR,USD
20,OXY200529C00019500,1587654990,19.5,0.55,0.13,0.4,0.0,0.0,16.0,25,0.9804689453125001,False,REGULAR,USD
21,OXY200529C00020000,1587996828,20.0,0.2,0.14,0.33,-0.11,-35.48387,14.0,25,0.992187578125,False,REGULAR,USD
22,OXY200529C00025000,1587736717,25.0,0.1,0.01,0.11,0.0,0.0,1.0,7,1.0468797656250002,False,REGULAR,USD
23,OXY200529C00030000,1587994210,30.0,0.1,0.0,0.07,0.040000003,66.66667,2.0,34,1.1875040625,False,REGULAR,USD
