,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT220617P00080000,1587746267,80.0,3.02,0.94,3.5,0.0,0.0,46.0,321,0.42474940490722657,False,REGULAR,USD
1,MSFT220617P00085000,1587746456,85.0,3.75,1.4,4.3,0.0,0.0,24.0,113,0.42139250488281255,False,REGULAR,USD
2,MSFT220617P00090000,1587483054,90.0,5.5,3.55,6.45,0.0,0.0,34.0,427,0.44922425781249997,False,REGULAR,USD
3,MSFT220617P00095000,1583420255,95.0,12.0,5.0,9.5,0.0,0.0,2.0,33,0.48615015808105466,False,REGULAR,USD
4,MSFT220617P00100000,1587483106,100.0,6.5,5.2,8.35,0.0,0.0,6.0,752,0.43280596496582036,False,REGULAR,USD
5,MSFT220617P00105000,1587995921,105.0,7.08,5.15,8.85,-0.52,-6.8421054,5.0,352,0.41440404937744135,False,REGULAR,USD
6,MSFT220617P00110000,1587995921,110.0,8.09,6.3,9.8,-0.7600002,-8.587573,5.0,400,0.4042112802124024,False,REGULAR,USD
7,MSFT220617P00115000,1587499119,115.0,10.4,7.85,11.05,0.0,0.0,1.0,415,0.39819937744140627,False,REGULAR,USD
8,MSFT220617P00120000,1587400265,120.0,9.85,8.9,12.3,0.0,0.0,2.0,346,0.390905749206543,False,REGULAR,USD
9,MSFT220617P00125000,1586801716,125.0,13.35,11.05,13.0,0.0,0.0,159.0,201,0.3745790081787109,False,REGULAR,USD
10,MSFT220617P00130000,1586374290,130.0,14.8,12.05,14.85,0.0,0.0,10.0,21,0.37399917999267573,False,REGULAR,USD
11,MSFT220617P00135000,1587651720,135.0,15.57,13.8,16.6,0.0,0.0,2.0,59,0.3704286590576171,False,REGULAR,USD
12,MSFT220617P00140000,1587651777,140.0,17.4,15.35,18.5,0.0,0.0,4.0,164,0.36743796630859377,False,REGULAR,USD
13,MSFT220617P00145000,1587487713,145.0,21.3,17.05,20.2,0.0,0.0,1.0,387,0.3607546835327148,False,REGULAR,USD
14,MSFT220617P00150000,1587758218,150.0,23.9,19.7,22.05,0.0,0.0,2.0,507,0.3548343325805663,False,REGULAR,USD
15,MSFT220617P00155000,1587490160,155.0,25.0,22.05,24.55,0.0,0.0,34.0,261,0.3550937294006347,False,REGULAR,USD
16,MSFT220617P00160000,1587490056,160.0,27.5,23.55,27.25,0.0,0.0,20.0,422,0.3561465753173828,False,REGULAR,USD
17,MSFT220617P00165000,1586804585,165.0,30.55,26.05,29.5,0.0,0.0,300.0,298,0.35120277709960934,False,REGULAR,USD
18,MSFT220617P00170000,1587748297,170.0,31.5,28.75,31.85,0.0,0.0,100.0,108,0.3462894961547851,False,REGULAR,USD
19,MSFT220617P00175000,1587577332,175.0,33.0,31.25,34.4,0.0,0.0,1.0,40,0.34244431976318357,False,REGULAR,USD
20,MSFT220617P00180000,1585847738,180.0,45.7,34.15,37.0,0.0,0.0,6.0,14,0.3380956083679199,True,REGULAR,USD
21,MSFT220617P00185000,1585847726,185.0,49.15,36.9,40.1,0.0,0.0,,2,0.3377141424560547,True,REGULAR,USD
22,MSFT220617P00190000,1585847667,190.0,52.35,40.0,42.9,0.0,0.0,8.0,64,0.33341120697021487,True,REGULAR,USD
23,MSFT220617P00195000,1585296533,195.0,64.78,46.5,51.5,0.0,0.0,,60,0.3848938464355468,True,REGULAR,USD
24,MSFT220617P00200000,1586451850,200.0,51.75,46.6,49.0,0.0,0.0,2.0,1,0.32691102783203124,True,REGULAR,USD
25,MSFT220617P00220000,1585751879,220.0,73.75,60.0,63.25,0.0,0.0,,40,0.32349309326171866,True,REGULAR,USD
26,MSFT220617P00230000,1584558676,230.0,100.15,64.0,67.55,0.0,0.0,,0,0.2871470211791991,True,REGULAR,USD
27,MSFT220617P00240000,1585296533,240.0,108.75,80.0,85.0,0.0,0.0,,0,0.3852600537109374,True,REGULAR,USD
28,MSFT220617P00250000,1584712632,250.0,111.51,78.5,83.4,0.0,0.0,50.0,84,0.27829701202392576,True,REGULAR,USD
29,MSFT220617P00260000,1585664436,260.0,101.6,91.9,94.85,0.0,0.0,1.0,50,0.31262894409179687,True,REGULAR,USD
30,MSFT220617P00270000,1585664160,270.0,110.4,100.5,103.8,0.0,0.0,,62,0.3157417059326171,True,REGULAR,USD
