,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LMT200619C00140000,1586751245,140.0,229.5,237.6,245.7,0.0,0.0,,0.0,1.644288887939453,True,REGULAR,USD
1,LMT200619C00150000,1585299898,150.0,148.45,226.3,238.9,0.0,0.0,,0.0,1.0224658251953125,True,REGULAR,USD
2,LMT200619C00240000,1584560989,240.0,107.86,154.4,164.2,0.0,0.0,,1.0,1.3959991137695313,True,REGULAR,USD
3,LMT200619C00245000,1585143981,245.0,65.15,133.0,142.0,0.0,0.0,1.0,1.0,0.8872081591796874,True,REGULAR,USD
4,LMT200619C00250000,1574702748,250.0,140.68,139.9,149.5,0.0,0.0,,0.0,1.1593669961547852,True,REGULAR,USD
5,LMT200619C00255000,1585153927,255.0,73.65,125.8,137.5,0.0,0.0,,0.0,0.8062763513183593,True,REGULAR,USD
6,LMT200619C00260000,1585230519,260.0,77.2,117.6,131.5,0.0,0.0,1.0,1.0,0.6589389575195312,True,REGULAR,USD
7,LMT200619C00265000,1585302595,265.0,64.0,112.2,125.3,0.0,0.0,,,0.5747112841796875,True,REGULAR,USD
8,LMT200619C00270000,1585230519,270.0,76.39,107.8,121.1,0.0,0.0,2.0,3.0,0.5993692407226563,True,REGULAR,USD
9,LMT200619C00275000,1585232307,275.0,74.15,104.3,111.3,0.0,0.0,,0.0,0.6704134521484376,True,REGULAR,USD
10,LMT200619C00280000,1587563961,280.0,101.36,101.2,106.8,0.0,0.0,1.0,31.0,0.5194139855957032,True,REGULAR,USD
11,LMT200619C00290000,1586448270,290.0,86.4,88.0,97.2,0.0,0.0,1.0,2.0,0.6218299536132813,True,REGULAR,USD
12,LMT200619C00295000,1586270336,295.0,87.1,85.3,92.1,0.0,0.0,1.0,4.0,0.5893595751953126,True,REGULAR,USD
13,LMT200619C00300000,1586186289,300.0,71.8,78.0,87.9,0.0,0.0,1.0,35.0,0.5892985406494142,True,REGULAR,USD
14,LMT200619C00305000,1585159107,305.0,39.8,74.5,83.5,0.0,0.0,24.0,29.0,0.5799602551269532,True,REGULAR,USD
15,LMT200619C00310000,1585159106,310.0,78.0,70.5,78.2,0.0,0.0,22.0,29.0,0.5412033184814455,True,REGULAR,USD
16,LMT200619C00315000,1586190206,315.0,60.64,63.5,71.5,0.0,0.0,5.0,21.0,0.4572808178710938,True,REGULAR,USD
17,LMT200619C00320000,1587401407,320.0,79.65,59.0,67.7,0.0,0.0,1.0,16.0,0.46857220886230466,True,REGULAR,USD
18,LMT200619C00325000,1586887357,325.0,67.06,55.0,64.1,0.0,0.0,2.0,13.0,0.4801077380371094,True,REGULAR,USD
19,LMT200619C00330000,1586184642,330.0,49.22,51.0,59.6,0.0,0.0,8.0,37.0,0.4637504797363281,True,REGULAR,USD
20,LMT200619C00335000,1587487910,335.0,46.0,46.0,55.0,0.0,0.0,3.0,34.0,0.443792183227539,True,REGULAR,USD
21,LMT200619C00340000,1587663621,340.0,48.98,46.7,50.1,0.0,0.0,1.0,79.0,0.41583836120605466,True,REGULAR,USD
22,LMT200619C00345000,1586267776,345.0,46.98,39.8,46.9,0.0,0.0,1.0,26.0,0.4255428540039063,True,REGULAR,USD
23,LMT200619C00350000,1587736199,350.0,34.8,38.7,42.3,0.0,0.0,1.0,90.0,0.40180041564941404,True,REGULAR,USD
24,LMT200619C00355000,1587476992,355.0,45.01,35.5,38.6,0.0,0.0,2.0,33.0,0.3951171328735352,True,REGULAR,USD
25,LMT200619C00360000,1587663621,360.0,34.6,30.6,36.5,0.0,0.0,3.0,54.0,0.4162656030273437,True,REGULAR,USD
26,LMT200619C00365000,1587483708,365.0,33.3,27.9,33.6,0.0,0.0,1.0,164.0,0.41806612213134764,True,REGULAR,USD
27,LMT200619C00370000,1587669175,370.0,24.9,24.9,26.7,0.0,0.0,1.0,117.0,0.34552656433105466,True,REGULAR,USD
28,LMT200619C00375000,1587998733,375.0,24.1,22.2,23.8,-2.1000004,-8.015268,1.0,487.0,0.3430546652221679,True,REGULAR,USD
29,LMT200619C00380000,1588000348,380.0,19.9,19.2,20.7,-2.1800003,-9.87319,16.0,141.0,0.3338079315185547,True,REGULAR,USD
30,LMT200619C00385000,1588000196,385.0,17.5,16.3,17.7,-1.25,-6.6666665,18.0,194.0,0.322974299621582,False,REGULAR,USD
31,LMT200619C00390000,1587995471,390.0,15.0,14.2,17.0,-2.7999992,-15.730334,2.0,208.0,0.34802898071289057,False,REGULAR,USD
32,LMT200619C00395000,1587998709,395.0,13.5,11.9,13.7,-1.5200005,-10.119843,3.0,118.0,0.3251410260009765,False,REGULAR,USD
33,LMT200619C00400000,1587998731,400.0,11.4,10.0,11.1,-1.8500004,-13.962267,7.0,333.0,0.31034014862060544,False,REGULAR,USD
34,LMT200619C00405000,1587747024,405.0,10.7,8.3,9.8,0.0,0.0,1.0,102.0,0.31519239501953117,False,REGULAR,USD
35,LMT200619C00410000,1587752141,410.0,10.0,5.6,10.6,0.0,0.0,29.0,519.0,0.3570926107788086,False,REGULAR,USD
36,LMT200619C00415000,1587579788,415.0,8.8,5.3,7.3,0.0,0.0,1.0,76.0,0.3177558459472656,False,REGULAR,USD
37,LMT200619C00420000,1587748586,420.0,6.11,4.3,5.1,0.0,0.0,6.0,244.0,0.29279271667480455,False,REGULAR,USD
38,LMT200619C00425000,1587656811,425.0,6.0,2.3,4.6,0.0,0.0,1.0,384.0,0.3018563467407227,False,REGULAR,USD
39,LMT200619C00430000,1587583853,430.0,5.9,2.5,3.7,0.0,0.0,7.0,1679.0,0.29834686035156244,False,REGULAR,USD
40,LMT200619C00435000,1587997367,435.0,2.9,1.15,2.95,-0.89999986,-23.684206,1.0,170.0,0.2951730639648437,False,REGULAR,USD
41,LMT200619C00440000,1587995121,440.0,2.1,0.0,2.45,-0.8800001,-29.530207,3.0,526.0,0.29633272033691405,False,REGULAR,USD
42,LMT200619C00445000,1587153203,445.0,6.1,1.2,2.5,0.0,0.0,5.0,130.0,0.31464308410644526,False,REGULAR,USD
43,LMT200619C00450000,1587998542,450.0,1.2,0.55,1.7,-0.89999986,-42.857136,1.0,917.0,0.29968962036132807,False,REGULAR,USD
44,LMT200619C00455000,1587654571,455.0,1.8,0.25,1.85,0.0,0.0,2.0,82.0,0.3211127459716796,False,REGULAR,USD
45,LMT200619C00460000,1587562209,460.0,4.16,0.3,1.05,0.0,0.0,1.0,152.0,0.29614961669921874,False,REGULAR,USD
46,LMT200619C00465000,1587404695,465.0,2.52,0.35,0.85,0.0,0.0,1.0,50.0,0.29688203124999996,False,REGULAR,USD
47,LMT200619C00470000,1587130739,470.0,1.06,0.2,0.85,0.0,0.0,1.0,26.0,0.3096992858886719,False,REGULAR,USD
48,LMT200619C00475000,1587743963,475.0,0.5,0.25,0.75,0.0,0.0,2.0,172.0,0.31482618774414056,False,REGULAR,USD
49,LMT200619C00480000,1587994718,480.0,0.5,0.1,0.8,0.099999994,24.999998,2.0,165.0,0.3306951696777344,False,REGULAR,USD
50,LMT200619C00485000,1587998874,485.0,0.2,0.05,0.35,-0.14999999,-42.85714,1.0,59.0,0.2990792749023437,False,REGULAR,USD
51,LMT200619C00490000,1587585565,490.0,0.32,0.0,0.25,0.0,0.0,7.0,44.0,0.2951730639648437,False,REGULAR,USD
52,LMT200619C00495000,1587658183,495.0,0.31,0.0,0.25,0.0,0.0,13.0,29.0,0.3051827294921875,False,REGULAR,USD
53,LMT200619C00500000,1587756451,500.0,0.15,0.0,0.15,0.0,0.0,13.0,55.0,0.29492892578124996,False,REGULAR,USD
54,LMT200619C00510000,1587412482,510.0,0.3,0.0,0.15,0.0,0.0,,10.0,0.313483427734375,False,REGULAR,USD
55,LMT200619C00515000,1587475845,515.0,0.12,0.0,0.15,0.0,0.0,1.0,0.0,0.3227606787109374,False,REGULAR,USD
56,LMT200619C00520000,1587403750,520.0,0.15,0.0,0.15,0.0,0.0,3.0,16.0,0.3320379296875,False,REGULAR,USD
57,LMT200619C00525000,1587562352,525.0,5.2,0.05,0.1,0.0,0.0,1.0,32.0,0.32520206054687495,False,REGULAR,USD
58,LMT200619C00530000,1587996574,530.0,0.1,0.05,0.1,0.0,0.0,2.0,176.0,0.33350275878906255,False,REGULAR,USD
59,LMT200619C00535000,1586277374,535.0,0.1,0.0,0.1,0.0,0.0,4.0,144.0,0.34180345703125,False,REGULAR,USD
60,LMT200619C00540000,1585336236,540.0,0.1,0.0,0.1,0.0,0.0,5.0,46.0,0.3501041552734374,False,REGULAR,USD
61,LMT200619C00545000,1584557015,545.0,0.6,0.0,0.1,0.0,0.0,2.0,0.0,0.358404853515625,False,REGULAR,USD
62,LMT200619C00550000,1585151996,550.0,0.2,0.0,0.1,0.0,0.0,3.0,42.0,0.366217275390625,False,REGULAR,USD
63,LMT200619C00555000,1584552044,555.0,0.4,0.0,2.0,0.0,0.0,,20.0,0.5103808728027344,False,REGULAR,USD
64,LMT200619C00560000,1584729152,560.0,0.15,0.0,0.25,0.0,0.0,,0.0,0.42529871582031253,False,REGULAR,USD
65,LMT200619C00565000,1587392844,565.0,0.05,0.0,0.1,0.0,0.0,8.0,99.0,0.389654541015625,False,REGULAR,USD
