,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPG200619C00030000,1587654328,30.0,23.1,23.5,26.2,0.0,0.0,4,6,1.2070352148437498,True,REGULAR,USD
1,SPG200619C00040000,1587997017,40.0,15.0,16.05,16.5,2.6999998,21.951216,1,2,0.7524438818359375,True,REGULAR,USD
2,SPG200619C00045000,1587744804,45.0,9.0,12.2,12.65,0.0,0.0,7,6,0.7597680273437502,True,REGULAR,USD
3,SPG200619C00050000,1587995869,50.0,8.0,8.85,9.35,0.0,0.0,2,22,0.7482935327148439,True,REGULAR,USD
4,SPG200619C00055000,1587999390,55.0,6.4,6.25,6.6,1.1399999,21.673,23,57,0.7377955908203124,True,REGULAR,USD
5,SPG200619C00060000,1588000137,60.0,4.27,4.15,4.45,0.78,22.34957,57,222,0.7187528125,False,REGULAR,USD
6,SPG200619C00065000,1587999787,65.0,2.65,2.49,2.96,0.35000014,15.217399,5,101,0.6982452050781252,False,REGULAR,USD
7,SPG200619C00070000,1588000137,70.0,1.7,1.58,1.87,0.37,27.819548,3,62,0.6928741650390625,False,REGULAR,USD
8,SPG200619C00075000,1587997201,75.0,1.1,0.91,1.29,0.27000004,32.530125,120,34,0.6953155468750001,False,REGULAR,USD
9,SPG200619C00080000,1587997094,80.0,0.68,0.53,1.03,-0.01999998,-2.85714,11,110,0.7182645361328125,False,REGULAR,USD
10,SPG200619C00085000,1587740017,85.0,0.35,0.07,0.64,0.0,0.0,1,2,0.6709017285156251,False,REGULAR,USD
