,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TGT200619C00042500,1585301459,42.5,43.78,51.6,54.4,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD
1,TGT200619C00050000,1587409170,50.0,59.45,60.25,63.2,0.0,0.0,1,1,1.3852569799804684,True,REGULAR,USD
2,TGT200619C00055000,1574105820,55.0,57.35,72.2,76.75,0.0,0.0,4,1,3.6123056567382816,True,REGULAR,USD
3,TGT200619C00060000,1586267277,60.0,40.5,49.35,53.05,0.0,0.0,1,2,0.9692385888671875,True,REGULAR,USD
4,TGT200619C00062500,1575384102,62.5,60.84,59.75,63.8,0.0,0.0,2,0,2.593265235595703,True,REGULAR,USD
5,TGT200619C00065000,1579202945,65.0,51.7,49.65,52.55,0.0,0.0,2,1,1.6103535107421876,True,REGULAR,USD
6,TGT200619C00067500,1587572808,67.5,39.9,42.7,45.75,0.0,0.0,6,6,0.9274909594726561,True,REGULAR,USD
7,TGT200619C00070000,1587755871,70.0,38.16,40.2,43.15,0.0,0.0,5,22,0.8618177880859376,True,REGULAR,USD
8,TGT200619C00072500,1587567091,72.5,34.65,38.0,40.75,0.0,0.0,2,4,0.8437515624999999,True,REGULAR,USD
9,TGT200619C00075000,1587749984,75.0,32.46,35.7,38.3,0.0,0.0,1,4,0.8095722167968749,True,REGULAR,USD
10,TGT200619C00077500,1584548956,77.5,33.0,33.6,34.55,0.0,0.0,3,5,0.6875031250000001,True,REGULAR,USD
11,TGT200619C00080000,1587737840,80.0,27.3,30.75,33.4,0.0,0.0,1,70,0.7146024633789063,True,REGULAR,USD
12,TGT200619C00082500,1587655489,82.5,23.7,28.55,30.7,0.0,0.0,10,77,0.6694368994140626,True,REGULAR,USD
13,TGT200619C00085000,1587753940,85.0,24.01,26.2,28.05,0.0,0.0,7,79,0.6184120190429689,True,REGULAR,USD
14,TGT200619C00087500,1587750717,87.5,21.15,24.1,25.0,0.0,0.0,11,106,0.559574716796875,True,REGULAR,USD
15,TGT200619C00090000,1587999776,90.0,21.65,21.75,22.05,2.1999989,11.311048,6,1722,0.5105029418945313,True,REGULAR,USD
16,TGT200619C00092500,1587999173,92.5,19.33,19.65,20.35,3.87,25.032341,2,253,0.5081836291503907,True,REGULAR,USD
17,TGT200619C00095000,1587995371,95.0,17.0,17.6,17.95,1.5299997,9.890108,12,386,0.4978077563476563,True,REGULAR,USD
18,TGT200619C00097500,1587998451,97.5,15.25,15.45,15.95,1.5299997,11.151601,2,1033,0.4849905017089844,True,REGULAR,USD
19,TGT200619C00100000,1588000659,100.0,13.7,13.5,13.8,1.8800001,15.905247,23,0,0.4552056433105469,True,REGULAR,USD
20,TGT200619C00105000,1587999723,105.0,9.95,10.15,10.4,1.3099995,15.162029,202,2300,0.4408014904785156,True,REGULAR,USD
21,TGT200619C00110000,1588000827,110.0,7.3,7.2,7.3,1.3000002,21.66667,144,2179,0.41486180847167964,True,REGULAR,USD
22,TGT200619C00115000,1588000717,115.0,4.85,4.75,4.95,0.89999986,22.784805,147,5875,0.40161731201171874,False,REGULAR,USD
23,TGT200619C00120000,1588000804,120.0,3.1,2.97,3.15,0.78999996,34.199135,117,26027,0.3883117810058594,False,REGULAR,USD
24,TGT200619C00125000,1588000771,125.0,1.79,1.75,1.86,0.39999998,28.776976,95,1992,0.37500625,False,REGULAR,USD
25,TGT200619C00130000,1588000330,130.0,0.99,0.98,1.04,0.18,22.222221,79,1631,0.36536279174804687,False,REGULAR,USD
26,TGT200619C00135000,1588000671,135.0,0.58,0.53,0.67,0.099999994,20.833332,15,0,0.37525038818359374,False,REGULAR,USD
27,TGT200619C00140000,1587998552,140.0,0.33,0.3,0.4,0.030000001,10.0,25,814,0.37842418457031246,False,REGULAR,USD
28,TGT200619C00145000,1587758147,145.0,0.16,0.11,0.25,0.0,0.0,13,0,0.3857483300781249,False,REGULAR,USD
29,TGT200619C00150000,1587999584,150.0,0.11,0.07,0.16,-0.009999998,-8.333332,2,0,0.3940490283203125,False,REGULAR,USD
30,TGT200619C00155000,1588000933,155.0,0.09,0.06,0.12,-0.029999994,-24.999996,8,0,0.411138701171875,False,REGULAR,USD
31,TGT200619C00160000,1587671255,160.0,0.05,0.01,0.32,0.0,0.0,25,276,0.51562984375,False,REGULAR,USD
32,TGT200619C00165000,1587568170,165.0,0.04,0.01,0.13,0.0,0.0,5,0,0.47852083984375,False,REGULAR,USD
33,TGT200619C00170000,1587583964,170.0,0.03,0.0,0.08,0.0,0.0,5,0,0.476567734375,False,REGULAR,USD
