,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RTX200821C00035000,1586803688,35.0,27.0,27.8,32.4,0.0,0.0,5,8,1.0573777600097656,True,REGULAR,USD
1,RTX200821C00040000,1587393682,40.0,26.0,23.25,26.8,0.0,0.0,1,3,0.78711150390625,True,REGULAR,USD
2,RTX200821C00050000,1586873573,50.0,16.5,15.1,17.9,0.0,0.0,2,6,0.6276892700195313,True,REGULAR,USD
3,RTX200821C00055000,1587757712,55.0,11.5,11.15,13.0,0.0,0.0,2,39,0.4924367163085938,True,REGULAR,USD
4,RTX200821C00060000,1588000844,60.0,9.36,8.55,9.8,0.96000004,11.428573,16,603,0.4862111926269531,True,REGULAR,USD
5,RTX200821C00065000,1588000503,65.0,6.5,6.15,6.6,0.5999999,10.16949,2,299,0.4409235595703125,True,REGULAR,USD
6,RTX200821C00070000,1587998105,70.0,4.35,4.05,5.7,0.4699998,12.113396,20,2922,0.5155077746582031,False,REGULAR,USD
7,RTX200821C00075000,1587997533,75.0,2.89,0.84,2.9,0.31000018,12.0155115,5,1547,0.42273526489257807,False,REGULAR,USD
8,RTX200821C00080000,1587998643,80.0,1.78,1.66,1.85,0.059999943,3.4883687,81,1161,0.41919526123046874,False,REGULAR,USD
9,RTX200821C00085000,1587999509,85.0,1.18,0.84,1.65,0.26999992,29.67032,2,82,0.4687553125,False,REGULAR,USD
10,RTX200821C00090000,1587994214,90.0,0.68,0.5,0.84,0.01999998,3.0303,1,85,0.4343318286132813,False,REGULAR,USD
11,RTX200821C00095000,1587998992,95.0,0.47,0.4,0.46,0.03999999,9.302323,8,114,0.42090422851562503,False,REGULAR,USD
