,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LLY200918C00060000,1584466935,60.0,78.0,92.0,96.7,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
1,LLY200918C00070000,1586146135,70.0,70.2,91.45,95.0,0.0,0.0,,10,0.8950205810546874,True,REGULAR,USD
2,LLY200918C00080000,1581538715,80.0,63.72,54.5,57.75,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,LLY200918C00085000,1581538774,85.0,56.65,51.3,54.6,0.0,0.0,19.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,LLY200918C00095000,1583177181,95.0,36.68,40.95,43.9,0.0,0.0,2.0,54,1.0000000000000003e-05,True,REGULAR,USD
5,LLY200918C00100000,1585577171,100.0,42.87,62.85,66.0,0.0,0.0,1.0,38,0.5111132873535156,True,REGULAR,USD
6,LLY200918C00105000,1585598340,105.0,36.5,57.65,60.45,0.0,0.0,3.0,19,0.5499312585449221,True,REGULAR,USD
7,LLY200918C00110000,1586879072,110.0,41.65,53.4,54.65,0.0,0.0,2.0,49,0.4464166687011719,True,REGULAR,USD
8,LLY200918C00115000,1587406907,115.0,46.59,48.65,50.2,0.0,0.0,1.0,38,0.44360907958984375,True,REGULAR,USD
9,LLY200918C00120000,1587659301,120.0,44.07,44.1,45.55,0.0,0.0,2.0,76,0.42200285034179685,True,REGULAR,USD
10,LLY200918C00125000,1587753810,125.0,40.71,39.5,40.55,0.0,0.0,1.0,134,0.3797669445800781,True,REGULAR,USD
11,LLY200918C00130000,1587746162,130.0,35.49,35.2,36.4,0.0,0.0,1.0,182,0.37744763183593744,True,REGULAR,USD
12,LLY200918C00135000,1587654045,135.0,29.15,31.0,32.4,0.0,0.0,16.0,112,0.37293107543945314,True,REGULAR,USD
13,LLY200918C00140000,1587665782,140.0,24.9,27.05,28.35,0.0,0.0,10.0,300,0.3597476135253906,True,REGULAR,USD
14,LLY200918C00145000,1587738015,145.0,25.5,23.15,24.35,0.0,0.0,6.0,379,0.34278000976562495,True,REGULAR,USD
15,LLY200918C00150000,1587996497,150.0,20.21,19.4,20.0,-0.44000053,-2.1307533,1.0,294,0.31098101135253897,True,REGULAR,USD
16,LLY200918C00155000,1588000737,155.0,16.5,16.25,17.2,-1.1000004,-6.250002,9.0,314,0.31604687866210934,True,REGULAR,USD
17,LLY200918C00160000,1587757790,160.0,14.1,13.05,13.85,0.0,0.0,22.0,805,0.29895720581054686,True,REGULAR,USD
18,LLY200918C00165000,1587997803,165.0,11.74,10.6,11.4,-0.07000065,-0.5927235,6.0,248,0.29688203124999996,False,REGULAR,USD
19,LLY200918C00170000,1587998959,170.0,8.75,8.1,9.15,0.0,0.0,49.0,397,0.291877198486328,False,REGULAR,USD
20,LLY200918C00175000,1587756985,175.0,7.28,6.25,6.8,0.0,0.0,8.0,266,0.2764354583740234,False,REGULAR,USD
21,LLY200918C00180000,1587737468,180.0,5.95,4.55,5.1,0.0,0.0,100.0,122,0.2690502783203125,False,REGULAR,USD
22,LLY200918C00185000,1587739509,185.0,4.32,3.35,3.9,0.0,0.0,3.0,63,0.26746338012695314,False,REGULAR,USD
23,LLY200918C00190000,1587658681,190.0,2.7,2.28,2.83,0.0,0.0,6.0,15,0.2622144091796875,False,REGULAR,USD
24,LLY200918C00195000,1587652481,195.0,1.9,1.68,2.42,0.0,0.0,1.0,2,0.27362786926269533,False,REGULAR,USD
25,LLY200918C00200000,1587996053,200.0,1.6,1.0,1.54,-0.07999992,-4.7619004,2.0,7,0.2602613037109375,False,REGULAR,USD
26,LLY200918C00210000,1587658135,210.0,0.69,0.6,0.82,0.0,0.0,5.0,2,0.2601392346191406,False,REGULAR,USD
27,LLY200918C00220000,1587994396,220.0,0.55,0.14,0.53,0.18,48.648647,2.0,15,0.2712475219726562,False,REGULAR,USD
28,LLY200918C00230000,1587655882,230.0,0.31,0.09,0.35,0.0,0.0,,17,0.2815013256835937,False,REGULAR,USD
