,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MO200918C00020000,1585670384,20.0,19.2,17.85,21.7,0.0,0.0,13.0,43,0.6894562304687502,True,REGULAR,USD
1,MO200918C00022500,1586803978,22.5,18.27,17.0,17.75,0.0,0.0,15.0,15,0.6264685791015626,True,REGULAR,USD
2,MO200918C00025000,1586279971,25.0,14.55,14.1,15.5,0.0,0.0,1.0,5,0.5024463818359376,True,REGULAR,USD
3,MO200918C00030000,1587490419,30.0,9.4,10.1,10.65,0.0,0.0,1.0,82,0.5065967309570312,True,REGULAR,USD
4,MO200918C00032500,1587409705,32.5,7.8,8.0,8.5,0.0,0.0,10.0,36,0.45703667968750006,True,REGULAR,USD
5,MO200918C00035000,1587994909,35.0,7.1,6.1,6.5,1.5,26.785715,1.0,291,0.4138242211914062,True,REGULAR,USD
6,MO200918C00037500,1587755776,37.5,4.6,4.5,5.05,0.0,0.0,1.0,430,0.4133359448242187,True,REGULAR,USD
7,MO200918C00040000,1587996051,40.0,3.38,3.05,3.4,0.07000017,2.1148088,15.0,4941,0.36694968994140625,False,REGULAR,USD
8,MO200918C00042500,1587998603,42.5,2.1,2.0,2.2,-0.10000014,-4.545461,182.0,1297,0.3413151806640625,False,REGULAR,USD
9,MO200918C00045000,1587996669,45.0,1.3,0.99,1.4,-0.100000024,-7.1428585,32.0,1518,0.32959654785156245,False,REGULAR,USD
10,MO200918C00047500,1587996384,47.5,0.8,0.53,0.86,-0.050000012,-5.882354,9.0,1142,0.3220282641601562,False,REGULAR,USD
11,MO200918C00050000,1587996543,50.0,0.45,0.32,0.5,-0.050000012,-10.000002,10.0,742,0.31445998046874996,False,REGULAR,USD
12,MO200918C00052500,1587737534,52.5,0.27,0.23,0.45,0.0,0.0,1.0,262,0.34766277343749996,False,REGULAR,USD
13,MO200918C00055000,1587755187,55.0,0.18,0.13,0.19,0.0,0.0,1.0,180,0.31836619140624994,False,REGULAR,USD
14,MO200918C00057500,1587408716,57.5,0.04,0.04,0.17,0.0,0.0,7.0,175,0.34278000976562495,False,REGULAR,USD
15,MO200918C00060000,1584553796,60.0,0.12,0.01,0.2,0.0,0.0,15.0,108,0.3842835009765625,False,REGULAR,USD
16,MO200918C00065000,1584642867,65.0,0.3,0.0,0.33,0.0,0.0,1.0,0,0.4848684326171875,False,REGULAR,USD
17,MO200918C00070000,1585297116,70.0,0.06,0.0,0.23,0.0,0.0,,0,0.5024463818359376,False,REGULAR,USD
