,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BMY201120C00030000,1585853381,30.0,24.83,32.65,34.65,0.0,0.0,,40,0.6950714086914063,True,REGULAR,USD
1,BMY201120C00040000,1585851525,40.0,15.46,22.95,24.95,0.0,0.0,10.0,0,0.50586431640625,True,REGULAR,USD
2,BMY201120C00045000,1585088355,45.0,6.03,17.5,17.95,0.0,0.0,,1,0.2304764453125,True,REGULAR,USD
3,BMY201120C00050000,1585852887,50.0,8.2,13.95,14.25,0.0,0.0,10.0,0,0.3343572424316406,True,REGULAR,USD
4,BMY201120C00052500,1586958793,52.5,9.1,11.9,12.2,0.0,0.0,4.0,73,0.3215399877929687,True,REGULAR,USD
5,BMY201120C00055000,1587749368,55.0,9.72,9.95,10.25,0.0,0.0,1.0,27,0.30811238769531246,True,REGULAR,USD
6,BMY201120C00057500,1587488205,57.5,7.25,8.15,8.5,0.0,0.0,1.0,0,0.29920134399414056,True,REGULAR,USD
7,BMY201120C00060000,1587996330,60.0,6.6,6.65,6.85,0.2999997,4.7619,3.0,669,0.2872385729980468,True,REGULAR,USD
8,BMY201120C00062500,1587670795,62.5,4.65,5.25,5.45,0.0,0.0,8.0,0,0.2797923583984374,True,REGULAR,USD
9,BMY201120C00065000,1587740104,65.0,3.96,3.95,4.15,0.0,0.0,1.0,291,0.26807372558593745,False,REGULAR,USD
10,BMY201120C00067500,1587994765,67.5,3.1,2.93,3.1,0.099999905,3.3333302,1.0,62,0.25977302734375,False,REGULAR,USD
11,BMY201120C00070000,1587658463,70.0,1.98,2.1,2.22,0.0,0.0,8.0,0,0.25061784545898436,False,REGULAR,USD
12,BMY201120C00072500,1587668601,72.5,1.28,1.44,1.56,0.0,0.0,7.0,34,0.24414818359375,False,REGULAR,USD
13,BMY201120C00075000,1587757842,75.0,1.05,0.95,1.05,0.0,0.0,9.0,570,0.23731231445312498,False,REGULAR,USD
14,BMY201120C00080000,1587564850,80.0,0.4,0.36,0.45,0.0,0.0,,582,0.22852333984375,False,REGULAR,USD
15,BMY201120C00085000,1587574553,85.0,0.17,0.1,0.17,0.0,0.0,15.0,145,0.2211991943359375,False,REGULAR,USD
