Symbol,Weight,Dividend,,,,,,,,,,,,,
MSFT,0.08,0.0109,,,,,,,,,,,,,
AAPL,0.07,0,,,,,,,,,,,,,
AMZN,0.06,0,,,,,,,,,,,,,
FB,0.03,0,,,,,,,,,,,,,
JNJ,0.03,0,,,,,,,,,,,,,
GOOG,0.02,0,,,,,,,,,,,,,
GOOGL,0.02,0,,,,,,,,,,,,,
BRKB,0.02,0,,,,,,,,,,,,,
PG,0.02,0,,,,,,,,,,,,,
V,0.02,0,,,,,,,,,,,,,
JPM,0.02,0,,,,,,,,,,,,,
UNH,0.02,0,,,,,,,,,,,,,
INTC,0.02,0,,,,,,,,,,,,,
VZ,0.02,0,,,,,,,,,,,,,
MA,0.01,0,,,,,,,,,,,,,
HD,0.01,0,,,,,,,,,,,,,
T,0.01,0,,,,,,,,,,,,,
MRK,0.01,0,,,,,,,,,,,,,
PFE,0.01,0,,,,,,,,,,,,,
NFLX,0.01,0,,,,,,,,,,,,,
XOM,0.01,0,,,,,,,,,,,,,
WMT,0.01,0,,,,,,,,,,,,,
DIS,0.01,0,,,,,,,,,,,,,
PEP,0.01,0,,,,,,,,,,,,,
BAC,0.01,0,,,,,,,,,,,,,
CSCO,0.01,0,,,,,,,,,,,,,
NVDA,0.01,0,,,,,,,,,,,,,
KO,0.01,0,,,,,,,,,,,,,
ABT,0.01,0,,,,,,,,,,,,,
CVX,0.01,0,,,,,,,,,,,,,
CMCSA,0.01,0,,,,,,,,,,,,,
ADBE,0.01,0,,,,,,,,,,,,,
BMY,0.01,0,,,,,,,,,,,,,
AMGN,0.01,0,,,,,,,,,,,,,
MCD,0.01,0,,,,,,,,,,,,,
PYPL,0.01,0,,,,,,,,,,,,,
LLY,0.01,0,,,,,,,,,,,,,
COST,0.01,0,,,,,,,,,,,,,
TMO,0.01,0,,,,,,,,,,,,,
MDT,0.01,0,,,,,,,,,,,,,
ABBV,0.01,0,,,,,,,,,,,,,
NEE,0.01,0,,,,,,,,,,,,,
ORCL,0.01,0,,,,,,,,,,,,,
PM,0.01,0,,,,,,,,,,,,,
AMT,0.01,0,,,,,,,,,,,,,
ACN,0.01,0,,,,,,,,,,,,,
NKE,0.01,0,,,,,,,,,,,,,
IBM,0.01,0,,,,,,,,,,,,,
UNP,0.01,0,,,,,,,,,,,,,
TXN,0.01,0,,,,,,,,,,,,,
DHR,0.01,0,,,,,,,,,,,,,
WFC,0.01,0,,,,,,,,,,,,,
GILD,0.01,0,,,,,,,,,,,,,
HON,0.01,0,,,,,,,,,,,,,
LMT,0.01,0,,,,,,,,,,,,,
RTX,0.01,0,,,,,,,,,,,,,
C,0.01,0,,,,,,,,,,,,,
SBUX,0.01,0,,,,,,,,,,,,,
QCOM,0.01,0,,,,,,,,,,,,,
MMM,0.01,0,,,,,,,,,,,,,
CVS,0.01,0,,,,,,,,,,,,,
CHTR,0.01,0,,,,,,,,,,,,,
MDLZ,0.00,0,,,,,,,,,,,,,
BA,0.00,0,,,,,,,,,,,,,
LOW,0.00,0,,,,,,,,,,,,,
MO,0.00,0,,,,,,,,,,,,,
UPS,0.00,0,,,,,,,,,,,,,
CAT,0.00,0,,,,,,,,,,,,,
DUK,0.00,0,,,,,,,,,,,,,
CL,0.00,0,,,,,,,,,,,,,
AGN,0.00,0,,,,,,,,,,,,,
SO,0.00,0,,,,,,,,,,,,,
GE,0.00,0,,,,,,,,,,,,,
BKNG,0.00,0,,,,,,,,,,,,,
GS,0.00,0,,,,,,,,,,,,,
BLK,0.00,0,,,,,,,,,,,,,
AXP,0.00,0,,,,,,,,,,,,,
BIIB,0.00,0,,,,,,,,,,,,,
TGT,0.00,0,,,,,,,,,,,,,
USB,0.00,0,,,,,,,,,,,,,
MS,0.00,0,,,,,,,,,,,,,
COP,0.00,0,,,,,,,,,,,,,
EXC,0.00,0,,,,,,,,,,,,,
WBA,0.00,0,,,,,,,,,,,,,
EMR,0.00,0,,,,,,,,,,,,,
ALL,0.00,0,,,,,,,,,,,,,
GD,0.00,0,,,,,,,,,,,,,
DD,0.00,0,,,,,,,,,,,,,
BK,0.00,0,,,,,,,,,,,,,
FDX,0.00,0,,,,,,,,,,,,,
KMI,0.00,0,,,,,,,,,,,,,
GM,0.00,0,,,,,,,,,,,,,
MET,0.00,0,,,,,,,,,,,,,
COF,0.00,0,,,,,,,,,,,,,
DOW,0.00,0,,,,,,,,,,,,,
SLB,0.00,0,,,,,,,,,,,,,
AIG,0.00,0,,,,,,,,,,,,,
F,0.00,0,,,,,,,,,,,,,
KHC,0.00,0,,,,,,,,,,,,,
SPG,0.00,0,,,,,,,,,,,,,
OXY,0.00,0,,,,,,,,,,,,,
ESM0,0.00,,,,,,,,,,,,,,
XTSLA,0.00,,,,,,,,,,,,,,
