ExpirationDate: 01/14/2021
Ticker: AAPL
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
105,157.5,161.4,165.75,0,0,74,327,0.522954
430,0.93,0.76,0.97,-0.03,-3.125,3,661,0.285163
290,20.1,19.45,20.3,0.9,4.6875,243,7778,0.307975
75,191.87,191.5,195.2,23.27,13.8019,3,90,0.650394
450,0.78,0.7,0.85,0.00999999,1.2987,4,1608,0.300178
115,152.4,152.7,156.1,0,0,8,91,0.554448
80,186.6,186.8,190.3,0,0,6,100,0.659671
330,8.05,7.65,8.55,0.0500002,0.625002,41,9279,0.286476
85,178.85,181,185.4,0,0,2,16,0.548344
350,4.94,4.45,5,0.24,5.10639,128,10665,0.274757
90,171.15,176.9,180.6,0,0,26,112,0.628178
370,2.96,2.56,3.25,0.0699999,2.42214,112,4173,0.276008
95,158.5,172.2,175.55,0,0,3,57,0.614506
100,169.45,166.2,169.5,3.45,2.07831,1,1045,0.645511
410,1.25,1.04,1.42,0.04,3.30578,379,1545,0.281257
110,145,156.7,160.9,0,0,5,296,0.525884
120,148,147.1,151.2,0.600006,0.40706,13,528,0.510259
490,0.57,0.45,0.64,0.05,9.61539,5,408,0.324836
125,141.1,142.1,146.4,0,0,1,597,0.612797
265,32.35,31.15,32.1,1.14,3.65267,23,2349,0.328284
130,137.85,137.2,141.8,0,0,12,706,0.602177
135,132.85,132.6,136.85,0,0,17,400,0.577397
285,21.74,20.9,23.25,-0.26,-1.18182,34,2445,0.320975
140,128.65,128.15,132.15,0,0,118,2171,0.562504
295,17.5,17.65,18.85,0.1,0.574715,19,256,0.309791
145,124.1,123.5,127.4,0.349998,0.282827,12,8219,0.545781
150,120,118.5,122.8,2.13,1.80707,1,18848,0.533818
155,115.44,113.9,118.15,1.9,1.67342,5,2085,0.51978
160,105.5,109.3,112.95,0,0,10,3027,0.489934
165,104.47,105.2,108.45,0,0,1,4226,0.480413
170,100.8,100.35,104,0,0,1,5640,0.471319
175,96,95.8,99,2.59,2.77272,1,2401,0.44837
180,94.96,91.6,95.45,2.26,2.43797,1,6456,0.458379
185,87.33,87.2,91.3,-2.58,-2.86954,27,3256,0.452764
190,82.05,83,85.7,0,0,23,7578,0.417791
195,78.9,78.75,82.5,3.9,5.2,5,2110,0.429083
200,74.8,75.1,78.4,0.389999,0.524122,37,10948,0.421637
205,71.94,70.7,74.25,1.69,2.4057,10,2922,0.41242
210,67.45,66.6,69.9,2.1,3.21346,6,3691,0.399298
215,63.7,62.8,66.5,0,0,12,1805,0.399756
220,60.85,59.1,61.8,1.08,1.80692,84,6044,0.380225
225,56.04,55.85,58.1,0.0400009,0.0714302,5,4926,0.374243
230,53.69,52,55.25,1.39,2.65774,8,4488,0.37818
235,49.85,48.45,51.9,1.27,2.61424,21,1524,0.373999
240,46.4,45.15,48.4,0.400002,0.869568,11,6035,0.366797
245,43.8,42,44,1.22,2.86519,67,2242,0.347968
250,40.5,39.55,40.95,1,2.53165,76,8925,0.344123
255,36.95,35.9,38,-0.110001,-0.296818,9,4287,0.340094
260,34.33,33.7,35.9,0.0400009,0.116655,113,7021,0.344153
270,29,28.55,29.4,0.110001,0.380757,362,4730,0.323218
275,27.1,25.4,27.95,1.17,4.51215,127,1643,0.330176
280,23.9,23,24.85,0.359999,1.52931,116,12210,0.318229
300,16.2,15.75,16.5,0.720001,4.65117,535,17408,0.300453
310,12,12.25,13.4,-0.48,-3.84615,94,8411,0.295478
320,9.95,9.5,10.6,-0.150001,-1.48515,157,13559,0.288795
340,6,5.95,6.6,-0.25,-4,424,5884,0.280586
360,3.85,3.35,3.9,0.0999999,2.66666,78,6414,0.272712
380,2.27,2.2,2.57,0.13,6.07476,12,4916,0.27552
390,1.86,1.8,2.07,0,0,69,1836,0.276435
400,1.5,1.46,1.58,-0.00999999,-0.662251,125,9717,0.27436
420,1.1,1.03,1.22,0.0500001,4.76191,3,1301,0.285285
440,0.77,0.66,0.94,-0.06,-7.22892,3,480,0.294563
460,0.72,0.52,0.78,0.01,1.40846,11,642,0.306159
470,0.7,0.47,0.73,0,0,4,614,0.312629
480,0.62,0.55,0.68,0.04,6.89656,2,1099,0.31861
500,0.52,0.5,0.61,0,0,94,5598,0.331306
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: ABT
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
50,36.6,35.35,38.45,2.06,5.96409,3,70,0.579838
35,49.67,50.35,52.1,0,0,1,6,0.501958
37.5,43.95,47.75,49.8,0,0,1,3,0.683109
57.5,25.38,28.35,31.75,0,0,20,32,0.515142
40,40,45.35,47.45,0,0,1,9,0.655765
42.5,41.92,39.7,42.9,0,0,1,0,1e-05
45,42.58,43.75,44.2,0,0,6,20,0.711673
47.5,38.62,41.35,41.75,0,0,1,0,0.670536
55,29.15,30.65,33.95,0,0,5,976,0.535283
60,26.75,26.2,29.35,2.75,11.4583,2,263,0.482549
62.5,24.81,24.05,26.8,3.61,17.0283,1,154,0.442205
65,21.5,22.25,25.15,0,0,2,156,0.449468
67.5,21,21.05,22.3,3.45,19.6581,2,56,0.395026
70,17.5,17.8,21.25,0,0,37,247,0.423834
72.5,16.52,17.2,18.4,0,0,1,200,0.370673
75,15.55,15.5,17.3,1.45,10.2837,1,329,0.388495
77.5,13.65,12.7,16.1,1.25,10.0806,1,256,0.397101
80,12.6,12.05,13.25,1.05,9.09091,3,1286,0.342719
82.5,10.8,9.85,11.5,1,10.2041,53,759,0.32685
85,9.8,9.2,10.2,0.35,3.70371,85,1655,0.323493
87.5,8.45,7.95,8.8,-0.0500002,-0.588237,32,1143,0.313544
90,7.3,6,8.2,0.35,5.03598,54,1348,0.326911
92.5,5.6,5.7,7.15,-0.55,-8.94309,1,467,0.322211
95,5.5,5,7.05,0.3,5.76923,13,1231,0.346564
97.5,4.6,3.15,6,1,27.7778,2,419,0.336371
100,3.85,3.25,4.15,0.25,6.94444,12,829,0.294074
105,2.6,1.87,2.67,0.3,13.0435,6,509,0.276374
110,1.5,1.32,1.91,0,0,2,569,0.275886
115,1.18,0.13,1.33,0.03,2.60869,1,125,0.274299
120,0.67,0.5,0.83,-0.07,-9.45946,2,226,0.266365
125,0.45,0.45,0.5,0,0,33,1546,0.259407
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: ABBV
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
135,0.17,0.06,0.45,0,0,4,259,0.335456
32.5,46.9,46.65,47.8,2.45,5.51181,6,18,0.617191
50,29,28.5,31.55,0,0,8,174,0.481573
35,52.03,52.6,54.4,0,0,2,0,1.39478
57.5,19.31,21.45,24.9,0,0,1,133,0.426153
40,37.21,39.15,40.35,0,0,2,30,0.498052
42.5,31.2,36.65,37.95,0,0,1,30,0.476079
45,32,34.15,35.55,0,0,1,70,0.453375
47.5,30,31.35,33.45,0,0,1,9,0.46375
55,24.45,24.8,27.2,2.55,11.6438,24,97,0.452032
60,18.35,19.55,22.55,0,0,5,334,0.396857
62.5,14.5,18.35,19.95,0,0,4,192,0.353766
65,15.2,15.15,17.25,0,0,6,2545,0.30677
67.5,15.1,14.1,17.15,2.49,19.7462,4,1614,0.38349
70,13.5,12.5,15.6,0.7,5.46875,13,8007,0.382147
72.5,10.14,11.4,14.05,0,0,2,804,0.376837
75,10.58,9.95,12.55,0.78,7.95918,10,1605,0.370062
77.5,9.3,9,9.9,1.5,19.2308,9,1742,0.317512
80,8.06,8,8.8,0.460001,6.05264,72,2261,0.319587
82.5,7,6.2,7.45,1,16.6667,4,1045,0.308723
85,5.9,4.65,6.1,0.77,15.0097,17,4985,0.293952
87.5,5,3.8,5.45,1.6,47.0588,6,2559,0.300666
90,4.2,3.95,4.3,0.41,10.8179,26,3361,0.285102
92.5,3.45,3.1,3.95,0.35,11.2903,2,4742,0.296394
95,2.82,2.71,3.3,0.22,8.46154,166,2959,0.292915
97.5,2.29,1.97,2.6,0.19,9.04762,6,5665,0.283454
100,2.1,1.46,2.1,0.35,20,59,3747,0.278938
105,1.4,0.63,1.5,0.3,27.2727,7,5606,0.280891
110,0.95,0.65,1.6,0.2,26.6667,5,5234,0.317146
115,0.4,0.34,0.95,0,0,21,663,0.3003
120,0.3,0.42,0.59,0,0,6,1349,0.291755
125,0.25,0.2,0.43,0,0,1,300,0.294441
130,0.19,0.12,0.26,-0.02,-9.52381,16,234,0.287605
140,0.07,0.05,0.17,0,0,10,1193,0.301765
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: GOOG
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
540,656.24,743,752.7,0,0,1,3,1.0664
1060,161.33,219.5,229.5,0,0,1,37,0.355948
520,632,691,701,0,0,5,8,0.520909
1140,163.5,168,178,0,0,2,18,0.33929
560,613.5,652,662,0,0,1,2,0.566838
600,599.5,613.5,623.5,0,0,1,22,0.538518
1180,148,145,155,0,0,2,42,0.331901
580,543,630.5,640.5,0,0,0,1,0.526402
1260,108,102.5,111,2.1,1.983,2,144,0.30986
620,836.12,649.6,667,0,0,1,0,0.871477
660,707,462,469.9,0,0,10,12,1e-05
1300,85,84.5,92.7,-1.8,-2.07374,1,436,0.301345
640,802.25,579,585,0,0,0,0,0.510076
1380,60,54,62.5,3,5.26316,2,192,0.286605
1135,167,170.5,179.5,0,0,2,34,0.336459
680,417,534.1,544,0,0,1,0,0.460394
700,455,518.5,528.5,0,0,1,38,0.476926
720,412.61,500,510,0,0,1,4,0.46755
740,386.5,481.5,491.5,0,0,2,5,0.457639
760,556.5,599.1,609,0,0,1,0,1.00474
1050,233,226,236,0,0,1,160,0.357016
780,370.4,442.8,451.5,0,0,2,0,0.418738
1620,9.4,9.5,14.5,0,0,2,114,0.255714
1090,202,199.5,209.5,18.24,9.92599,11,30,0.349765
800,335,427,437,0,0,1,38,0.430853
1660,10.2,6.5,11.5,0,0,11,175,0.255134
1130,156.5,173.5,182.5,0,0,5,19,0.337321
820,377.87,409.5,419.5,0,0,14,7,0.424238
1170,159.45,150.5,160.5,24.75,18.3742,11,33,0.333518
840,389,392,402,0,0,1,14,0.416815
1210,131.6,128.5,138.5,-1.5,-1.12697,2,20,0.325522
860,252.93,374.5,384.5,0,0,16,17,0.408697
1780,4.3,1,6,0,0,1,35,0.257057
1250,111.1,108,118,-1.59,-1.41095,17,326,0.317035
880,296.81,356,363.9,0,0,4,0,0.38661
1820,2.91,2.1,4.5,0,0,1,48,0.254539
1290,54,88.5,97,0,0,1,60,0.303226
900,339,341,351,-11.53,-3.2893,2,57,0.396635
920,301.15,324.5,334.5,0,0,1,20,0.390311
940,260.5,308.5,318.5,0,0,1,14,0.384978
1205,113.1,131,141,0,0,400,28,0.326148
960,222,292.5,302.5,0,0,1,5,0.378741
1165,108.2,152.5,161.2,0,0,2,34,0.329211
980,256.03,277,287,0,0,1,18,0.373324
1000,265.89,262,272,-7.10999,-2.60439,33,299,0.368582
1020,179.85,247.5,257.5,0,0,1,10,0.364401
1560,19.95,16.1,21.9,-0.219999,-1.09073,1,283,0.262657
1030,151.17,240,250,0,0,1,12,0.361197
1040,165.9,233,243,0,0,2,38,0.359233
1070,175.5,212.5,222.5,0,0,1,16,0.353225
1080,180.09,206,216,0,0,1,87,0.351626
1100,193.45,193,203,-6.37001,-3.18787,4,196,0.347651
1110,195,186.5,196.5,0,0,1,47,0.34529
1120,179.52,180,190,0,0,5,49,0.342688
1125,126.5,177,187,0,0,1,6,0.341937
1145,162,165,175,0,0,1,11,0.338279
1150,165,162,172,0,0,12,100,0.337207
1155,112.7,159,169,0,0,5,19,0.336074
1160,163,156,166,0,0,2,27,0.334876
1175,99.3,147.5,157.5,0,0,1,28,0.332133
1185,112,142,152,0,0,3,27,0.33039
1720,4.79,3,8,0,0,1,290,0.253952
1190,143,138.5,146.8,0,0,2,151,0.323535
1440,42.82,37.5,46.6,1.41,3.40497,1,348,0.281402
1195,141.88,136.5,146.5,0,0,2,38,0.328395
1200,135,134,144,-5,-3.57143,3,240,0.327899
1220,123.8,123,133,0,0,1,74,0.322894
1230,97.71,118,128,0,0,1,19,0.3212
1240,76.13,113,123,0,0,1,39,0.319247
1270,102.11,98,107,-2.39,-2.28708,1,78,0.309486
1280,98,94.4,104,27.2,38.4181,1,170,0.31121
1310,83,80,88.6,26.25,46.2555,1,282,0.299667
1320,77,76.5,85.5,10.83,16.3669,2,162,0.300124
1340,69,68,76.7,0,0,2,218,0.293975
1360,65.87,60.5,69.3,0,0,3,479,0.290103
1400,56.25,49,55.8,2.25,4.16667,31,804,0.282226
1420,49.06,42.6,52,-1.14,-2.27092,14,550,0.284431
1460,39,32.2,41.4,0,0,13,200,0.277809
1480,30.51,28.2,36,-1.69,-5.24845,1,583,0.272392
1500,27.93,24.5,32,-2.57,-8.42623,52,628,0.270012
1520,24.2,20.5,28.5,5.84,31.8083,2,120,0.268181
1540,16.5,18,24.4,0,0,4,167,0.263122
1580,16,13.5,19.4,-0.299999,-1.84049,1,250,0.261276
1600,13.5,12.5,17,-2.5,-15.625,8,695,0.259292
1640,6.95,8.7,13,0,0,1,97,0.255821
1680,9.3,5,10,3.78,68.4783,3,284,0.253548
1700,7.38,3.5,8,0,0,1,483,0.247581
1740,6.1,4,7.5,0,0,1,54,0.256691
1760,3.91,1.5,6.5,0,0,163,242,0.255241
1800,3.8,3.1,4.5,1.3,52,1,339,0.249092
1840,3,1.8,5,0,0,4,125,0.264869
1860,2.25,1.55,5,0,0,1,46,0.27021
1880,2.25,1.35,5,0,0,1,130,0.275474
1900,2.2,1.5,5,0,0,1,169,0.280662
1920,2,1,5,0,0,1,32,0.285774
1940,1.87,0.05,5,0,0,1,36,0.290809
1960,1.25,0.75,5,-0.44,-26.0355,2,22,0.295768
1980,1.05,0.65,2.15,0,0,2,71,0.263008
2000,1.95,0.9,4,0.55,39.2857,32,274,0.294212
2100,0.6,0.35,1.05,-0.3,-33.3333,4,139,0.262642
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BKNG
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
860,530.68,595.7,610.9,0,0,21,0,0.559064
1700,104.23,100.1,116.1,-6.07999,-5.51173,1,47,0.422384
1935,43.44,41,49,5.91,15.7474,2,31,0.370078
840,511.8,624,643.5,0,0,10,50,0.625187
1180,285,362,380,0,0,0,7,0.512265
580,699.45,856,875,0,0,2,1,0.764071
700,587.1,747,766,0,0,0,1,0.693652
1460,188,200.1,212.4,0,0,3,5,0.461538
720,626,729,748,0,0,0,2,0.682269
760,595.5,693.5,713,0,0,0,1,0.662845
1580,186.14,144.3,158,0,0,41,23,0.438124
780,637.7,676,695.5,0,0,0,1,0.653309
1620,136,126.7,138.5,0,0,1,12,0.423548
800,645,658.5,678,0,0,1,1,0.643467
1780,89.2,77.5,87.5,0,0,1,1,0.400221
880,1213.56,1138.2,1155.9,0,0,24,23,2.63009
1820,78.77,62.5,70.3,0,0,1,0,0.378531
900,492,574,593.5,0,0,2,21,0.602337
920,1168.09,924,943.5,0,0,10,11,1.78298
940,520,541.5,560.5,0,0,5,32,0.587277
960,442.98,525.5,545,0,0,1,8,0.581295
980,1016,467,484.5,0,0,0,0,0.452642
1000,450,494,513.5,0,0,2,26,0.567929
1020,969.81,450.6,469.5,0,0,2,0,0.50266
1040,378,454,468.4,0,0,1,0,0.519742
1845,203,91.1,100,0,0,2,0,0.457349
1060,380,418.5,434.5,0,0,0,3,0.480047
1080,703.3,0,0,0,0,0,0,1e-05
1100,408.7,418.5,437.5,0,0,6,5,0.535977
1140,294.25,380.8,392.8,0,0,0,0,0.507695
1160,359.3,376,393.9,0,0,1,6,0.518102
1200,240,349.5,369,0,0,2,7,0.511274
